 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                           
  
 Date:   1.10.    Time:  14: 1: 5
 Units: L = cm   , T = hours, M = mmol 



                             Node(  1)                      Node( 21)                      Node( 41)                      Node( 61)                      Node( 81)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          .000       -.126   .3308     .000         -.033   .3308     .000         -.027   .3308     .000         -.020   .3308     .000         -.013   .3308     .000
          .000       -.226   .3308     .000         -.005   .3308     .000         -.004   .3308     .000         -.003   .3308     .000         -.002   .3308     .000
          .000       -.327   .3308     .000         -.009   .3308     .000         -.007   .3308     .000         -.006   .3308     .000         -.003   .3308     .000
          .000       -.409   .3308     .000         -.002   .3308     .000          .000   .3308     .000          .000   .3308     .000          .000   .3308     .000
          .000       -.504   .3307     .000         -.034   .3308     .000         -.022   .3308     .000         -.009   .3308     .000         -.005   .3308     .000
          .000       -.611   .3307     .000         -.006   .3308     .000         -.003   .3308     .000         -.002   .3308     .000         -.002   .3308     .000
          .000       -.735   .3307     .000         -.033   .3308     .000         -.033   .3308     .000         -.024   .3308     .000          .040   .3308     .000
          .000       -.875   .3306     .000         -.005   .3308     .000         -.005   .3308     .000         -.007   .3308     .000          .051   .3308     .000
          .000      -1.035   .3306     .000          .000   .3308     .000          .000   .3308     .000         -.005   .3308     .000         -.061   .3308     .000
          .000      -1.179   .3306     .000         -.025   .3308     .000         -.016   .3308     .000         -.016   .3308     .000         -.005   .3308     .000
          .000      -1.346   .3305     .000          .024   .3308     .000         -.020   .3308     .000          .015   .3308     .000          .815   .3308     .000
          .000      -1.456   .3305     .000          .070   .3308     .000          .032   .3308     .000          .001   .3308     .000          .118   .3308     .000
          .000      -1.583   .3304     .000         -.005   .3308     .000         -.014   .3308     .000          .000   .3308     .000         -.003   .3308     .000
          .000      -1.740   .3304     .000          .103   .3308     .000          .019   .3308     .000         -.020   .3308     .000          .027   .3308     .000
          .000      -1.807   .3303     .000          .228   .3308     .000         -.011   .3308     .000          .298   .3308     .000         6.785   .3308     .000
          .000      -1.851   .3303     .000         -.001   .3308     .000         -.016   .3308     .000         -.002   .3308     .000         -.003   .3308     .000
          .000      -1.892   .3303     .000         -.004   .3308     .000         -.013   .3308     .000          .008   .3308     .000          .020   .3308     .000
          .000      -1.933   .3303     .000         -.009   .3308     .000         -.015   .3308     .000          .012   .3308     .000          .281   .3308     .000
          .000      -1.973   .3303     .000         -.011   .3308     .000         -.002   .3308     .000          .038   .3308     .000          .127   .3308     .000
          .000      -2.024   .3303     .000         -.008   .3308     .000          .001   .3308     .000          .067   .3308     .000         -.009   .3308     .000
          .000      -2.090   .3302     .000         -.009   .3308     .000          .430   .3308     .000          .766   .3308     .000         -.007   .3308     .000
          .000      -2.136   .3302     .000         -.010   .3308     .000          .013   .3308     .000          .147   .3308     .000          .049   .3308     .000
          .000      -2.195   .3302     .000         -.011   .3308     .000          .034   .3308     .000          .002   .3308     .000          .619   .3308     .000
          .000      -2.235   .3302     .000         -.012   .3308     .000          .062   .3308     .000         -.004   .3308     .000         -.035   .3308     .000
          .000      -2.287   .3302     .000         -.012   .3308     .000          .096   .3308     .000          .079   .3308     .000         -.003   .3308     .000
          .000      -2.349   .3301     .000         -.014   .3308     .000         -.002   .3308     .000         -.008   .3308     .000         1.083   .3308     .000
          .000      -2.390   .3301     .000         -.012   .3308     .000         -.004   .3308     .000          .003   .3308     .000         -.017   .3308     .000
          .000      -2.443   .3301     .000         -.013   .3308     .000          .150   .3308     .000          .193   .3308     .000         -.010   .3308     .000
          .000      -2.511   .3301     .000         -.014   .3308     .000          .817   .3308     .000          .936   .3308     .000          .039   .3308     .000
