 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                           
  
 Date:   1.10.    Time:  14: 1: 5
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
    2      5.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
    3     10.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
    4     15.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
    5     20.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
    6     25.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
    7     30.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
    8     35.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
    9     40.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   10     45.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   11     50.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   12     55.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   13     60.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   14     65.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   15     70.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   16     75.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   17     80.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   18     85.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   19     90.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   20     95.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   21    100.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   22    105.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   23    110.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   24    115.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   25    120.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   26    125.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   27    130.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   28    135.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   29    140.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   30    145.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   31    150.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   32    155.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   33    160.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   34    165.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   35    170.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
   36    175.00      .000      .331        .0    .250E+02     1.000      .000     1.000     1.000     1.000
