 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                           
  
 Date:   1.10.    Time:  14: 1: 5
 Units: L = cm   , T = hours, M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E-05  .10000E-05    3     3    -1     1     T
     2  .23000E-05  .13000E-05    2     5    -1     1     T
     3  .39900E-05  .16900E-05    4     9    -1     1     T
     4  .56800E-05  .16900E-05    2    11    -1     1     T
     5  .78770E-05  .21970E-05    2    13    -1     1     T
     6  .10733E-04  .28561E-05    2    15    -1     1     T
     7  .14446E-04  .37129E-05    2    17    -1     1     T
     8  .19273E-04  .48268E-05    2    19    -1     1     T
     9  .25548E-04  .62749E-05    5    24    -1     1     T
    10  .31823E-04  .62749E-05    2    26    -1     1     T
    11  .39980E-04  .81573E-05    8    34    -1     1     T
    12  .45690E-04  .57101E-05    2    36    -1     1     T
    13  .53113E-04  .74231E-05    3    39    -1     1     T
    14  .62763E-04  .96501E-05    3    42    -1     1     T
    15  .66945E-04  .41817E-05   16    79    -1     1     T
    16  .69872E-04  .29272E-05    4    83    -1     1     T
    17  .72799E-04  .29272E-05    4    87    -1     1     T
    18  .75727E-04  .29272E-05    4    91    -1     1     T
    19  .78654E-04  .29272E-05    2    93    -1     1     T
    20  .82459E-04  .38054E-05    2    95    -1     1     T
    21  .87406E-04  .49470E-05    9   104    -1     1     T
    22  .90869E-04  .34629E-05    2   106    -1     1     T
    23  .95371E-04  .45017E-05    8   114    -1     1     T
    24  .98522E-04  .31512E-05    2   116    -1     1     T
    25  .10262E-03  .40966E-05    3   119    -1     1     T
    26  .10794E-03  .53256E-05    7   126    -1     1     T
    27  .11167E-03  .37279E-05    2   128    -1     1     T
    28  .11652E-03  .48463E-05    3   131    -1     1     T
    29  .12282E-03  .63001E-05    2   133    -1     1     T
    30  .13101E-03  .81902E-05    2   135    -1     1     T
    31  .14166E-03  .10647E-04   15   150    -1     1     T
    32  .14911E-03  .74531E-05    2   152    -1     1     T
    33  .15880E-03  .96889E-05   12   164    -1     1     T
    34  .16558E-03  .67823E-05    5   169    -1     1     T
    35  .17236E-03  .67823E-05    4   173    -1     1     T
    36  .17914E-03  .67823E-05    3   176    -1     1     T
    37  .18796E-03  .88170E-05    9   185    -1     1     T
    38  .19413E-03  .61719E-05    5   190    -1     1     T
    39  .20031E-03  .61719E-05    2   192    -1     1     T
    40  .20833E-03  .80234E-05   11   203    -1     1     T
    41  .21395E-03  .56164E-05    2   205    -1     1     T
    42  .22125E-03  .73013E-05    6   211    -1     1     T
    43  .22855E-03  .73013E-05    2   213    -1     1     T
    44  .23804E-03  .94917E-05    6   219    -1     1     T
    45  .24753E-03  .94917E-05    4   223    -1     1     T
    46  .25702E-03  .94917E-05    4   227    -1     1     T
    47  .26651E-03  .94917E-05    4   231    -1     1     T
    48  .27601E-03  .94917E-05    4   235    -1     1     T
    49  .28550E-03  .94917E-05    3   238    -1     1     T
    50  .29784E-03  .12339E-04   12   250    -1     1     T
    51  .30648E-03  .86375E-05    2   252    -1     1     T
    52  .31770E-03  .11229E-04    7   259    -1     1     T
    53  .32556E-03  .78601E-05    7   266    -1     1     T
