 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                           
  
 Date:   1.10.    Time:  14: 2: 0
 Units: L = cm   , T = hours, M = mmol 



                             Node(  1)                      Node( 21)                      Node( 41)                      Node( 61)                      Node( 81)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          .001        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .002        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .003        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .004        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .005        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .006        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .007        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .009        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .011        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .012        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .014        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .016        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .017        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .019        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .021        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .024        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .026        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .029        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .032        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .035        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .038        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
          .041        .000   .3308     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000      -729.700   .1003     .000
