 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                           
  
 Date:   1.10.    Time:  14: 2: 0
 Units: L = cm   , T = hours, M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E-02  .10000E-02    6     6     1    -5     T
     2  .20000E-02  .10000E-02    5    11     1    -5     T
     3  .30000E-02  .10000E-02    6    17     1    -5     T
     4  .40000E-02  .10000E-02    5    22     1    -5     T
     5  .50000E-02  .10000E-02    5    27     1    -5     T
     6  .60000E-02  .10000E-02    3    30     1    -5     T
     7  .72993E-02  .12993E-02    3    33     1    -5     T
     8  .89905E-02  .16911E-02    5    38     1    -5     T
     9  .10682E-01  .16911E-02    4    42     1    -5     T
    10  .12373E-01  .16911E-02    4    46     1    -5     T
    11  .14064E-01  .16911E-02    4    50     1    -5     T
    12  .15755E-01  .16911E-02    4    54     1    -5     T
    13  .17446E-01  .16911E-02    4    58     1    -5     T
    14  .19137E-01  .16911E-02    3    61     1    -5     T
    15  .21337E-01  .21992E-02    4    65     1    -5     T
    16  .23536E-01  .21992E-02    3    68     1    -5     T
    17  .26391E-01  .28552E-02    4    72     1    -5     T
    18  .29246E-01  .28552E-02    4    76     1    -5     T
    19  .32101E-01  .28552E-02    4    80     1    -5     T
    20  .34956E-01  .28552E-02    4    84     1    -5     T
    21  .37812E-01  .28552E-02    4    88     1    -5     T
    22  .40667E-01  .28552E-02    3    91     1    -5     T
    23  .44385E-01  .37183E-02    4    95     1    -5     T
    24  .48103E-01  .37183E-02    4    99     1    -5     T
    25  .51822E-01  .37183E-02    4   103     1    -5     T
    26  .55540E-01  .37183E-02    4   107     1    -5     T
    27  .59259E-01  .37183E-02    4   111     1    -5     T
    28  .62977E-01  .37183E-02    3   114     1    -5     T
    29  .67807E-01  .48300E-02    4   118     1    -5     T
    30  .72637E-01  .48300E-02    4   122     1    -5     T
    31  .77467E-01  .48300E-02    4   126     1    -5     T
    32  .82297E-01  .48300E-02    4   130     1    -5     T
    33  .87127E-01  .48300E-02    4   134     1    -5     T
    34  .91957E-01  .48300E-02    4   138     1    -5     T
    35  .96787E-01  .48300E-02    3   141     1    -5     T
    36  .10306E+00  .62723E-02    4   145     1    -5     T
    37  .10933E+00  .62723E-02    4   149     1    -5     T
    38  .11560E+00  .62723E-02    4   153     1    -5     T
    39  .12188E+00  .62723E-02    4   157     1    -5     T
    40  .12815E+00  .62723E-02    4   161     1    -5     T
    41  .13442E+00  .62723E-02    4   165     1    -5     T
    42  .14069E+00  .62723E-02    4   169     1    -5     T
    43  .14697E+00  .62723E-02    4   173     1    -5     T
    44  .15324E+00  .62723E-02    3   176     1    -5     T
    45  .16138E+00  .81419E-02    5   181     1    -5     T
    46  .16952E+00  .81419E-02    5   186     1    -5     T
    47  .17766E+00  .81419E-02    4   190     1    -5     T
    48  .18581E+00  .81419E-02    4   194     1    -5     T
    49  .19395E+00  .81419E-02    4   198     1    -5     T
    50  .20209E+00  .81419E-02    4   202     1    -5     T
    51  .21023E+00  .81419E-02    4   206     1    -5     T
    52  .21837E+00  .81419E-02    4   210     1    -5     T
    53  .22652E+00  .81419E-02    5   215     1    -5     T
    54  .23466E+00  .81419E-02    4   219     1    -5     T
    55  .24280E+00  .81419E-02    4   223     1    -5     T
    56  .25094E+00  .81419E-02    4   227     1    -5     T
    57  .25908E+00  .81419E-02    4   231     1    -5     T
    58  .26723E+00  .81419E-02    4   235     1    -5     T
    59  .27537E+00  .81419E-02    4   239     1    -5     T
    60  .28351E+00  .81419E-02    4   243     1    -5     T
    61  .29165E+00  .81419E-02    8   251     1    -5     T
    62  .29736E+00  .57125E-02    3   254     1    -5     T
    63  .30476E+00  .73962E-02    6   260     1    -5     T
    64  .31216E+00  .73962E-02    5   265     1    -5     T
    65  .31955E+00  .73962E-02    4   269     1    -5     T
    66  .32695E+00  .73962E-02    5   274     1    -5     T
    67  .33434E+00  .73962E-02    9   283     1    -5     T
    68  .33954E+00  .52004E-02    3   286     1    -5     T
    69  .34628E+00  .67393E-02    5   291     1    -5     T
    70  .35302E+00  .67393E-02    6   297     1    -5     T
    71  .35976E+00  .67393E-02    6   303     1    -5     T
    72  .36650E+00  .67393E-02    7   310     1    -5     T
    73  .37123E+00  .47276E-02    5   315     1    -5     T
    74  .37596E+00  .47276E-02    2   317     1    -5     T
    75  .38208E+00  .61181E-02    8   325     1    -5     T
    76  .38637E+00  .42911E-02    2   327     1    -5     T
    77  .39194E+00  .55785E-02   10   337     1    -5     T
    78  .39587E+00  .39229E-02    2   339     1    -5     T
    79  .40094E+00  .50767E-02    6   345     1    -5     T
    80  .40602E+00  .50767E-02    4   349     1    -5     T
    81  .41110E+00  .50767E-02    2   351     1    -5     T
    82  .41771E+00  .66169E-02   18   369     1    -5     T
    83  .42234E+00  .46213E-02    2   371     1    -5     T
    84  .42835E+00  .60173E-02   10   381     1    -5     T
    85  .43256E+00  .42033E-02    2   383     1    -5     T
    86  .43801E+00  .54562E-02    8   391     1    -5     T
    87  .44184E+00  .38230E-02    5   396     1    -5     T
    88  .44566E+00  .38230E-02    3   399     1    -5     T
    89  .45065E+00  .49941E-02    7   406     1    -5     T
    90  .45415E+00  .34990E-02    5   411     1    -5     T
    91  .45765E+00  .34990E-02    2   413     1    -5     T
    92  .46217E+00  .45196E-02    3   416     1    -5     T
    93  .46808E+00  .59102E-02   10   426     1    -5     T
    94  .47220E+00  .41234E-02    2   428     1    -5     T
    95  .47759E+00  .53857E-02    8   436     1    -5     T
    96  .48135E+00  .37583E-02    5   441     1    -5     T
    97  .48511E+00  .37583E-02    5   446     1    -5     T
    98  .48887E+00  .37583E-02    3   449     1    -5     T
    99  .49373E+00  .48680E-02    2   451     1    -5     T
   100  .50006E+00  .63283E-02   10   461     1    -5     T
   101  .50453E+00  .44637E-02    4   465     1    -5     T
   102  .50899E+00  .44637E-02    6   471     1    -5     T
   103  .51345E+00  .44637E-02    5   476     1    -5     T
   104  .51792E+00  .44637E-02    3   479     1    -5     T
   105  .52372E+00  .58082E-02   11   490     1    -5     T
