 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                           
  
 Date:   1.10.    Time:  14: 1:28
 Units: L = cm   , T = hours, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .089      .251      -7.1    .198E+01     1.000      .000      .500      .600      .450
    2      5.00      .089      .250      -7.0    .197E+01      .993      .000      .496      .596      .448
    3     10.00      .089      .250      -7.0    .195E+01      .987      .000      .492      .592      .446
    4     15.00      .089      .249      -6.9    .194E+01      .980      .000      .488      .588      .444
    5     20.00      .089      .248      -6.9    .193E+01      .973      .000      .484      .584      .442
    6     25.00      .089      .248      -6.8    .191E+01      .967      .000      .480      .580      .440
    7     30.00      .089      .247      -6.8    .190E+01      .960      .000      .476      .576      .438
    8     35.00      .089      .246      -6.7    .189E+01      .953      .000      .472      .572      .436
    9     40.00      .089      .245      -6.6    .187E+01      .947      .000      .468      .568      .434
   10     45.00      .089      .245      -6.6    .186E+01      .940      .000      .464      .564      .432
   11     50.00      .089      .244      -6.5    .185E+01      .933      .000      .460      .560      .430
   12     55.00      .089      .243      -6.5    .183E+01      .927      .000      .456      .556      .428
   13     60.00      .089      .242      -6.4    .182E+01      .920      .000      .452      .552      .426
   14     65.00      .089      .242      -6.4    .181E+01      .913      .000      .448      .548      .424
   15     70.00      .089      .241      -6.3    .180E+01      .907      .000      .444      .544      .422
   16     75.00      .089      .240      -6.3    .178E+01      .900      .000      .440      .540      .420
   17     80.00      .089      .240      -6.2    .177E+01      .893      .000      .436      .536      .418
   18     85.00      .089      .239      -6.1    .176E+01      .887      .000      .432      .532      .416
   19     90.00      .089      .238      -6.1    .174E+01      .880      .000      .428      .528      .414
   20     95.00      .089      .237      -6.0    .173E+01      .873      .000      .424      .524      .412
   21    100.00      .089      .237      -6.0    .172E+01      .867      .000      .420      .520      .410
   22    105.00      .089      .236      -5.9    .170E+01      .860      .000      .416      .516      .408
   23    110.00      .089      .235      -5.9    .169E+01      .853      .000      .412      .512      .406
   24    115.00      .089      .235      -5.8    .168E+01      .847      .000      .408      .508      .404
   25    120.00      .089      .234      -5.7    .166E+01      .840      .000      .404      .504      .402
   26    125.00      .089      .233      -5.7    .165E+01      .833      .000      .400      .500      .400
   27    130.00      .089      .232      -5.6    .164E+01      .827      .000      .396      .496      .398
   28    135.00      .089      .232      -5.6    .162E+01      .820      .000      .392      .492      .396
   29    140.00      .089      .231      -5.5    .161E+01      .813      .000      .388      .488      .394
   30    145.00      .089      .230      -5.5    .160E+01      .807      .000      .384      .484      .392
   31    150.00      .089      .229      -5.4    .158E+01      .800      .000      .380      .480      .390
   32    155.00      .089      .229      -5.3    .157E+01      .793      .000      .376      .476      .388
   33    160.00      .089      .228      -5.3    .156E+01      .787      .000      .372      .472      .386
   34    165.00      .089      .227      -5.2    .154E+01      .780      .000      .368      .468      .384
   35    170.00      .089      .227      -5.2    .153E+01      .773      .000      .364      .464      .382
   36    175.00      .089      .226      -5.1    .152E+01      .767      .000      .360      .460      .380
   37    180.00      .089      .225      -5.1    .150E+01      .760      .000      .356      .456      .378
   38    185.00      .089      .224      -5.0    .149E+01      .753      .000      .352      .452      .376
   39    190.00      .089      .224      -4.9    .148E+01      .747      .000      .348      .448      .374
   40    195.00      .089      .223      -4.9    .147E+01      .740      .000      .344      .444      .372
   41    200.00      .089      .222      -4.8    .145E+01      .733      .000      .340      .440      .370
   42    205.00      .089      .222      -4.8    .144E+01      .727      .000      .336      .436      .368
   43    210.00      .089      .221      -4.7    .143E+01      .720      .000      .332      .432      .366
   44    215.00      .089      .220      -4.7    .141E+01      .713      .000      .328      .428      .364
   45    220.00      .089      .219      -4.6    .140E+01      .707      .000      .324      .424      .362
   46    225.00      .089      .219      -4.5    .139E+01      .700      .000      .320      .420      .360
   47    230.00      .089      .218      -4.5    .137E+01      .693      .000      .316      .416      .358
   48    235.00      .089      .217      -4.4    .136E+01      .687      .000      .312      .412      .356
   49    240.00      .089      .216      -4.4    .135E+01      .680      .000      .308      .408      .354
   50    245.00      .089      .216      -4.3    .133E+01      .673      .000      .304      .404      .352
   51    250.00      .089      .215      -4.3    .132E+01      .667      .000      .300      .400      .350
end
