 ******* Program HYDRUS
 ******* Infiltration and drainage in a large caisson                           
  
 Date:   1.10.    Time:  14: 1:28
 Units: L = cm   , T = hours, M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E-01  .10000E-01    3     3    -1    -5     T
     2  .22998E-01  .12998E-01    3     6    -1    -5     T
     3  .39898E-01  .16899E-01    3     9    -1    -5     T
     4  .61867E-01  .21970E-01    3    12    -1    -5     T
     5  .90436E-01  .28569E-01    3    15    -1    -5     T
     6  .12758E+00  .37139E-01    3    18    -1    -5     T
     7  .17583E+00  .48258E-01    3    21    -1    -5     T
     8  .23860E+00  .62761E-01    3    24    -1    -5     T
     9  .32010E+00  .81504E-01    3    27    -1    -5     T
    10  .42605E+00  .10596E+00    3    30    -1    -5     T
    11  .56395E+00  .13790E+00    3    33    -1    -5     T
    12  .74295E+00  .17900E+00    3    36    -1    -5     T
    13  .97575E+00  .23279E+00    3    39    -1    -5     T
    14  .12791E+01  .30338E+00    3    42    -1    -5     T
    15  .16717E+01  .39261E+00    3    45    -1    -5     T
    16  .21808E+01  .50910E+00    3    48    -1    -5     T
    17  .28449E+01  .66405E+00    4    52    -1    -5     T
    18  .35089E+01  .66405E+00    3    55    -1    -5     T
    19  .43813E+01  .87237E+00    4    59    -1    -5     T
    20  .52537E+01  .87237E+00    3    62    -1    -5     T
    21  .63786E+01  .11249E+01    3    65    -1    -5     T
    22  .78651E+01  .14865E+01    3    68    -1    -5     T
    23  .97763E+01  .19112E+01    4    72    -1    -5     T
    24  .11687E+02  .19112E+01    5    77    -1    -5     T
    25  .13599E+02  .19112E+01    4    81    -1    -5     T
    26  .15510E+02  .19112E+01    4    85    -1    -5     T
    27  .17421E+02  .19112E+01    3    88    -1    -5     T
    28  .19421E+02  .20000E+01    3    91    -1    -5     T
    29  .21421E+02  .20000E+01    3    94    -1    -5     T
    30  .23421E+02  .20000E+01    3    97    -1    -5     T
    31  .25421E+02  .20000E+01    3   100    -1    -5     T
    32  .27421E+02  .20000E+01    4   104    -1    -5     T
    33  .29421E+02  .20000E+01    3   107    -1    -5     T
    34  .31421E+02  .20000E+01    3   110    -1    -5     T
    35  .33421E+02  .20000E+01    3   113    -1    -5     T
    36  .35421E+02  .20000E+01    3   116    -1    -5     T
    37  .37421E+02  .20000E+01    3   119    -1    -5     T
    38  .39421E+02  .20000E+01    3   122    -1    -5     T
    39  .41421E+02  .20000E+01    3   125    -1    -5     T
    40  .43421E+02  .20000E+01    3   128    -1    -5     T
    41  .45421E+02  .20000E+01    3   131    -1    -5     T
    42  .46711E+02  .12895E+01    3   134    -1    -5     T
    43  .48000E+02  .12895E+01    3   137    -1    -5     T
    44  .50000E+02  .20000E+01    3   140    -1    -5     T
    45  .52000E+02  .20000E+01    3   143    -1    -5     T
    46  .54000E+02  .20000E+01    3   146    -1    -5     T
    47  .56000E+02  .20000E+01    3   149    -1    -5     T
    48  .58000E+02  .20000E+01    3   152    -1    -5     T
    49  .60000E+02  .20000E+01    3   155    -1    -5     T
    50  .62000E+02  .20000E+01    3   158    -1    -5     T
    51  .64000E+02  .20000E+01    3   161    -1    -5     T
    52  .66000E+02  .20000E+01    3   164    -1    -5     T
    53  .68000E+02  .20000E+01    3   167    -1    -5     T
    54  .70000E+02  .20000E+01    3   170    -1    -5     T
    55  .72000E+02  .20000E+01    3   173    -1    -5     T
    56  .74000E+02  .20000E+01    3   176    -1    -5     T
    57  .76000E+02  .20000E+01    3   179    -1    -5     T
    58  .78000E+02  .20000E+01    3   182    -1    -5     T
    59  .80000E+02  .20000E+01    3   185    -1    -5     T
    60  .82000E+02  .20000E+01    3   188    -1    -5     T
    61  .84000E+02  .20000E+01    3   191    -1    -5     T
    62  .86000E+02  .20000E+01    3   194    -1    -5     T
    63  .88000E+02  .20000E+01    3   197    -1    -5     T
    64  .90000E+02  .20000E+01    3   200    -1    -5     T
    65  .92000E+02  .20000E+01    3   203    -1    -5     T
    66  .94000E+02  .20000E+01    3   206    -1    -5     T
    67  .96000E+02  .20000E+01    3   209    -1    -5     T
    68  .98000E+02  .20000E+01    3   212    -1    -5     T
    69  .10000E+03  .20000E+01    3   215    -1    -5     T
    70  .10200E+03  .20000E+01    3   218    -1    -5     T
    71  .10400E+03  .20000E+01    3   221    -1    -5     T
    72  .10600E+03  .20000E+01    3   224    -1    -5     T
    73  .10800E+03  .20000E+01    3   227    -1    -5     T
    74  .11000E+03  .20000E+01    3   230    -1    -5     T
    75  .11200E+03  .20000E+01    3   233    -1    -5     T
    76  .11400E+03  .20000E+01    3   236    -1    -5     T
    77  .11600E+03  .20000E+01    3   239    -1    -5     T
    78  .11800E+03  .20000E+01    3   242    -1    -5     T
    79  .12000E+03  .20000E+01    3   245    -1    -5     T
    80  .12200E+03  .20000E+01    3   248    -1    -5     T
    81  .12400E+03  .20000E+01    3   251    -1    -5     T
    82  .12600E+03  .20000E+01    3   254    -1    -5     T
    83  .12800E+03  .20000E+01    3   257    -1    -5     T
    84  .13000E+03  .20000E+01    3   260    -1    -5     T
    85  .13200E+03  .20000E+01    3   263    -1    -5     T
    86  .13400E+03  .20000E+01    3   266    -1    -5     T
    87  .13600E+03  .20000E+01    3   269    -1    -5     T
    88  .13800E+03  .20000E+01    3   272    -1    -5     T
    89  .14000E+03  .20000E+01    3   275    -1    -5     T
    90  .14200E+03  .20000E+01    3   278    -1    -5     T
    91  .14400E+03  .20000E+01    3   281    -1    -5     T
    92  .14600E+03  .20000E+01    3   284    -1    -5     T
    93  .14800E+03  .20000E+01    3   287    -1    -5     T
    94  .15000E+03  .20000E+01    3   290    -1    -5     T
    95  .15200E+03  .20000E+01    3   293    -1    -5     T
    96  .15400E+03  .20000E+01    3   296    -1    -5     T
    97  .15600E+03  .20000E+01    3   299    -1    -5     T
    98  .15800E+03  .20000E+01    3   302    -1    -5     T
    99  .16000E+03  .20000E+01    3   305    -1    -5     T
   100  .16200E+03  .20000E+01    3   308    -1    -5     T
   101  .16400E+03  .20000E+01    3   311    -1    -5     T
   102  .16600E+03  .20000E+01    3   314    -1    -5     T
   103  .16800E+03  .20000E+01    3   317    -1    -5     T
   104  .17000E+03  .20000E+01    3   320    -1    -5     T
   105  .17200E+03  .20000E+01    3   323    -1    -5     T
   106  .17400E+03  .20000E+01    3   326    -1    -5     T
   107  .17600E+03  .20000E+01    3   329    -1    -5     T
   108  .17800E+03  .20000E+01    3   332    -1    -5     T
   109  .18000E+03  .20000E+01    3   335    -1    -5     T
   110  .18200E+03  .20000E+01    3   338    -1    -5     T
   111  .18400E+03  .20000E+01    3   341    -1    -5     T
   112  .18600E+03  .20000E+01    3   344    -1    -5     T
   113  .18800E+03  .20000E+01    3   347    -1    -5     T
   114  .19000E+03  .20000E+01    3   350    -1    -5     T
   115  .19200E+03  .20000E+01    3   353    -1    -5     T
   116  .19400E+03  .20000E+01    3   356    -1    -5     T
   117  .19600E+03  .20000E+01    3   359    -1    -5     T
   118  .19800E+03  .20000E+01    3   362    -1    -5     T
   119  .20000E+03  .20000E+01    3   365    -1    -5     T
   120  .20200E+03  .20000E+01    3   368    -1    -5     T
   121  .20400E+03  .20000E+01    3   371    -1    -5     T
   122  .20600E+03  .20000E+01    3   374    -1    -5     T
   123  .20800E+03  .20000E+01    3   377    -1    -5     T
   124  .21000E+03  .20000E+01    3   380    -1    -5     T
   125  .21200E+03  .20000E+01    3   383    -1    -5     T
   126  .21400E+03  .20000E+01    3   386    -1    -5     T
   127  .21600E+03  .20000E+01    3   389    -1    -5     T
   128  .21800E+03  .20000E+01    3   392    -1    -5     T
   129  .22000E+03  .20000E+01    3   395    -1    -5     T
   130  .22200E+03  .20000E+01    3   398    -1    -5     T
   131  .22400E+03  .20000E+01    3   401    -1    -5     T
   132  .22600E+03  .20000E+01    3   404    -1    -5     T
   133  .22800E+03  .20000E+01    3   407    -1    -5     T
   134  .23000E+03  .20000E+01    3   410    -1    -5     T
   135  .23200E+03  .20000E+01    3   413    -1    -5     T
   136  .23400E+03  .20000E+01    3   416    -1    -5     T
   137  .23600E+03  .20000E+01    3   419    -1    -5     T
   138  .23800E+03  .20000E+01    3   422    -1    -5     T
   139  .24000E+03  .20000E+01    3   425    -1    -5     T
   140  .24200E+03  .20000E+01    3   428    -1    -5     T
   141  .24400E+03  .20000E+01    3   431    -1    -5     T
   142  .24600E+03  .20000E+01    3   434    -1    -5     T
   143  .24800E+03  .20000E+01    3   437    -1    -5     T
   144  .25000E+03  .20000E+01    3   440    -1    -5     T
   145  .25200E+03  .20000E+01    3   443    -1    -5     T
   146  .25400E+03  .20000E+01    3   446    -1    -5     T
   147  .25600E+03  .20000E+01    3   449    -1    -5     T
   148  .25800E+03  .20000E+01    3   452    -1    -5     T
   149  .26000E+03  .20000E+01    3   455    -1    -5     T
   150  .26200E+03  .20000E+01    3   458    -1    -5     T
   151  .26400E+03  .20000E+01    3   461    -1    -5     T
   152  .26600E+03  .20000E+01    3   464    -1    -5     T
   153  .26800E+03  .20000E+01    3   467    -1    -5     T
   154  .27000E+03  .20000E+01    3   470    -1    -5     T
   155  .27200E+03  .20000E+01    3   473    -1    -5     T
   156  .27400E+03  .20000E+01    3   476    -1    -5     T
   157  .27600E+03  .20000E+01    3   479    -1    -5     T
   158  .27800E+03  .20000E+01    3   482    -1    -5     T
   159  .28000E+03  .20000E+01    3   485    -1    -5     T
   160  .28200E+03  .20000E+01    3   488    -1    -5     T
   161  .28400E+03  .20000E+01    3   491    -1    -5     T
   162  .28600E+03  .20000E+01    3   494    -1    -5     T
   163  .28800E+03  .20000E+01    3   497    -1    -5     T
   164  .29000E+03  .20000E+01    3   500    -1    -5     T
   165  .29200E+03  .20000E+01    3   503    -1    -5     T
   166  .29400E+03  .20000E+01    3   506    -1    -5     T
   167  .29600E+03  .20000E+01    3   509    -1    -5     T
