 ******* Program HYDRUS
 ******* Transient flow infolving hysteresis                                    
  
 Date:   1.10.    Time:  14: 2:55
 Units: L = cm   , T = hours, M = mmol 



                             Node(  1)                      Node( 11)                      Node( 21)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          .000    -611.042   .0643     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .001    -327.124   .0770     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .002    -243.123   .0858     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .002    -195.112   .0946     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .003    -163.884   .1033     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .003    -140.612   .1120     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .003    -121.585   .1205     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .004    -109.350   .1289     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .004     -97.626   .1371     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .005     -87.518   .1472     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .006     -78.421   .1568     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .006     -71.935   .1658     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .007     -66.572   .1742     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .008     -61.471   .1822     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .008     -56.890   .1917     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .009     -53.000   .2005     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .010     -49.283   .2089     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .011     -46.345   .2167     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .012     -44.037   .2238     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .013     -41.813   .2307     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .014     -39.044   .2392     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .015     -36.780   .2472     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .016     -34.977   .2543     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .017     -33.250   .2612     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .018     -31.600   .2677     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .019     -29.950   .2743     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .020     -28.452   .2814     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .022     -27.017   .2882     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .024     -25.336   .2962     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .025     -23.677   .3041     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .027     -22.462   .3105     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .029     -21.339   .3164     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .031     -20.284   .3219     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .033     -19.305   .3271     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .035     -18.400   .3319     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .036     -17.622   .3360     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .038     -16.941   .3397     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .040     -16.279   .3433     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .042     -15.598   .3469     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .044     -14.991   .3502     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .045     -14.460   .3529     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .047     -13.966   .3554     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .049     -13.468   .3580     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .051     -12.901   .3609     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .054     -12.387   .3635     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .056     -11.875   .3661     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .058     -11.364   .3685     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .061     -10.919   .3706     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .063     -10.522   .3724     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .065     -10.138   .3742     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .068      -9.741   .3760     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .070      -9.343   .3778     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
          .072      -8.996   .3792     .000     -1050.000   .0584     .000     -1040.000   .0585     .000
