 ******* Program HYDRUS
 ******* Transient flow infolving hysteresis                                    
  
 Date:   1.10.    Time:  14: 2:55
 Units: L = cm   , T = hours, M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .33333E-03  .33333E-03    8    28    -4    -5     T
     2  .10352E-02  .70188E-03    7    35    -4    -5     T
     3  .15251E-02  .48992E-03    6    41    -4    -5     T
     4  .20151E-02  .48992E-03    5    46    -4    -5     T
     5  .25050E-02  .48992E-03    5    51    -4    -5     T
     6  .29949E-02  .48992E-03    5    56    -4    -5     T
     7  .34848E-02  .48992E-03    5    61    -4    -5     T
     8  .39748E-02  .48992E-03    5    66    -4    -5     T
     9  .44647E-02  .48992E-03    3    69    -4    -5     T
    10  .51016E-02  .63690E-03    6    75    -4    -5     T
    11  .57385E-02  .63690E-03    4    79    -4    -5     T
    12  .63754E-02  .63690E-03    6    85    -4    -5     T
    13  .70123E-02  .63690E-03    4    89    -4    -5     T
    14  .76492E-02  .63690E-03    3    92    -4    -5     T
    15  .84738E-02  .82456E-03    6    98    -4    -5     T
    16  .92983E-02  .82456E-03    4   102    -4    -5     T
    17  .10123E-01  .82456E-03    4   106    -4    -5     T
    18  .10947E-01  .82456E-03    5   111    -4    -5     T
    19  .11772E-01  .82456E-03    5   116    -4    -5     T
    20  .12597E-01  .82456E-03    3   119    -4    -5     T
    21  .13676E-01  .10791E-02    5   124    -4    -5     T
    22  .14755E-01  .10791E-02    5   129    -4    -5     T
    23  .15834E-01  .10791E-02    5   134    -4    -5     T
    24  .16913E-01  .10791E-02    4   138    -4    -5     T
    25  .17992E-01  .10791E-02    5   143    -4    -5     T
    26  .19071E-01  .10791E-02    3   146    -4    -5     T
    27  .20466E-01  .13953E-02    5   151    -4    -5     T
    28  .21862E-01  .13953E-02    3   154    -4    -5     T
    29  .23679E-01  .18172E-02    6   160    -4    -5     T
    30  .25496E-01  .18172E-02    4   164    -4    -5     T
    31  .27313E-01  .18172E-02    6   170    -4    -5     T
    32  .29130E-01  .18172E-02    4   174    -4    -5     T
    33  .30947E-01  .18172E-02    6   180    -4    -5     T
    34  .32765E-01  .18172E-02    5   185    -4    -5     T
