 ******* Program HYDRUS
 ******* Transient flow infolving hysteresis                                    
  
 Date:   1.10.    Time:  14: 3:26
 Units: L = cm   , T = hours, M = mmol 



                             Node(  1)                      Node( 11)                      Node( 21)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          .001   -1060.000   .0691     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .002    -545.611   .0871     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .003    -406.635   .0996     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .003    -322.252   .1121     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .004    -253.957   .1279     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .005    -211.844   .1429     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .006    -182.016   .1567     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .007    -161.587   .1693     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .008    -142.781   .1832     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .009    -129.239   .1954     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .011    -118.128   .2062     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .012    -109.077   .2179     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .014    -100.558   .2291     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .016     -92.120   .2416     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .018     -86.006   .2522     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .020     -80.261   .2624     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .022     -74.082   .2742     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .025     -69.834   .2838     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .027     -65.955   .2925     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .030     -62.337   .3008     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .033     -58.555   .3100     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .037     -55.945   .3171     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .040     -53.192   .3245     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
          .044     -50.479   .3320     .000     -1050.000   .0692     .000     -1040.000   .0694     .000
