 ******* Program HYDRUS
 ******* Transient flow infolving hysteresis                                    
  
 Date:   1.10.    Time:  14: 3:26
 Units: L = cm   , T = hours, M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E-02  .10000E-02    2     2    -4    -5     T
     2  .20000E-02  .10000E-02    7     9    -4    -5     T
     3  .27000E-02  .70000E-03    4    13    -4    -5     T
     4  .34000E-02  .70000E-03    3    16    -4    -5     T
     5  .43113E-02  .91132E-03    4    20    -4    -5     T
     6  .52226E-02  .91132E-03    4    24    -4    -5     T
     7  .61340E-02  .91132E-03    4    28    -4    -5     T
     8  .70453E-02  .91132E-03    3    31    -4    -5     T
     9  .82219E-02  .11766E-02    4    35    -4    -5     T
    10  .93986E-02  .11766E-02    4    39    -4    -5     T
    11  .10575E-01  .11766E-02    3    42    -4    -5     T
    12  .12117E-01  .15418E-02    4    46    -4    -5     T
    13  .13659E-01  .15418E-02    3    49    -4    -5     T
    14  .15667E-01  .20079E-02    4    53    -4    -5     T
    15  .17675E-01  .20079E-02    4    57    -4    -5     T
    16  .19683E-01  .20079E-02    3    60    -4    -5     T
    17  .22274E-01  .25909E-02    4    64    -4    -5     T
    18  .24864E-01  .25909E-02    4    68    -4    -5     T
    19  .27455E-01  .25909E-02    4    72    -4    -5     T
    20  .30046E-01  .25909E-02    3    75    -4    -5     T
    21  .33377E-01  .33311E-02    5    80    -4    -5     T
    22  .36708E-01  .33311E-02    4    84    -4    -5     T
    23  .40040E-01  .33311E-02    3    87    -4    -5     T
    24  .44322E-01  .42829E-02    5    92    -4    -5     T
    25  .48605E-01  .42829E-02    4    96    -4    -5     T
    26  .52888E-01  .42829E-02    5   101    -4    -5     T
    27  .57171E-01  .42829E-02    5   106    -4    -5     T
    28  .61454E-01  .42829E-02    3   109    -4    -5     T
    29  .66961E-01  .55066E-02    5   114    -4    -5     T
    30  .72467E-01  .55066E-02    5   119    -4    -5     T
    31  .77974E-01  .55066E-02    4   123    -4    -5     T
    32  .83480E-01  .55066E-02    4   127    -4    -5     T
    33  .88987E-01  .55066E-02    5   132    -4    -5     T
    34  .94493E-01  .55066E-02    4   136    -4    -5     T
    35  .10000E+00  .55066E-02    4   140    -4    -5     T
    36  .10571E+00  .57143E-02    4   144    -4    -5     T
    37  .11143E+00  .57143E-02    4   148    -4    -5     T
    38  .11714E+00  .57143E-02    4   152    -4    -5     T
    39  .12286E+00  .57143E-02    5   157    -4    -5     T
    40  .12857E+00  .57143E-02    3   160    -4    -5     T
    41  .13600E+00  .74286E-02    4   164    -4    -5     T
    42  .14343E+00  .74286E-02    5   169    -4    -5     T
    43  .15086E+00  .74286E-02    5   174    -4    -5     T
    44  .15829E+00  .74286E-02    5   179    -4    -5     T
    45  .16571E+00  .74286E-02    4   183    -4    -5     T
    46  .17314E+00  .74286E-02    4   187    -4    -5     T
    47  .18057E+00  .74286E-02    4   191    -4    -5     T
    48  .18800E+00  .74286E-02    4   195    -4    -5     T
    49  .19543E+00  .74286E-02    5   200    -4    -5     T
    50  .20286E+00  .74286E-02    5   205    -4    -5     T
    51  .21029E+00  .74286E-02    4   209    -4    -5     T
    52  .21771E+00  .74286E-02    4   213    -4    -5     T
    53  .22514E+00  .74286E-02    5   218    -4    -5     T
    54  .23257E+00  .74286E-02    5   223    -4    -5     T
    55  .24000E+00  .74286E-02    5   228    -4    -5     T
    56  .24743E+00  .74286E-02    4   232    -4    -5     T
    57  .25486E+00  .74286E-02    4   236    -4    -5     T
    58  .26229E+00  .74286E-02    5   241    -4    -5     T
    59  .26971E+00  .74286E-02    5   246    -4    -5     T
    60  .27714E+00  .74286E-02    5   251    -4    -5     T
    61  .28457E+00  .74286E-02    4   255    -4    -5     T
    62  .29200E+00  .74286E-02    4   259    -4    -5     T
    63  .29943E+00  .74286E-02    4   263    -4    -5     T
    64  .30686E+00  .74286E-02    4   267    -4    -5     T
    65  .31429E+00  .74286E-02    4   271    -4    -5     T
    66  .32171E+00  .74286E-02    4   275    -4    -5     T
    67  .32914E+00  .74286E-02    4   279    -4    -5     T
    68  .33657E+00  .74286E-02    4   283    -4    -5     T
    69  .34400E+00  .74286E-02    5   288    -4    -5     T
    70  .35143E+00  .74286E-02    5   293    -4    -5     T
    71  .35886E+00  .74286E-02    5   298    -4    -5     T
    72  .36629E+00  .74286E-02    4   302    -4    -5     T
    73  .37371E+00  .74286E-02    4   306    -4    -5     T
    74  .38114E+00  .74286E-02    4   310    -4    -5     T
    75  .38857E+00  .74286E-02    4   314    -4    -5     T
    76  .39600E+00  .74286E-02    4   318    -4    -5     T
    77  .40343E+00  .74286E-02    4   322    -4    -5     T
    78  .41086E+00  .74286E-02    4   326    -4    -5     T
    79  .41829E+00  .74286E-02    4   330    -4    -5     T
    80  .42571E+00  .74286E-02    5   335    -4    -5     T
    81  .43314E+00  .74286E-02    5   340    -4    -5     T
    82  .44057E+00  .74286E-02    5   345    -4    -5     T
    83  .44800E+00  .74286E-02    4   349    -4    -5     T
    84  .45543E+00  .74286E-02    4   353    -4    -5     T
    85  .46286E+00  .74286E-02    4   357    -4    -5     T
    86  .47029E+00  .74286E-02    4   361    -4    -5     T
    87  .47771E+00  .74286E-02    4   365    -4    -5     T
    88  .48514E+00  .74286E-02    4   369    -4    -5     T
    89  .49257E+00  .74286E-02    4   373    -4    -5     T
    90  .50000E+00  .74286E-02    4   377    -4    -5     T
    91  .50746E+00  .74627E-02    5   382    -4    -5     T
    92  .51493E+00  .74627E-02    4   386    -4    -5     T
    93  .52239E+00  .74627E-02    5   391    -4    -5     T
    94  .52985E+00  .74627E-02    4   395    -4    -5     T
    95  .53731E+00  .74627E-02    4   399    -4    -5     T
    96  .54478E+00  .74627E-02    4   403    -4    -5     T
    97  .55224E+00  .74627E-02    4   407    -4    -5     T
    98  .55970E+00  .74627E-02    4   411    -4    -5     T
    99  .56716E+00  .74627E-02    4   415    -4    -5     T
   100  .57463E+00  .74627E-02    4   419    -4    -5     T
   101  .58209E+00  .74627E-02    4   423    -4    -5     T
   102  .58955E+00  .74627E-02    4   427    -4    -5     T
   103  .59701E+00  .74627E-02    4   431    -4    -5     T
   104  .60448E+00  .74627E-02    4   435    -4    -5     T
   105  .61194E+00  .74627E-02    4   439    -4    -5     T
   106  .61940E+00  .74627E-02    4   443    -4    -5     T
   107  .62687E+00  .74627E-02    4   447    -4    -5     T
   108  .63433E+00  .74627E-02    5   452    -4    -5     T
   109  .64179E+00  .74627E-02    5   457    -4    -5     T
   110  .64925E+00  .74627E-02    5   462    -4    -5     T
   111  .65672E+00  .74627E-02    4   466    -4    -5     T
   112  .66418E+00  .74627E-02    4   470    -4    -5     T
   113  .67164E+00  .74627E-02    4   474    -4    -5     T
   114  .67910E+00  .74627E-02    4   478    -4    -5     T
   115  .68657E+00  .74627E-02    4   482    -4    -5     T
   116  .69403E+00  .74627E-02    4   486    -4    -5     T
   117  .70149E+00  .74627E-02    4   490    -4    -5     T
   118  .70896E+00  .74627E-02    4   494    -4    -5     T
   119  .71642E+00  .74627E-02    4   498    -4    -5     T
   120  .72388E+00  .74627E-02    4   502    -4    -5     T
   121  .73134E+00  .74627E-02    4   506    -4    -5     T
   122  .73881E+00  .74627E-02    4   510    -4    -5     T
   123  .74627E+00  .74627E-02    4   514     4    -5     T
   124  .75373E+00  .74627E-02    4   518     4    -5     T
   125  .76119E+00  .74627E-02    4   522     4    -5     T
   126  .76866E+00  .74627E-02    5   527     4    -5     T
   127  .77612E+00  .74627E-02    5   532     4    -5     T
   128  .78358E+00  .74627E-02    4   536     4    -5     T
   129  .79104E+00  .74627E-02    4   540     4    -5     T
   130  .79851E+00  .74627E-02    4   544     4    -5     T
   131  .80597E+00  .74627E-02    4   548     4    -5     T
   132  .81343E+00  .74627E-02    4   552     4    -5     T
   133  .82090E+00  .74627E-02    4   556     4    -5     T
   134  .82836E+00  .74627E-02    4   560     4    -5     T
   135  .83582E+00  .74627E-02    4   564     4    -5     T
   136  .84328E+00  .74627E-02    4   568     4    -5     T
   137  .85075E+00  .74627E-02    4   572     4    -5     T
   138  .85821E+00  .74627E-02    3   575     4    -5     T
   139  .86766E+00  .94528E-02    5   580     4    -5     T
   140  .87711E+00  .94528E-02    5   585     4    -5     T
   141  .88657E+00  .94528E-02    5   590     4    -5     T
   142  .89602E+00  .94528E-02    4   594     4    -5     T
   143  .90547E+00  .94528E-02    4   598     4    -5     T
   144  .91493E+00  .94528E-02    5   603     4    -5     T
   145  .92438E+00  .94528E-02    5   608     4    -5     T
   146  .93383E+00  .94528E-02    5   613     4    -5     T
   147  .94328E+00  .94528E-02    4   617     4    -5     T
