 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption - Lai - Jurinak      
  
 Date:   1.10.    Time:  14: 3:59
 Units: L = cm   , T = days , M = mmol 



                             Node(  1)                                 Node( 51)                                 Node(101)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
          .001        .000   .4480   20.000   .167E+01          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .002        .000   .4480   20.000   .382E+01          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .004        .000   .4480   20.000   .656E+01          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .006        .000   .4480   20.000   .100E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .009        .000   .4480   20.000   .144E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .013        .000   .4480   20.000   .199E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .018        .000   .4480   20.000   .267E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .024        .000   .4480   20.000   .350E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .032        .000   .4480   20.000   .449E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .043        .000   .4480   20.000   .564E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .056        .000   .4480   20.000   .693E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .074        .000   .4480   20.000   .832E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .098        .000   .4480   20.000   .970E+02          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .128        .000   .4480   20.000   .110E+03          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .167        .000   .4480   20.000   .120E+03          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .218        .000   .4480   20.000   .126E+03          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .285        .000   .4480   20.000   .129E+03          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .370        .000   .4480   20.000   .128E+03          .000   .4480   20.000   .000E+00          .000   .4480   20.000   .000E+00
          .449        .000   .4480   20.000   .127E+03          .000   .4480   20.000   .548E-29          .000   .4480   20.000   .000E+00
          .530        .000   .4480   20.000   .126E+03          .000   .4480   20.000   .156E-27          .000   .4480   20.000   .000E+00
          .610        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .308E-26          .000   .4480   20.000   .000E+00
          .691        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .511E-25          .000   .4480   20.000   .000E+00
          .771        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .680E-24          .000   .4480   20.000   .000E+00
          .852        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .795E-23          .000   .4480   20.000   .000E+00
          .932        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .789E-22          .000   .4480   20.000   .000E+00
         1.013        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .711E-21          .000   .4480   20.000   .000E+00
         1.093        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .561E-20          .000   .4480   20.000   .000E+00
         1.174        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .410E-19          .000   .4480   20.000   .000E+00
         1.254        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .268E-18          .000   .4480   20.000   .000E+00
         1.335        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .165E-17          .000   .4480   20.000   .000E+00
         1.415        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .921E-17          .000   .4480   20.000   .000E+00
         1.496        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .487E-16          .000   .4480   20.000   .000E+00
         1.576        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .238E-15          .000   .4480   20.000   .000E+00
         1.657        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .110E-14          .000   .4480   20.000   .000E+00
         1.737        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .478E-14          .000   .4480   20.000   .000E+00
         1.818        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .198E-13          .000   .4480   20.000   .000E+00
         1.898        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .769E-13          .000   .4480   20.000   .000E+00
         1.979        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .288E-12          .000   .4480   20.000   .000E+00
         2.059        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .102E-11          .000   .4480   20.000   .000E+00
         2.140        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .347E-11          .000   .4480   20.000   .000E+00
         2.220        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .112E-10          .000   .4480   20.000   .000E+00
         2.301        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .351E-10          .000   .4480   20.000   .000E+00
         2.381        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .105E-09          .000   .4480   20.000   .000E+00
         2.462        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .305E-09          .000   .4480   20.000   .000E+00
         2.542        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .846E-09          .000   .4480   20.000   .000E+00
         2.623        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .229E-08          .000   .4480   20.000   .000E+00
         2.703        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .594E-08          .000   .4480   20.000   .000E+00
         2.784        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .150E-07          .000   .4480   20.000   .000E+00
         2.864        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .367E-07          .000   .4480   20.000   .000E+00
         2.945        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .874E-07          .000   .4480   20.000   .000E+00
         3.025        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .201E-06          .000   .4480   20.000   .000E+00
         3.106        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .453E-06          .000   .4480   20.000   .000E+00
         3.186        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .987E-06          .000   .4480   20.000   .000E+00
         3.267        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .211E-05          .000   .4480   20.000   .000E+00
         3.347        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .437E-05          .000   .4480   20.000   .200E-29
         3.427        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .888E-05          .000   .4480   20.000   .105E-28
         3.508        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .176E-04          .000   .4480   20.000   .446E-28
         3.588        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .341E-04          .000   .4480   20.000   .179E-27
         3.669        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .645E-04          .000   .4480   20.000   .681E-27
         3.749        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .120E-03          .000   .4480   20.000   .256E-26
         3.829        .000   .4480   20.000   .125E+03          .000   .4480   20.000   .218E-03          .000   .4480   20.000   .925E-26
         3.910        .000   .4480   20.000   .308E+02          .000   .4480   20.000   .388E-03          .000   .4480   20.000   .331E-25
         3.990        .000   .4480   20.000   .239E+01          .000   .4480   20.000   .677E-03          .000   .4480   20.000   .114E-24
         4.071        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .116E-02          .000   .4480   20.000   .390E-24
         4.151        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .196E-02          .000   .4480   20.000   .129E-23
         4.232        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .324E-02          .000   .4480   20.000   .422E-23
         4.312        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .526E-02          .000   .4480   20.000   .134E-22
         4.393        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .843E-02          .000   .4480   20.000   .420E-22
         4.473        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .132E-01          .000   .4480   20.000   .128E-21
         4.554        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .205E-01          .000   .4480   20.000   .386E-21
         4.634        .000   .4480   20.000   .123E-01          .000   .4480   20.000   .313E-01          .000   .4480   20.000   .113E-20
         4.715        .000   .4480   20.000   .108E-01          .000   .4480   20.000   .470E-01          .000   .4480   20.000   .329E-20
         4.795        .000   .4480   20.000   .599E-02          .000   .4480   20.000   .695E-01          .000   .4480   20.000   .929E-20
         4.876        .000   .4480   20.000   .250E-02          .000   .4480   20.000   .102E+00          .000   .4480   20.000   .260E-19
         4.956        .000   .4480   20.000   .680E-03          .000   .4480   20.000   .146E+00          .000   .4480   20.000   .710E-19
         5.036        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .208E+00          .000   .4480   20.000   .192E-18
         5.116        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .291E+00          .000   .4480   20.000   .506E-18
         5.197        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .403E+00          .000   .4480   20.000   .132E-17
         5.277        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .549E+00          .000   .4480   20.000   .338E-17
         5.358        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .743E+00          .000   .4480   20.000   .855E-17
         5.438        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .989E+00          .000   .4480   20.000   .211E-16
         5.519        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .131E+01          .000   .4480   20.000   .518E-16
         5.599        .000   .4480   20.000   .000E+00          .000   .4480   20.000   .170E+01          .000   .4480   20.000   .124E-15
