 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]
        .00100   .330E+03   .000E+00   .330E+00   .000E+00   .000E+00   .000E+00   .167E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       1
        .00230   .330E+03   .000E+00   .759E+00   .000E+00   .000E+00   .000E+00   .382E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       2
        .00399   .330E+03   .000E+00   .132E+01   .000E+00   .000E+00   .000E+00   .656E+01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       3
        .00619   .330E+03   .000E+00   .204E+01   .000E+00   .000E+00   .000E+00   .100E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       4
        .00904   .330E+03   .000E+00   .298E+01   .000E+00   .000E+00   .000E+00   .144E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       5
        .01276   .330E+03   .000E+00   .421E+01   .000E+00   .000E+00   .000E+00   .199E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       6
        .01758   .330E+03   .000E+00   .580E+01   .000E+00   .000E+00   .000E+00   .267E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       7
        .02386   .330E+03   .000E+00   .787E+01   .000E+00   .000E+00   .000E+00   .350E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       8
        .03201   .330E+03   .000E+00   .106E+02   .000E+00   .000E+00   .000E+00   .449E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       9
        .04262   .330E+03   .000E+00   .141E+02   .000E+00   .000E+00   .000E+00   .564E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      10
        .05641   .330E+03   .000E+00   .186E+02   .000E+00   .000E+00   .000E+00   .693E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      11
        .07433   .330E+03   .000E+00   .245E+02   .000E+00   .000E+00   .000E+00   .832E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      12
        .09763   .330E+03   .000E+00   .322E+02   .000E+00   .000E+00   .000E+00   .970E+02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      13
        .12791   .330E+03   .000E+00   .422E+02   .000E+00   .000E+00   .000E+00   .110E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      14
        .16724   .330E+03   .000E+00   .552E+02   .000E+00   .000E+00   .000E+00   .120E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      15
        .21845   .330E+03   .000E+00   .721E+02   .000E+00   .000E+00   .000E+00   .126E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      16
        .28499   .330E+03   .000E+00   .940E+02   .000E+00   .000E+00   .000E+00   .129E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      17
        .37021   .330E+03   .000E+00   .122E+03   .000E+00   .000E+00   .000E+00   .128E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      18
        .44914   .330E+03   .000E+00   .148E+03   .000E+00   .000E+00   .000E+00   .127E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      19
        .53008   .330E+03   .000E+00   .175E+03   .000E+00   .000E+00   .000E+00   .126E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      20
        .61034   .330E+03   .000E+00   .201E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      21
        .69108   .330E+03   .000E+00   .228E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      22
        .77133   .330E+03   .000E+00   .255E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      23
        .85207   .330E+03   .000E+00   .281E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      24
        .93231   .330E+03   .000E+00   .308E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      25
       1.01305   .330E+03   .000E+00   .334E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      26
       1.09329   .330E+03   .000E+00   .361E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      27
       1.17404   .330E+03   .000E+00   .387E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      28
       1.25427   .330E+03   .000E+00   .414E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      29
       1.33502   .330E+03   .000E+00   .441E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      30
       1.41525   .330E+03   .000E+00   .467E+03   .000E+00   .000E+00   .000E+00   .125E+03   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      31
