 ******* Program HYDRUS
 ******* Solute transport with nonlinear cation adsorption                      
  
 Date:   1.10.    Time:  14: 4:20
 Units: L = cm   , T = days , M = mmol 



                             Node(  1)                                 Node( 21)                                 Node( 44)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
          .001        .000   .6330   20.000   .264E-01          .000   .6330   20.000   .000E+00          .000   .6330   20.000   .000E+00
          .002        .000   .6330   20.000   .481E-01          .000   .6330   20.000   .000E+00          .000   .6330   20.000   .000E+00
          .003        .000   .6330   20.000   .728E-01          .000   .6330   20.000   .000E+00          .000   .6330   20.000   .000E+00
          .005        .000   .6330   20.000   .101E+00          .000   .6330   20.000   .000E+00          .000   .6330   20.000   .000E+00
          .007        .000   .6330   20.000   .134E+00          .000   .6330   20.000   .103E-28          .000   .6330   20.000   .000E+00
          .010        .000   .6330   20.000   .171E+00          .000   .6330   20.000   .209E-26          .000   .6330   20.000   .000E+00
          .014        .000   .6330   20.000   .214E+00          .000   .6330   20.000   .355E-24          .000   .6330   20.000   .000E+00
          .019        .000   .6330   20.000   .264E+00          .000   .6330   20.000   .504E-22          .000   .6330   20.000   .000E+00
          .025        .000   .6330   20.000   .320E+00          .000   .6330   20.000   .591E-20          .000   .6330   20.000   .000E+00
          .033        .000   .6330   20.000   .384E+00          .000   .6330   20.000   .563E-18          .000   .6330   20.000   .000E+00
          .044        .000   .6330   20.000   .456E+00          .000   .6330   20.000   .427E-16          .000   .6330   20.000   .000E+00
          .057        .000   .6330   20.000   .536E+00          .000   .6330   20.000   .253E-14          .000   .6330   20.000   .000E+00
          .075        .000   .6330   20.000   .626E+00          .000   .6330   20.000   .115E-12          .000   .6330   20.000   .544E-28
          .099        .000   .6330   20.000   .724E+00          .000   .6330   20.000   .397E-11          .000   .6330   20.000   .878E-25
          .122        .000   .6330   20.000   .811E+00          .000   .6330   20.000   .298E-10          .000   .6330   20.000   .181E-23
          .152        .000   .6330   20.000   .908E+00          .000   .6330   20.000   .344E-09          .000   .6330   20.000   .341E-21
          .192        .000   .6330   20.000   .102E+01          .000   .6330   20.000   .433E-08          .000   .6330   20.000   .100E-18
          .243        .000   .6330   20.000   .114E+01          .000   .6330   20.000   .486E-07          .000   .6330   20.000   .218E-16
          .294        .000   .6330   20.000   .124E+01          .000   .6330   20.000   .223E-06          .000   .6330   20.000   .294E-15
          .360        .000   .6330   20.000   .136E+01          .000   .6330   20.000   .120E-05          .000   .6330   20.000   .124E-13
          .447        .000   .6330   20.000   .149E+01          .000   .6330   20.000   .645E-05          .000   .6330   20.000   .647E-12
          .533        .000   .6330   20.000   .161E+01          .000   .6330   20.000   .202E-04          .000   .6330   20.000   .585E-11
          .646        .000   .6330   20.000   .174E+01          .000   .6330   20.000   .675E-04          .000   .6330   20.000   .983E-10
          .758        .000   .6330   20.000   .186E+01          .000   .6330   20.000   .163E-03          .000   .6330   20.000   .620E-09
          .905        .000   .6330   20.000   .200E+01          .000   .6330   20.000   .411E-03          .000   .6330   20.000   .594E-08
         1.095        .000   .6330   20.000   .215E+01          .000   .6330   20.000   .104E-02          .000   .6330   20.000   .639E-07
         1.284        .000   .6330   20.000   .229E+01          .000   .6330   20.000   .203E-02          .000   .6330   20.000   .300E-06
         1.531        .000   .6330   20.000   .245E+01          .000   .6330   20.000   .403E-02          .000   .6330   20.000   .170E-05
         1.778        .000   .6330   20.000   .259E+01          .000   .6330   20.000   .677E-02          .000   .6330   20.000   .587E-05
         2.099        .000   .6330   20.000   .275E+01          .000   .6330   20.000   .116E-01          .000   .6330   20.000   .231E-04
         2.421        .000   .6330   20.000   .290E+01          .000   .6330   20.000   .177E-01          .000   .6330   20.000   .632E-04
         2.838        .000   .6330   20.000   .307E+01          .000   .6330   20.000   .274E-01          .000   .6330   20.000   .188E-03
         3.255        .000   .6330   20.000   .322E+01          .000   .6330   20.000   .388E-01          .000   .6330   20.000   .425E-03
         3.755        .000   .6330   20.000   .339E+01          .000   .6330   20.000   .545E-01          .000   .6330   20.000   .942E-03
         4.255        .000   .6330   20.000   .354E+01          .000   .6330   20.000   .720E-01          .000   .6330   20.000   .176E-02
         4.755        .000   .6330   20.000   .367E+01          .000   .6330   20.000   .909E-01          .000   .6330   20.000   .292E-02
         5.255        .000   .6330   20.000   .380E+01          .000   .6330   20.000   .111E+00          .000   .6330   20.000   .447E-02
         5.755        .000   .6330   20.000   .392E+01          .000   .6330   20.000   .132E+00          .000   .6330   20.000   .642E-02
         6.255        .000   .6330   20.000   .403E+01          .000   .6330   20.000   .155E+00          .000   .6330   20.000   .880E-02
         6.755        .000   .6330   20.000   .413E+01          .000   .6330   20.000   .178E+00          .000   .6330   20.000   .116E-01
         7.255        .000   .6330   20.000   .423E+01          .000   .6330   20.000   .202E+00          .000   .6330   20.000   .148E-01
         7.755        .000   .6330   20.000   .432E+01          .000   .6330   20.000   .227E+00          .000   .6330   20.000   .185E-01
         8.255        .000   .6330   20.000   .441E+01          .000   .6330   20.000   .252E+00          .000   .6330   20.000   .225E-01
         8.755        .000   .6330   20.000   .449E+01          .000   .6330   20.000   .278E+00          .000   .6330   20.000   .269E-01
         9.255        .000   .6330   20.000   .457E+01          .000   .6330   20.000   .304E+00          .000   .6330   20.000   .317E-01
         9.755        .000   .6330   20.000   .465E+01          .000   .6330   20.000   .331E+00          .000   .6330   20.000   .369E-01
        10.255        .000   .6330   20.000   .472E+01          .000   .6330   20.000   .358E+00          .000   .6330   20.000   .424E-01
        10.755        .000   .6330   20.000   .479E+01          .000   .6330   20.000   .385E+00          .000   .6330   20.000   .483E-01
        11.255        .000   .6330   20.000   .486E+01          .000   .6330   20.000   .413E+00          .000   .6330   20.000   .545E-01
        11.755        .000   .6330   20.000   .493E+01          .000   .6330   20.000   .441E+00          .000   .6330   20.000   .610E-01
        12.255        .000   .6330   20.000   .499E+01          .000   .6330   20.000   .469E+00          .000   .6330   20.000   .677E-01
        12.755        .000   .6330   20.000   .505E+01          .000   .6330   20.000   .498E+00          .000   .6330   20.000   .748E-01
        13.255        .000   .6330   20.000   .511E+01          .000   .6330   20.000   .527E+00          .000   .6330   20.000   .822E-01
        13.755        .000   .6330   20.000   .517E+01          .000   .6330   20.000   .555E+00          .000   .6330   20.000   .898E-01
        14.255        .000   .6330   20.000   .522E+01          .000   .6330   20.000   .584E+00          .000   .6330   20.000   .976E-01
        14.755        .000   .6330   20.000   .528E+01          .000   .6330   20.000   .613E+00          .000   .6330   20.000   .106E+00
        15.255        .000   .6330   20.000   .533E+01          .000   .6330   20.000   .643E+00          .000   .6330   20.000   .114E+00
        15.755        .000   .6330   20.000   .538E+01          .000   .6330   20.000   .672E+00          .000   .6330   20.000   .123E+00
        16.255        .000   .6330   20.000   .543E+01          .000   .6330   20.000   .701E+00          .000   .6330   20.000   .131E+00
        16.755        .000   .6330   20.000   .548E+01          .000   .6330   20.000   .731E+00          .000   .6330   20.000   .140E+00
        17.255        .000   .6330   20.000   .552E+01          .000   .6330   20.000   .760E+00          .000   .6330   20.000   .150E+00
        17.755        .000   .6330   20.000   .557E+01          .000   .6330   20.000   .790E+00          .000   .6330   20.000   .159E+00
        18.255        .000   .6330   20.000   .561E+01          .000   .6330   20.000   .820E+00          .000   .6330   20.000   .169E+00
        18.755        .000   .6330   20.000   .566E+01          .000   .6330   20.000   .849E+00          .000   .6330   20.000   .178E+00
        19.255        .000   .6330   20.000   .570E+01          .000   .6330   20.000   .879E+00          .000   .6330   20.000   .188E+00
        19.755        .000   .6330   20.000   .574E+01          .000   .6330   20.000   .908E+00          .000   .6330   20.000   .198E+00
        20.255        .000   .6330   20.000   .578E+01          .000   .6330   20.000   .938E+00          .000   .6330   20.000   .209E+00
        20.755        .000   .6330   20.000   .582E+01          .000   .6330   20.000   .968E+00          .000   .6330   20.000   .219E+00
        21.255        .000   .6330   20.000   .586E+01          .000   .6330   20.000   .997E+00          .000   .6330   20.000   .230E+00
        21.755        .000   .6330   20.000   .590E+01          .000   .6330   20.000   .103E+01          .000   .6330   20.000   .240E+00
        22.255        .000   .6330   20.000   .593E+01          .000   .6330   20.000   .106E+01          .000   .6330   20.000   .251E+00
        22.755        .000   .6330   20.000   .597E+01          .000   .6330   20.000   .109E+01          .000   .6330   20.000   .262E+00
        23.255        .000   .6330   20.000   .600E+01          .000   .6330   20.000   .112E+01          .000   .6330   20.000   .273E+00
        23.755        .000   .6330   20.000   .604E+01          .000   .6330   20.000   .114E+01          .000   .6330   20.000   .284E+00
        24.255        .000   .6330   20.000   .607E+01          .000   .6330   20.000   .117E+01          .000   .6330   20.000   .296E+00
        24.755        .000   .6330   20.000   .611E+01          .000   .6330   20.000   .120E+01          .000   .6330   20.000   .307E+00
        25.255        .000   .6330   20.000   .614E+01          .000   .6330   20.000   .123E+01          .000   .6330   20.000   .319E+00
        25.755        .000   .6330   20.000   .617E+01          .000   .6330   20.000   .126E+01          .000   .6330   20.000   .331E+00
        26.255        .000   .6330   20.000   .620E+01          .000   .6330   20.000   .129E+01          .000   .6330   20.000   .343E+00
        26.755        .000   .6330   20.000   .624E+01          .000   .6330   20.000   .132E+01          .000   .6330   20.000   .354E+00
        27.255        .000   .6330   20.000   .627E+01          .000   .6330   20.000   .135E+01          .000   .6330   20.000   .367E+00
        27.755        .000   .6330   20.000   .630E+01          .000   .6330   20.000   .138E+01          .000   .6330   20.000   .379E+00
        28.255        .000   .6330   20.000   .633E+01          .000   .6330   20.000   .141E+01          .000   .6330   20.000   .391E+00
        28.755        .000   .6330   20.000   .635E+01          .000   .6330   20.000   .144E+01          .000   .6330   20.000   .403E+00
        29.255        .000   .6330   20.000   .638E+01          .000   .6330   20.000   .146E+01          .000   .6330   20.000   .416E+00
        29.755        .000   .6330   20.000   .641E+01          .000   .6330   20.000   .149E+01          .000   .6330   20.000   .428E+00
        30.255        .000   .6330   20.000   .644E+01          .000   .6330   20.000   .152E+01          .000   .6330   20.000   .441E+00
        30.755        .000   .6330   20.000   .647E+01          .000   .6330   20.000   .155E+01          .000   .6330   20.000   .454E+00
        31.255        .000   .6330   20.000   .649E+01          .000   .6330   20.000   .158E+01          .000   .6330   20.000   .466E+00
        31.755        .000   .6330   20.000   .652E+01          .000   .6330   20.000   .161E+01          .000   .6330   20.000   .479E+00
