 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]
        .00100   .271E+01   .000E+00   .271E-02   .000E+00   .000E+00   .000E+00   .264E-01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       1
        .00200   .271E+01   .000E+00   .542E-02   .000E+00   .000E+00   .000E+00   .481E-01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       2
        .00330   .271E+01   .000E+00   .894E-02   .000E+00   .000E+00   .000E+00   .728E-01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       3
        .00499   .271E+01   .000E+00   .135E-01   .000E+00   .000E+00   .000E+00   .101E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       4
        .00719   .271E+01   .000E+00   .195E-01   .000E+00   .000E+00   .000E+00   .134E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       5
        .01004   .271E+01   .000E+00   .272E-01   .000E+00   .000E+00   .000E+00   .171E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       6
        .01376   .271E+01   .000E+00   .373E-01   .000E+00   .000E+00   .000E+00   .214E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       7
        .01858   .271E+01   .000E+00   .504E-01   .000E+00   .000E+00   .000E+00   .264E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       8
        .02486   .271E+01   .000E+00   .674E-01   .000E+00   .000E+00   .000E+00   .320E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       9
        .03301   .271E+01   .000E+00   .895E-01   .000E+00   .000E+00   .000E+00   .384E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      10
        .04362   .271E+01   .000E+00   .118E+00   .000E+00   .000E+00   .000E+00   .456E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      11
        .05741   .271E+01   .000E+00   .156E+00   .000E+00   .000E+00   .000E+00   .536E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00      12
        .07533   .271E+01  -.148E-28   .204E+00  -.264E-30   .000E+00   .000E+00   .626E+00   .000E+00   .544E-28   .000E+00   .000E+00   .000E+00      13
        .09863   .271E+01  -.238E-25   .267E+00  -.555E-27   .000E+00   .000E+00   .724E+00   .000E+00   .878E-25   .000E+00   .000E+00   .000E+00      14
        .12193   .271E+01  -.490E-24   .330E+00  -.120E-25   .000E+00   .000E+00   .811E+00   .000E+00   .181E-23   .000E+00   .000E+00   .000E+00      15
        .15221   .271E+01  -.923E-22   .412E+00  -.281E-23   .000E+00   .000E+00   .908E+00   .000E+00   .341E-21   .000E+00   .000E+00   .000E+00      16
        .19159   .271E+01  -.271E-19   .519E+00  -.107E-20   .000E+00   .000E+00   .102E+01   .000E+00   .100E-18   .000E+00   .000E+00   .000E+00      17
        .24276   .271E+01  -.592E-17   .658E+00  -.304E-18   .000E+00   .000E+00   .114E+01   .000E+00   .218E-16   .000E+00   .000E+00   .000E+00      18
        .29394   .271E+01  -.798E-16   .797E+00  -.439E-17   .000E+00   .000E+00   .124E+01   .000E+00   .294E-15   .000E+00   .000E+00   .000E+00      19
        .36048   .271E+01  -.335E-14   .977E+00  -.227E-15   .000E+00   .000E+00   .136E+01   .000E+00   .124E-13   .000E+00   .000E+00   .000E+00      20
        .44699   .271E+01  -.175E-12   .121E+01  -.154E-13   .000E+00   .000E+00   .149E+01   .000E+00   .647E-12   .000E+00   .000E+00   .000E+00      21
        .53350   .271E+01  -.159E-11   .145E+01  -.153E-12   .000E+00   .000E+00   .161E+01   .000E+00   .585E-11   .000E+00   .000E+00   .000E+00      22
        .64599   .271E+01  -.266E-10   .175E+01  -.315E-11   .000E+00   .000E+00   .174E+01   .000E+00   .983E-10   .000E+00   .000E+00   .000E+00      23
        .75848   .271E+01  -.168E-09   .206E+01  -.221E-10   .000E+00   .000E+00   .186E+01   .000E+00   .620E-09   .000E+00   .000E+00   .000E+00      24
        .90461   .271E+01  -.161E-08   .245E+01  -.257E-09   .000E+00   .000E+00   .200E+01   .000E+00   .594E-08   .000E+00   .000E+00   .000E+00      25
       1.09456   .271E+01  -.173E-07   .297E+01  -.355E-08   .000E+00   .000E+00   .215E+01   .000E+00   .639E-07   .000E+00   .000E+00   .000E+00      26
       1.28450   .271E+01  -.812E-07   .348E+01  -.190E-07   .000E+00   .000E+00   .229E+01   .000E+00   .300E-06   .000E+00   .000E+00   .000E+00      27
       1.53131   .271E+01  -.462E-06   .415E+01  -.133E-06   .000E+00   .000E+00   .245E+01   .000E+00   .170E-05   .000E+00   .000E+00   .000E+00      28
       1.77812   .271E+01  -.159E-05   .482E+01  -.525E-06   .000E+00   .000E+00   .259E+01   .000E+00   .587E-05   .000E+00   .000E+00   .000E+00      29
       2.09937   .271E+01  -.626E-05   .569E+01  -.254E-05   .000E+00   .000E+00   .275E+01   .000E+00   .231E-04   .000E+00   .000E+00   .000E+00      30
       2.42063   .271E+01  -.171E-04   .656E+01  -.804E-05   .000E+00   .000E+00   .290E+01   .000E+00   .632E-04   .000E+00   .000E+00   .000E+00      31
       2.83758   .271E+01  -.509E-04   .769E+01  -.292E-04   .000E+00   .000E+00   .307E+01   .000E+00   .188E-03   .000E+00   .000E+00   .000E+00      32
       3.25453   .271E+01  -.115E-03   .882E+01  -.772E-04   .000E+00   .000E+00   .322E+01   .000E+00   .425E-03   .000E+00   .000E+00   .000E+00      33
       3.75453   .271E+01  -.255E-03   .102E+02  -.205E-03   .000E+00   .000E+00   .339E+01   .000E+00   .942E-03   .000E+00   .000E+00   .000E+00      34
       4.25453   .271E+01  -.476E-03   .115E+02  -.443E-03   .000E+00   .000E+00   .354E+01   .000E+00   .176E-02   .000E+00   .000E+00   .000E+00      35
       4.75453   .271E+01  -.791E-03   .129E+02  -.838E-03   .000E+00   .000E+00   .367E+01   .000E+00   .292E-02   .000E+00   .000E+00   .000E+00      36
       5.25453   .271E+01  -.121E-02   .142E+02  -.144E-02   .000E+00   .000E+00   .380E+01   .000E+00   .447E-02   .000E+00   .000E+00   .000E+00      37
