 ******* Program HYDRUS
 ******* Heat transport under fluctuating atmospheric condition                 
  
 Date:   1.10.    Time:  14: 4:58
 Units: L = cm   , T = sec  , M = mmol 



                             Node( 11)                      Node( 21)                      Node( 31)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp   
       360.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
       720.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      1080.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      1440.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      1800.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      2160.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      2520.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      2880.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      3240.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      3600.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      3960.000        .000  1.0000   10.000          .000  1.0000   10.000          .000  1.0000   10.000
      4320.000        .000  1.0000   10.001          .000  1.0000   10.000          .000  1.0000   10.000
      4680.000        .000  1.0000   10.002          .000  1.0000   10.000          .000  1.0000   10.000
      5040.000        .000  1.0000   10.004          .000  1.0000   10.000          .000  1.0000   10.000
      5400.000        .000  1.0000   10.006          .000  1.0000   10.000          .000  1.0000   10.000
      5760.000        .000  1.0000   10.009          .000  1.0000   10.000          .000  1.0000   10.000
      6120.000        .000  1.0000   10.012          .000  1.0000   10.000          .000  1.0000   10.000
      6480.000        .000  1.0000   10.015          .000  1.0000   10.000          .000  1.0000   10.000
      6840.000        .000  1.0000   10.018          .000  1.0000   10.000          .000  1.0000   10.000
      7200.000        .000  1.0000   10.021          .000  1.0000   10.000          .000  1.0000   10.000
      7560.000        .000  1.0000   10.023          .000  1.0000   10.000          .000  1.0000   10.000
      7920.000        .000  1.0000   10.025          .000  1.0000   10.000          .000  1.0000   10.000
      8280.000        .000  1.0000   10.026          .000  1.0000   10.000          .000  1.0000   10.000
      8640.000        .000  1.0000   10.027          .000  1.0000   10.000          .000  1.0000   10.000
      9000.000        .000  1.0000   10.027          .000  1.0000   10.000          .000  1.0000   10.000
      9360.000        .000  1.0000   10.027          .000  1.0000   10.000          .000  1.0000   10.000
      9720.000        .000  1.0000   10.027          .000  1.0000   10.000          .000  1.0000   10.000
     10080.000        .000  1.0000   10.027          .000  1.0000   10.001          .000  1.0000   10.000
     10440.000        .000  1.0000   10.028          .000  1.0000   10.001          .000  1.0000   10.000
     10800.000        .000  1.0000   10.029          .000  1.0000   10.002          .000  1.0000   10.000
     11160.000        .000  1.0000   10.032          .000  1.0000   10.002          .000  1.0000   10.000
     11520.000        .000  1.0000   10.035          .000  1.0000   10.003          .000  1.0000   10.000
     11880.000        .000  1.0000   10.040          .000  1.0000   10.004          .000  1.0000   10.000
     12240.000        .000  1.0000   10.047          .000  1.0000   10.005          .000  1.0000   10.000
     12600.000        .000  1.0000   10.055          .000  1.0000   10.006          .000  1.0000   10.000
     12960.000        .000  1.0000   10.066          .000  1.0000   10.007          .000  1.0000   10.000
     13320.000        .000  1.0000   10.078          .000  1.0000   10.009          .000  1.0000   10.000
     13680.000        .000  1.0000   10.093          .000  1.0000   10.010          .000  1.0000   10.000
     14040.000        .000  1.0000   10.111          .000  1.0000   10.011          .000  1.0000   10.000
     14400.000        .000  1.0000   10.131          .000  1.0000   10.013          .000  1.0000   10.000
     14760.000        .000  1.0000   10.154          .000  1.0000   10.014          .000  1.0000   10.000
     15120.000        .000  1.0000   10.180          .000  1.0000   10.016          .000  1.0000   10.000
     15480.000        .000  1.0000   10.208          .000  1.0000   10.017          .000  1.0000   10.000
     15840.000        .000  1.0000   10.239          .000  1.0000   10.019          .000  1.0000   10.000
     16200.000        .000  1.0000   10.274          .000  1.0000   10.020          .000  1.0000   10.000
     16560.000        .000  1.0000   10.311          .000  1.0000   10.022          .000  1.0000   10.001
