 ******* Program HYDRUS
 ******* Heat transport under fluctuating atmospheric condition                 
  
 Date:   1.10.    Time:  14: 4:58
 Units: L = cm   , T = sec  , M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .36000E+03  .36000E+03    1     1     1     1     F
     2  .72000E+03  .36000E+03    1     2     1     1     F
     3  .10800E+04  .36000E+03    1     3     1     1     F
     4  .14400E+04  .36000E+03    1     4     1     1     F
     5  .18000E+04  .36000E+03    1     5     1     1     F
     6  .21600E+04  .36000E+03    1     6     1     1     F
     7  .25200E+04  .36000E+03    1     7     1     1     F
     8  .28800E+04  .36000E+03    1     8     1     1     F
     9  .32400E+04  .36000E+03    1     9     1     1     F
    10  .36000E+04  .36000E+03    1    10     1     1     F
    11  .39600E+04  .36000E+03    1    11     1     1     F
    12  .43200E+04  .36000E+03    1    12     1     1     F
    13  .46800E+04  .36000E+03    1    13     1     1     F
    14  .50400E+04  .36000E+03    1    14     1     1     F
    15  .54000E+04  .36000E+03    1    15     1     1     F
    16  .57600E+04  .36000E+03    1    16     1     1     F
    17  .61200E+04  .36000E+03    1    17     1     1     F
    18  .64800E+04  .36000E+03    1    18     1     1     F
    19  .68400E+04  .36000E+03    1    19     1     1     F
    20  .72000E+04  .36000E+03    1    20     1     1     F
    21  .75600E+04  .36000E+03    1    21     1     1     F
    22  .79200E+04  .36000E+03    1    22     1     1     F
    23  .82800E+04  .36000E+03    1    23     1     1     F
    24  .86400E+04  .36000E+03    1    24     1     1     F
    25  .90000E+04  .36000E+03    1    25     1     1     F
    26  .93600E+04  .36000E+03    1    26     1     1     F
    27  .97200E+04  .36000E+03    1    27     1     1     F
    28  .10080E+05  .36000E+03    1    28     1     1     F
    29  .10440E+05  .36000E+03    1    29     1     1     F
    30  .10800E+05  .36000E+03    1    30     1     1     F
    31  .11160E+05  .36000E+03    1    31     1     1     F
    32  .11520E+05  .36000E+03    1    32     1     1     F
    33  .11880E+05  .36000E+03    1    33     1     1     F
    34  .12240E+05  .36000E+03    1    34     1     1     F
    35  .12600E+05  .36000E+03    1    35     1     1     F
    36  .12960E+05  .36000E+03    1    36     1     1     F
    37  .13320E+05  .36000E+03    1    37     1     1     F
    38  .13680E+05  .36000E+03    1    38     1     1     F
    39  .14040E+05  .36000E+03    1    39     1     1     F
    40  .14400E+05  .36000E+03    1    40     1     1     F
    41  .14760E+05  .36000E+03    1    41     1     1     F
    42  .15120E+05  .36000E+03    1    42     1     1     F
    43  .15480E+05  .36000E+03    1    43     1     1     F
    44  .15840E+05  .36000E+03    1    44     1     1     F
    45  .16200E+05  .36000E+03    1    45     1     1     F
    46  .16560E+05  .36000E+03    1    46     1     1     F
    47  .16920E+05  .36000E+03    1    47     1     1     F
    48  .17280E+05  .36000E+03    1    48     1     1     F
    49  .17640E+05  .36000E+03    1    49     1     1     F
    50  .18000E+05  .36000E+03    1    50     1     1     F
    51  .18360E+05  .36000E+03    1    51     1     1     F
    52  .18720E+05  .36000E+03    1    52     1     1     F
    53  .19080E+05  .36000E+03    1    53     1     1     F
    54  .19440E+05  .36000E+03    1    54     1     1     F
    55  .19800E+05  .36000E+03    1    55     1     1     F
    56  .20160E+05  .36000E+03    1    56     1     1     F
    57  .20520E+05  .36000E+03    1    57     1     1     F
    58  .20880E+05  .36000E+03    1    58     1     1     F
    59  .21240E+05  .36000E+03    1    59     1     1     F
    60  .21600E+05  .36000E+03    1    60     1     1     F
    61  .21960E+05  .36000E+03    1    61     1     1     F
    62  .22320E+05  .36000E+03    1    62     1     1     F
    63  .22680E+05  .36000E+03    1    63     1     1     F
    64  .23040E+05  .36000E+03    1    64     1     1     F
    65  .23400E+05  .36000E+03    1    65     1     1     F
    66  .23760E+05  .36000E+03    1    66     1     1     F
    67  .24120E+05  .36000E+03    1    67     1     1     F
    68  .24480E+05  .36000E+03    1    68     1     1     F
    69  .24840E+05  .36000E+03    1    69     1     1     F
    70  .25200E+05  .36000E+03    1    70     1     1     F
    71  .25560E+05  .36000E+03    1    71     1     1     F
    72  .25920E+05  .36000E+03    1    72     1     1     F
    73  .26280E+05  .36000E+03    1    73     1     1     F
    74  .26640E+05  .36000E+03    1    74     1     1     F
    75  .27000E+05  .36000E+03    1    75     1     1     F
    76  .27360E+05  .36000E+03    1    76     1     1     F
    77  .27720E+05  .36000E+03    1    77     1     1     F
    78  .28080E+05  .36000E+03    1    78     1     1     F
    79  .28440E+05  .36000E+03    1    79     1     1     F
    80  .28800E+05  .36000E+03    1    80     1     1     F
    81  .29160E+05  .36000E+03    1    81     1     1     F
    82  .29520E+05  .36000E+03    1    82     1     1     F
    83  .29880E+05  .36000E+03    1    83     1     1     F
    84  .30240E+05  .36000E+03    1    84     1     1     F
    85  .30600E+05  .36000E+03    1    85     1     1     F
    86  .30960E+05  .36000E+03    1    86     1     1     F
    87  .31320E+05  .36000E+03    1    87     1     1     F
    88  .31680E+05  .36000E+03    1    88     1     1     F
    89  .32040E+05  .36000E+03    1    89     1     1     F
    90  .32400E+05  .36000E+03    1    90     1     1     F
    91  .32760E+05  .36000E+03    1    91     1     1     F
    92  .33120E+05  .36000E+03    1    92     1     1     F
    93  .33480E+05  .36000E+03    1    93     1     1     F
    94  .33840E+05  .36000E+03    1    94     1     1     F
    95  .34200E+05  .36000E+03    1    95     1     1     F
    96  .34560E+05  .36000E+03    1    96     1     1     F
    97  .34920E+05  .36000E+03    1    97     1     1     F
    98  .35280E+05  .36000E+03    1    98     1     1     F
    99  .35640E+05  .36000E+03    1    99     1     1     F
   100  .36000E+05  .36000E+03    1   100     1     1     F
   101  .36360E+05  .36000E+03    1   101     1     1     F
   102  .36720E+05  .36000E+03    1   102     1     1     F
   103  .37080E+05  .36000E+03    1   103     1     1     F
   104  .37440E+05  .36000E+03    1   104     1     1     F
   105  .37800E+05  .36000E+03    1   105     1     1     F
   106  .38160E+05  .36000E+03    1   106     1     1     F
   107  .38520E+05  .36000E+03    1   107     1     1     F
   108  .38880E+05  .36000E+03    1   108     1     1     F
   109  .39240E+05  .36000E+03    1   109     1     1     F
   110  .39600E+05  .36000E+03    1   110     1     1     F
   111  .39960E+05  .36000E+03    1   111     1     1     F
   112  .40320E+05  .36000E+03    1   112     1     1     F
   113  .40680E+05  .36000E+03    1   113     1     1     F
   114  .41040E+05  .36000E+03    1   114     1     1     F
   115  .41400E+05  .36000E+03    1   115     1     1     F
   116  .41760E+05  .36000E+03    1   116     1     1     F
   117  .42120E+05  .36000E+03    1   117     1     1     F
   118  .42480E+05  .36000E+03    1   118     1     1     F
   119  .42840E+05  .36000E+03    1   119     1     1     F
   120  .43200E+05  .36000E+03    1   120     1     1     F
   121  .43560E+05  .36000E+03    1   121     1     1     F
   122  .43920E+05  .36000E+03    1   122     1     1     F
   123  .44280E+05  .36000E+03    1   123     1     1     F
   124  .44640E+05  .36000E+03    1   124     1     1     F
   125  .45000E+05  .36000E+03    1   125     1     1     F
   126  .45360E+05  .36000E+03    1   126     1     1     F
   127  .45720E+05  .36000E+03    1   127     1     1     F
   128  .46080E+05  .36000E+03    1   128     1     1     F
   129  .46440E+05  .36000E+03    1   129     1     1     F
   130  .46800E+05  .36000E+03    1   130     1     1     F
   131  .47160E+05  .36000E+03    1   131     1     1     F
   132  .47520E+05  .36000E+03    1   132     1     1     F
   133  .47880E+05  .36000E+03    1   133     1     1     F
   134  .48240E+05  .36000E+03    1   134     1     1     F
   135  .48600E+05  .36000E+03    1   135     1     1     F
   136  .48960E+05  .36000E+03    1   136     1     1     F
   137  .49320E+05  .36000E+03    1   137     1     1     F
   138  .49680E+05  .36000E+03    1   138     1     1     F
   139  .50040E+05  .36000E+03    1   139     1     1     F
   140  .50400E+05  .36000E+03    1   140     1     1     F
   141  .50760E+05  .36000E+03    1   141     1     1     F
   142  .51120E+05  .36000E+03    1   142     1     1     F
   143  .51480E+05  .36000E+03    1   143     1     1     F
   144  .51840E+05  .36000E+03    1   144     1     1     F
   145  .52200E+05  .36000E+03    1   145     1     1     F
   146  .52560E+05  .36000E+03    1   146     1     1     F
   147  .52920E+05  .36000E+03    1   147     1     1     F
   148  .53280E+05  .36000E+03    1   148     1     1     F
   149  .53640E+05  .36000E+03    1   149     1     1     F
   150  .54000E+05  .36000E+03    1   150     1     1     F
   151  .54360E+05  .36000E+03    1   151     1     1     F
   152  .54720E+05  .36000E+03    1   152     1     1     F
   153  .55080E+05  .36000E+03    1   153     1     1     F
   154  .55440E+05  .36000E+03    1   154     1     1     F
   155  .55800E+05  .36000E+03    1   155     1     1     F
   156  .56160E+05  .36000E+03    1   156     1     1     F
   157  .56520E+05  .36000E+03    1   157     1     1     F
   158  .56880E+05  .36000E+03    1   158     1     1     F
   159  .57240E+05  .36000E+03    1   159     1     1     F
   160  .57600E+05  .36000E+03    1   160     1     1     F
   161  .57960E+05  .36000E+03    1   161     1     1     F
   162  .58320E+05  .36000E+03    1   162     1     1     F
   163  .58680E+05  .36000E+03    1   163     1     1     F
   164  .59040E+05  .36000E+03    1   164     1     1     F
   165  .59400E+05  .36000E+03    1   165     1     1     F
   166  .59760E+05  .36000E+03    1   166     1     1     F
   167  .60120E+05  .36000E+03    1   167     1     1     F
   168  .60480E+05  .36000E+03    1   168     1     1     F
   169  .60840E+05  .36000E+03    1   169     1     1     F
   170  .61200E+05  .36000E+03    1   170     1     1     F
   171  .61560E+05  .36000E+03    1   171     1     1     F
   172  .61920E+05  .36000E+03    1   172     1     1     F
   173  .62280E+05  .36000E+03    1   173     1     1     F
   174  .62640E+05  .36000E+03    1   174     1     1     F
   175  .63000E+05  .36000E+03    1   175     1     1     F
   176  .63360E+05  .36000E+03    1   176     1     1     F
   177  .63720E+05  .36000E+03    1   177     1     1     F
   178  .64080E+05  .36000E+03    1   178     1     1     F
   179  .64440E+05  .36000E+03    1   179     1     1     F
   180  .64800E+05  .36000E+03    1   180     1     1     F
   181  .65160E+05  .36000E+03    1   181     1     1     F
   182  .65520E+05  .36000E+03    1   182     1     1     F
   183  .65880E+05  .36000E+03    1   183     1     1     F
   184  .66240E+05  .36000E+03    1   184     1     1     F
   185  .66600E+05  .36000E+03    1   185     1     1     F
   186  .66960E+05  .36000E+03    1   186     1     1     F
   187  .67320E+05  .36000E+03    1   187     1     1     F
   188  .67680E+05  .36000E+03    1   188     1     1     F
   189  .68040E+05  .36000E+03    1   189     1     1     F
   190  .68400E+05  .36000E+03    1   190     1     1     F
   191  .68760E+05  .36000E+03    1   191     1     1     F
   192  .69120E+05  .36000E+03    1   192     1     1     F
   193  .69480E+05  .36000E+03    1   193     1     1     F
   194  .69840E+05  .36000E+03    1   194     1     1     F
   195  .70200E+05  .36000E+03    1   195     1     1     F
   196  .70560E+05  .36000E+03    1   196     1     1     F
   197  .70920E+05  .36000E+03    1   197     1     1     F
   198  .71280E+05  .36000E+03    1   198     1     1     F
   199  .71640E+05  .36000E+03    1   199     1     1     F
   200  .72000E+05  .36000E+03    1   200     1     1     F
   201  .72360E+05  .36000E+03    1   201     1     1     F
   202  .72720E+05  .36000E+03    1   202     1     1     F
   203  .73080E+05  .36000E+03    1   203     1     1     F
   204  .73440E+05  .36000E+03    1   204     1     1     F
   205  .73800E+05  .36000E+03    1   205     1     1     F
   206  .74160E+05  .36000E+03    1   206     1     1     F
   207  .74520E+05  .36000E+03    1   207     1     1     F
   208  .74880E+05  .36000E+03    1   208     1     1     F
   209  .75240E+05  .36000E+03    1   209     1     1     F
   210  .75600E+05  .36000E+03    1   210     1     1     F
   211  .75960E+05  .36000E+03    1   211     1     1     F
   212  .76320E+05  .36000E+03    1   212     1     1     F
   213  .76680E+05  .36000E+03    1   213     1     1     F
   214  .77040E+05  .36000E+03    1   214     1     1     F
   215  .77400E+05  .36000E+03    1   215     1     1     F
   216  .77760E+05  .36000E+03    1   216     1     1     F
   217  .78120E+05  .36000E+03    1   217     1     1     F
   218  .78480E+05  .36000E+03    1   218     1     1     F
   219  .78840E+05  .36000E+03    1   219     1     1     F
   220  .79200E+05  .36000E+03    1   220     1     1     F
   221  .79560E+05  .36000E+03    1   221     1     1     F
   222  .79920E+05  .36000E+03    1   222     1     1     F
   223  .80280E+05  .36000E+03    1   223     1     1     F
   224  .80640E+05  .36000E+03    1   224     1     1     F
