 ******* Program HYDRUS
 ******* Growing season simulation                                              
  
 Date:   1.10.    Time:  14:57: 9
 Units: L = cm   , T = days , M = -    



                             Node(  5)                                 Node(  7)                                 Node(  9)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
        90.010     -45.045   .3454   15.000   .100E-01       -35.041   .3578   15.000   .100E-01       -25.031   .3710   15.000   .100E-01
        90.023     -45.093   .3454   15.000   .100E-01       -35.082   .3578   15.000   .100E-01       -25.065   .3709   15.000   .100E-01
        90.040     -45.161   .3453   15.000   .100E-01       -35.142   .3577   15.000   .100E-01       -25.116   .3709   14.999   .100E-01
        90.062     -45.242   .3452   15.000   .100E-01       -35.214   .3576   15.000   .100E-01       -25.181   .3708   14.999   .100E-01
        90.090     -45.346   .3451   15.000   .100E-01       -35.310   .3575   15.000   .100E-01       -25.270   .3707   14.999   .100E-01
        90.127     -45.474   .3449   15.000   .100E-01       -35.430   .3573   15.000   .100E-01       -25.384   .3705   14.999   .100E-01
        90.175     -45.640   .3447   15.000   .100E-01       -35.590   .3571   15.000   .100E-01       -25.538   .3703   14.999   .100E-01
        90.239     -45.853   .3444   15.000   .100E-01       -35.797   .3568   15.000   .100E-01       -25.742   .3700   14.999   .100E-01
        90.323     -46.131   .3441   15.000   .100E-01       -36.071   .3565   15.000   .100E-01       -26.012   .3697   14.999   .100E-01
        90.436     -46.497   .3436   15.000   .101E-01       -36.433   .3560   15.000   .101E-01       -26.370   .3692   14.999   .100E-01
        90.577     -46.949   .3431   15.000   .101E-01       -36.880   .3554   15.000   .101E-01       -26.813   .3686   14.999   .101E-01
        90.788     -47.619   .3423   14.999   .101E-01       -37.546   .3546   14.999   .101E-01       -27.473   .3677   14.999   .101E-01
        91.000     -48.291   .3415   14.999   .101E-01       -38.211   .3538   14.999   .101E-01       -28.131   .3668   14.999   .101E-01
        91.010     -48.309   .3415   14.998   .101E-01       -38.241   .3537   14.999   .101E-01       -28.162   .3668   14.998   .101E-01
        91.023     -48.332   .3415   14.998   .102E-01       -38.283   .3537   14.999   .101E-01       -28.205   .3667   14.998   .101E-01
        91.040     -48.351   .3415   14.998   .102E-01       -38.329   .3536   14.999   .101E-01       -28.257   .3667   14.998   .101E-01
        91.062     -48.380   .3414   14.998   .102E-01       -38.384   .3535   14.999   .102E-01       -28.321   .3666   14.998   .101E-01
        91.090     -48.421   .3414   14.998   .102E-01       -38.450   .3535   14.999   .102E-01       -28.399   .3665   14.998   .101E-01
        91.127     -48.482   .3413   14.999   .102E-01       -38.533   .3534   14.998   .102E-01       -28.494   .3664   14.998   .101E-01
        91.175     -48.574   .3412   14.999   .102E-01       -38.643   .3532   14.998   .102E-01       -28.615   .3662   14.998   .101E-01
        91.239     -48.706   .3411   14.999   .102E-01       -38.787   .3531   14.998   .102E-01       -28.768   .3660   14.998   .101E-01
        91.323     -48.889   .3409   14.997   .102E-01       -38.979   .3528   14.998   .102E-01       -28.965   .3657   14.998   .101E-01
        91.436     -49.140   .3406   14.992   .102E-01       -39.235   .3525   14.999   .102E-01       -29.224   .3654   14.998   .102E-01
        91.577     -49.456   .3402   14.987   .102E-01       -39.554   .3521   14.999   .102E-01       -29.543   .3649   14.998   .102E-01
        91.788     -49.929   .3397   14.985   .103E-01       -40.028   .3515   14.998   .103E-01       -30.017   .3643   14.998   .102E-01
        92.000     -50.401   .3392   14.984   .103E-01       -40.501   .3510   14.996   .103E-01       -30.489   .3637   14.998   .102E-01
        92.010     -50.433   .3392   14.985   .103E-01       -40.525   .3509   14.997   .103E-01       -30.511   .3637   14.998   .102E-01
        92.023     -50.462   .3391   14.984   .103E-01       -40.541   .3509   14.997   .103E-01       -30.531   .3637   14.998   .102E-01
        92.040     -50.510   .3391   14.984   .103E-01       -40.572   .3509   14.997   .103E-01       -30.561   .3636   14.998   .102E-01
        92.062     -50.569   .3390   14.984   .103E-01       -40.614   .3508   14.997   .103E-01       -30.601   .3636   14.998   .102E-01
        92.090     -50.646   .3389   14.983   .103E-01       -40.676   .3508   14.997   .103E-01       -30.657   .3635   14.998   .102E-01
        92.127     -50.739   .3388   14.981   .103E-01       -40.757   .3507   14.996   .103E-01       -30.732   .3634   14.998   .102E-01
        92.175     -50.859   .3387   14.978   .103E-01       -40.866   .3505   14.996   .103E-01       -30.835   .3633   14.998   .102E-01
        92.239     -51.009   .3385   14.974   .103E-01       -41.008   .3503   14.996   .103E-01       -30.971   .3631   14.998   .102E-01
        92.323     -51.205   .3383   14.970   .104E-01       -41.197   .3501   14.996   .103E-01       -31.154   .3629   14.998   .103E-01
        92.436     -51.458   .3380   14.966   .104E-01       -41.446   .3498   14.995   .104E-01       -31.399   .3625   14.998   .103E-01
        92.577     -51.770   .3377   14.963   .104E-01       -41.754   .3494   14.994   .104E-01       -31.703   .3621   14.998   .103E-01
        92.788     -52.227   .3372   14.961   .104E-01       -42.207   .3489   14.991   .104E-01       -32.152   .3616   14.998   .103E-01
        93.000     -52.679   .3366   14.961   .104E-01       -42.656   .3483   14.989   .104E-01       -32.596   .3610   14.997   .103E-01
        93.250     -53.345   .3359   14.947   .105E-01       -43.268   .3476   14.974   .105E-01       -33.179   .3602   14.987   .103E-01
        93.625     -54.784   .3343   14.939   .105E-01       -44.631   .3460   14.968   .105E-01       -34.459   .3586   14.987   .104E-01
        94.000     -56.045   .3329   14.939   .106E-01       -45.859   .3444   14.966   .106E-01       -35.657   .3570   14.986   .104E-01
        94.333     -57.197   .3316   14.920   .107E-01       -46.988   .3431   14.944   .107E-01       -36.761   .3556   14.970   .105E-01
        94.667     -58.869   .3298   14.917   .108E-01       -48.571   .3413   14.940   .108E-01       -38.236   .3538   14.970   .105E-01
        95.000     -60.347   .3281   14.918   .109E-01       -50.005   .3396   14.940   .108E-01       -39.619   .3520   14.969   .106E-01
        95.010     -60.401   .3281   14.918   .109E-01       -50.063   .3396   14.940   .108E-01       -39.671   .3520   14.970   .106E-01
        95.023     -60.388   .3281   14.918   .109E-01       -50.076   .3395   14.940   .109E-01       -39.700   .3519   14.970   .106E-01
        95.040     -60.378   .3281   14.918   .109E-01       -50.106   .3395   14.941   .109E-01       -39.749   .3519   14.970   .106E-01
        95.062     -60.355   .3281   14.918   .109E-01       -50.132   .3395   14.941   .109E-01       -39.805   .3518   14.970   .106E-01
        95.090     -60.338   .3282   14.919   .109E-01       -50.169   .3394   14.941   .109E-01       -39.876   .3517   14.970   .106E-01
        95.127     -60.331   .3282   14.919   .109E-01       -50.215   .3394   14.941   .109E-01       -39.961   .3516   14.970   .106E-01
        95.175     -60.346   .3282   14.920   .109E-01       -50.282   .3393   14.941   .109E-01       -40.068   .3515   14.970   .106E-01
        95.239     -60.395   .3281   14.920   .109E-01       -50.376   .3392   14.941   .109E-01       -40.200   .3513   14.970   .106E-01
        95.323     -60.494   .3280   14.919   .109E-01       -50.513   .3391   14.942   .109E-01       -40.369   .3511   14.970   .106E-01
        95.436     -60.658   .3278   14.915   .110E-01       -50.706   .3388   14.943   .109E-01       -40.585   .3509   14.969   .106E-01
        95.577     -60.889   .3276   14.911   .110E-01       -50.955   .3386   14.943   .109E-01       -40.849   .3505   14.969   .106E-01
        95.788     -61.258   .3273   14.910   .110E-01       -51.335   .3381   14.943   .110E-01       -41.236   .3501   14.969   .107E-01
        96.000     -61.635   .3269   14.911   .111E-01       -51.718   .3377   14.942   .110E-01       -41.621   .3496   14.968   .107E-01
        96.010     -61.612   .3269   14.911   .111E-01       -51.732   .3377   14.943   .110E-01       -41.639   .3496   14.969   .107E-01
        96.023     -61.506   .3270   14.911   .111E-01       -51.705   .3377   14.943   .110E-01       -41.636   .3496   14.969   .107E-01
        96.040     -61.346   .3272   14.910   .111E-01       -51.664   .3378   14.943   .110E-01       -41.637   .3496   14.969   .107E-01
        96.062     -61.130   .3274   14.909   .111E-01       -51.589   .3379   14.943   .110E-01       -41.627   .3496   14.969   .107E-01
        96.090     -60.869   .3276   14.909   .111E-01       -51.478   .3380   14.942   .110E-01       -41.602   .3496   14.969   .107E-01
        96.127     -60.577   .3279   14.909   .111E-01       -51.329   .3382   14.942   .110E-01       -41.552   .3497   14.969   .107E-01
        96.175     -60.252   .3282   14.908   .111E-01       -51.136   .3384   14.942   .110E-01       -41.467   .3498   14.969   .107E-01
        96.239     -59.907   .3286   14.903   .111E-01       -50.905   .3386   14.942   .110E-01       -41.337   .3499   14.968   .107E-01
        96.323     -59.546   .3290   14.890   .111E-01       -50.630   .3389   14.943   .111E-01       -41.150   .3502   14.968   .107E-01
        96.436     -59.152   .3294   14.869   .111E-01       -50.299   .3393   14.943   .111E-01       -40.886   .3505   14.967   .107E-01
        96.577     -58.737   .3299   14.848   .111E-01       -49.920   .3397   14.943   .111E-01       -40.547   .3509   14.967   .107E-01
        96.788     -58.189   .3305   14.841   .111E-01       -49.381   .3403   14.938   .111E-01       -40.026   .3515   14.966   .107E-01
        97.000     -57.667   .3311   14.840   .111E-01       -48.851   .3409   14.931   .111E-01       -39.495   .3522   14.965   .108E-01
        97.010     -57.611   .3311   14.839   .111E-01       -48.822   .3409   14.930   .111E-01       -39.470   .3522   14.965   .108E-01
        97.023     -57.545   .3312   14.838   .111E-01       -48.801   .3410   14.929   .111E-01       -39.449   .3522   14.965   .108E-01
        97.040     -57.432   .3313   14.836   .111E-01       -48.755   .3410   14.929   .111E-01       -39.413   .3523   14.964   .108E-01
        97.062     -57.288   .3315   14.833   .111E-01       -48.681   .3411   14.928   .111E-01       -39.359   .3524   14.964   .108E-01
        97.090     -57.107   .3317   14.829   .111E-01       -48.568   .3412   14.927   .111E-01       -39.277   .3525   14.964   .108E-01
        97.127     -56.896   .3319   14.823   .111E-01       -48.416   .3414   14.926   .111E-01       -39.161   .3526   14.963   .108E-01
        97.175     -56.647   .3322   14.813   .111E-01       -48.212   .3416   14.925   .111E-01       -38.993   .3528   14.963   .108E-01
        97.239     -56.353   .3326   14.795   .111E-01       -47.950   .3419   14.923   .111E-01       -38.765   .3531   14.962   .108E-01
        97.323     -55.997   .3330   14.766   .111E-01       -47.613   .3423   14.922   .112E-01       -38.451   .3535   14.961   .108E-01
        97.436     -55.560   .3334   14.725   .111E-01       -47.180   .3428   14.918   .112E-01       -38.026   .3540   14.960   .108E-01
        97.577     -55.038   .3340   14.687   .110E-01       -46.643   .3435   14.912   .112E-01       -37.483   .3547   14.959   .108E-01
        97.788     -54.276   .3349   14.673   .110E-01       -45.843   .3444   14.896   .112E-01       -36.659   .3557   14.956   .109E-01
        98.000     -53.515   .3357   14.673   .109E-01       -45.040   .3454   14.878   .113E-01       -35.827   .3568   14.953   .109E-01
        98.010     -53.526   .3357   14.673   .109E-01       -45.007   .3455   14.878   .113E-01       -35.789   .3569   14.953   .109E-01
        98.023     -53.560   .3357   14.672   .109E-01       -44.966   .3455   14.877   .113E-01       -35.734   .3569   14.953   .109E-01
        98.040     -53.637   .3356   14.671   .109E-01       -44.934   .3456   14.876   .113E-01       -35.674   .3570   14.952   .109E-01
        98.062     -53.731   .3355   14.668   .109E-01       -44.913   .3456   14.874   .113E-01       -35.606   .3571   14.952   .109E-01
        98.090     -53.837   .3354   14.662   .109E-01       -44.903   .3456   14.873   .113E-01       -35.535   .3572   14.952   .109E-01
        98.127     -53.935   .3352   14.651   .109E-01       -44.899   .3456   14.870   .113E-01       -35.462   .3573   14.952   .109E-01
        98.175     -54.019   .3351   14.634   .109E-01       -44.890   .3456   14.867   .113E-01       -35.383   .3574   14.951   .109E-01
        98.239     -54.073   .3351   14.613   .109E-01       -44.868   .3456   14.864   .113E-01       -35.297   .3575   14.950   .109E-01
        98.323     -54.085   .3351   14.586   .109E-01       -44.821   .3457   14.859   .113E-01       -35.199   .3576   14.948   .109E-01
        98.436     -54.047   .3351   14.557   .109E-01       -44.741   .3458   14.852   .113E-01       -35.083   .3578   14.945   .109E-01
        98.577     -53.961   .3352   14.535   .108E-01       -44.629   .3459   14.841   .113E-01       -34.949   .3579   14.942   .109E-01
        98.788     -53.797   .3354   14.528   .108E-01       -44.450   .3461   14.821   .113E-01       -34.757   .3582   14.936   .110E-01
        99.000     -53.624   .3356   14.532   .108E-01       -44.267   .3464   14.802   .114E-01       -34.568   .3584   14.930   .110E-01
