 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]
      90.01000   .000E+00  -.385E-03   .000E+00  -.385E-05   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       1
      90.02303   .000E+00  -.385E-03   .000E+00  -.886E-05   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       2
      90.03987   .000E+00  -.385E-03   .000E+00  -.153E-04   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       3
      90.06169   .000E+00  -.383E-03   .000E+00  -.237E-04   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       4
      90.09013   .000E+00  -.383E-03   .000E+00  -.346E-04   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       5
      90.12652   .000E+00  -.382E-03   .000E+00  -.485E-04   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       6
      90.17505   .000E+00  -.381E-03   .000E+00  -.670E-04   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       7
      90.23851   .000E+00  -.378E-03   .000E+00  -.909E-04   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       8
      90.32312   .000E+00  -.375E-03   .000E+00  -.123E-03   .000E+00   .000E+00   .100E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00       9
      90.43594   .000E+00  -.372E-03   .000E+00  -.165E-03   .000E+00   .000E+00   .101E-01   .100E-01   .100E-01   .000E+00   .000E+00   .000E+00      10
