 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                   
  
 Date:   1.10.    Time:  14: 5:14
 Units: L = cm   , T = days , M = -    



                             Node( 10)                                 Node( 20)                                 Node( 22)                                 Node( 30)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
        90.100     -27.429   .3667    5.661   .000E+00        67.951   .3390    7.824   .000E+00        87.369   .3390    8.259   .000E+00       160.187   .3390    9.855   .000E+00
        90.200     -29.771   .3637    5.622   .000E+00        65.040   .3390    7.819   .000E+00        84.482   .3390    8.254   .000E+00       157.388   .3390    9.779   .000E+00
        90.300     -31.824   .3610    5.511   .000E+00        62.746   .3390    7.815   .000E+00        82.206   .3390    8.250   .000E+00       155.182   .3390    9.722   .000E+00
        90.440     -34.475   .3575    5.302   .000E+00        59.864   .3390    7.810   .000E+00        79.347   .3390    8.244   .000E+00       152.408   .3390    9.660   .000E+00
        90.627     -37.617   .3534    5.201   .000E+00        56.459   .3390    7.802   .000E+00        75.968   .3390    8.237   .000E+00       149.131   .3390    9.589   .000E+00
        90.813     -40.552   .3499    5.286   .000E+00        53.504   .3390    7.796   .000E+00        73.037   .3390    8.230   .000E+00       146.284   .3390    9.530   .000E+00
        91.000     -43.239   .3466    5.275   .000E+00        50.795   .3390    7.789   .000E+00        70.348   .3390    8.223   .000E+00       143.673   .3390    9.476   .000E+00
        91.100     -44.621   .3449    5.171   .737E-12        49.373   .3390    7.786   .135E-28        68.937   .3390    8.220   .000E+00       142.303   .3390    9.450   .000E+00
        91.229     -46.307   .3429    4.981   .404E-10        47.661   .3390    7.781   .738E-26        67.238   .3390    8.215   .673E-29       140.652   .3390    9.417   .000E+00
        91.383     -48.202   .3406    4.843   .768E-09        45.776   .3390    7.776   .835E-24        65.367   .3390    8.208   .107E-26       138.833   .3390    9.381   .000E+00
        91.589     -50.575   .3380    4.962   .117E-07        43.425   .3390    7.769   .140E-21        63.033   .3390    8.200   .291E-24       136.564   .3390    9.334   .000E+00
        91.794     -52.777   .3355    5.273   .698E-07        41.234   .3390    7.762   .245E-20        60.859   .3390    8.190   .584E-23       134.449   .3390    9.291   .000E+00
        92.000     -54.869   .3332    5.470   .272E-06        39.122   .3390    7.754   .238E-19        58.761   .3390    8.180   .641E-22       132.409   .3390    9.250   .000E+00
        92.100     -55.891   .3321    5.450   .465E-06        38.148   .3390    7.749   .535E-19        57.794   .3390    8.175   .148E-21       131.468   .3390    9.231   .000E+00
        92.229     -57.054   .3308    5.339   .874E-06        36.962   .3390    7.744   .151E-18        56.617   .3390    8.169   .437E-21       130.322   .3390    9.207   .000E+00
        92.383     -58.462   .3292    5.266   .171E-05        35.605   .3390    7.737   .507E-18        55.270   .3390    8.160   .157E-20       129.011   .3390    9.179   .000E+00
        92.589     -60.256   .3273    5.488   .369E-05        33.878   .3390    7.727   .246E-17        53.555   .3390    8.148   .860E-20       127.342   .3390    9.143   .239E-29
        93.000     -63.637   .3239    6.187   .125E-04        30.677   .3390    7.706   .787E-16        50.376   .3390    8.123   .480E-18       124.246   .3390    9.076   .191E-26
        93.333     -66.265   .3213    6.201   .261E-04        28.231   .3390    7.688   .427E-15        47.947   .3390    8.101   .294E-17       121.880   .3390    9.025   .151E-25
        93.667     -69.176   .3185    6.089   .468E-04        25.946   .3390    7.671   .183E-14        45.677   .3390    8.079   .142E-16       119.667   .3390    8.976   .984E-25
        94.000     -71.838   .3158    6.310   .752E-04        23.754   .3390    7.655   .649E-14        43.499   .3390    8.056   .569E-16       117.544   .3390    8.929   .542E-24
        94.500     -75.560   .3121    6.161   .132E-03        20.654   .3390    7.634   .371E-13        40.419   .3390    8.023   .412E-15       114.541   .3390    8.862   .904E-23
        95.000     -79.892   .3085    5.939   .203E-03        17.666   .3390    7.620   .149E-12        37.451   .3390    7.992   .200E-14       111.644   .3390    8.799   .786E-22
        95.100     -80.652   .3078    5.961   .219E-03        17.106   .3390    7.617   .188E-12        36.895   .3390    7.987   .258E-14       111.102   .3390    8.787   .108E-21
        95.229     -81.314   .3073    5.835   .240E-03        16.393   .3390    7.615   .252E-12        36.186   .3390    7.979   .356E-14       110.410   .3390    8.771   .161E-21
        95.383     -82.146   .3066    5.550   .267E-03        15.557   .3390    7.611   .352E-12        35.355   .3390    7.971   .517E-14       109.599   .3390    8.753   .258E-21
        95.589     -83.162   .3057    5.431   .306E-03        14.504   .3390    7.608   .540E-12        34.309   .3390    7.960   .838E-14       108.577   .3390    8.728   .480E-21
        96.000     -85.071   .3041    5.645   .392E-03        12.570   .3390    7.600   .121E-11        32.387   .3390    7.939   .212E-13       106.701   .3390    8.681   .172E-20
        96.100     -85.503   .3038    5.622   .415E-03        12.096   .3390    7.599   .145E-11        31.916   .3390    7.934   .260E-13       106.242   .3390    8.670   .225E-20
