 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                   
  
 Date:   1.10.    Time:  14: 5:14
 Units: L = cm   , T = days , M = -    


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .000      .399        .0    .298E+02     1.000      .000     1.000     1.000     1.000
    2      1.00      .000      .399        .0    .298E+02     1.000      .000     1.000     1.000     1.000
    3      2.00      .000      .399        .0    .298E+02     1.000      .030     1.000     1.000     1.000
    4      4.00      .000      .399        .0    .298E+02     1.000      .030     1.000     1.000     1.000
    5      6.00      .000      .399        .0    .298E+02     1.000      .030     1.000     1.000     1.000
    6     10.00      .000      .399        .0    .298E+02     1.000      .030     1.000     1.000     1.000
    7     15.00      .000      .399        .0    .298E+02     1.000      .030     1.000     1.000     1.000
    8     20.00      .000      .399        .0    .298E+02     1.000      .030     1.000     1.000     1.000
    9     25.00      .000      .399        .0    .298E+02     1.000      .030     1.000     1.000     1.000
   10     30.00      .000      .399        .0    .298E+02     1.000      .030     1.000     1.000     1.000
   11     40.00      .000      .399        .0    .298E+02     1.000      .000     1.000     1.000     1.000
   12     50.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   13     60.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   14     70.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   15     80.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   16     90.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   17    100.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   18    110.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   19    120.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   20    130.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   21    140.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   22    150.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   23    160.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   24    170.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   25    180.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   26    190.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   27    200.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   28    210.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   29    220.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   30    225.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   31    228.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   32    229.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
   33    230.00      .000      .339        .0    .453E+02     1.524      .000     1.000     1.000     1.000
end
