 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]
      90.10000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       1
      90.20000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       2
      90.30000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       3
      90.43999   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       4
      90.62666   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       5
      90.81333   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       6
      91.00000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       7
      91.10000   .350E-01   .000E+00   .350E-02   .000E+00   .000E+00   .000E+00   .111E-01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       8
      91.22857   .700E-01   .000E+00   .125E-01   .000E+00   .000E+00   .000E+00   .277E-01   .555E-04   .000E+00   .999E-05   .128E-05   .000E+00       9
      91.38286   .700E-01   .000E+00   .233E-01   .000E+00   .000E+00   .000E+00   .362E-01   .349E-03   .000E+00   .629E-04   .110E-04   .000E+00      10
      91.58857   .700E-01   .000E+00   .377E-01   .000E+00   .000E+00   .000E+00   .473E-01   .950E-03   .000E+00   .171E-03   .462E-04   .000E+00      11
      91.79428   .700E-01   .000E+00   .521E-01   .000E+00   .000E+00   .000E+00   .556E-01   .187E-02   .000E+00   .337E-03   .115E-03   .000E+00      12
      92.00000   .700E-01   .000E+00   .665E-01   .000E+00   .000E+00   .000E+00   .636E-01   .287E-02   .000E+00   .517E-03   .222E-03   .000E+00      13
      92.10000   .450E-01   .000E+00   .710E-01   .000E+00   .000E+00   .000E+00   .594E-01   .393E-02   .000E+00   .511E-03   .273E-03   .000E+00      14
      92.22857   .200E-01   .000E+00   .736E-01   .000E+00   .000E+00   .000E+00   .520E-01   .441E-02   .000E+00   .574E-03   .347E-03   .000E+00      15
      92.38286   .200E-01   .000E+00   .767E-01   .000E+00   .000E+00   .000E+00   .506E-01   .488E-02   .000E+00   .634E-03   .445E-03   .000E+00      16
      92.58857   .200E-01   .000E+00   .808E-01   .000E+00   .000E+00   .000E+00   .489E-01   .528E-02   .000E+00   .687E-03   .586E-03   .000E+00      17
      93.00000   .200E-01  -.255E-27   .890E-01  -.105E-27   .000E+00   .000E+00   .487E-01   .576E-02   .748E-27   .748E-03   .894E-03   .000E+00      18
      93.33334   .000E+00  -.219E-26   .890E-01  -.836E-27   .000E+00   .000E+00   .347E-01   .662E-02   .601E-26   .132E-02   .134E-02   .000E+00      19
      93.66667   .000E+00  -.142E-25   .890E-01  -.556E-26   .000E+00   .000E+00   .349E-01   .703E-02   .401E-25   .141E-02   .180E-02   .000E+00      20
      94.00000   .000E+00  -.776E-25   .890E-01  -.314E-25   .000E+00   .000E+00   .298E-01   .719E-02   .226E-24   .144E-02   .228E-02   .000E+00      21
      94.50000   .000E+00  -.115E-23   .890E-01  -.605E-24   .000E+00   .000E+00   .285E-01   .734E-02   .408E-23   .205E-02   .331E-02   .000E+00      22
      95.00000   .000E+00  -.102E-22   .890E-01  -.569E-23   .000E+00   .000E+00   .252E-01   .745E-02   .373E-22   .209E-02   .435E-02   .000E+00      23
      95.10000   .350E-01  -.214E-22   .925E-01  -.783E-23   .000E+00   .000E+00   .385E-01   .753E-02   .513E-22   .136E-02   .449E-02   .000E+00      24
      95.22857   .700E-01  -.303E-22   .102E+00  -.117E-22   .000E+00   .000E+00   .580E-01   .760E-02   .769E-22   .137E-02   .467E-02   .000E+00      25
      95.38286   .700E-01  -.464E-22   .112E+00  -.189E-22   .000E+00   .000E+00   .679E-01   .790E-02   .124E-21   .142E-02   .488E-02   .000E+00      26
      95.58857   .700E-01  -.801E-22   .127E+00  -.354E-22   .000E+00   .000E+00   .798E-01   .853E-02   .234E-21   .153E-02   .520E-02   .000E+00      27
      96.00000   .700E-01  -.230E-21   .156E+00  -.130E-21   .000E+00   .000E+00   .970E-01   .951E-02   .861E-21   .171E-02   .590E-02   .000E+00      28
      96.10000   .180E+00  -.410E-21   .174E+00  -.171E-21   .000E+00   .000E+00   .131E+00   .117E-01   .113E-20   .935E-03   .600E-02   .000E+00      29
      96.22857   .290E+00  -.552E-21   .211E+00  -.242E-21   .000E+00   .000E+00   .180E+00   .125E-01   .161E-20   .100E-02   .613E-02   .000E+00      30
      96.38286   .290E+00  -.795E-21   .256E+00  -.365E-21   .000E+00   .000E+00   .205E+00   .145E-01   .242E-20   .116E-02   .631E-02   .000E+00      31
      96.58857   .290E+00  -.126E-20   .315E+00  -.625E-21   .000E+00   .000E+00   .237E+00   .176E-01   .416E-20   .141E-02   .659E-02   .000E+00      32
      97.00000   .290E+00  -.304E-20   .435E+00  -.188E-20   .000E+00   .000E+00   .282E+00   .221E-01   .124E-19   .177E-02   .732E-02   .000E+00      33
      97.10000   .365E+00  -.507E-20   .471E+00  -.238E-20   .000E+00   .000E+00   .303E+00   .317E-01   .158E-19   .444E-02   .777E-02   .000E+00      34
      97.22857   .440E+00  -.659E-20   .528E+00  -.323E-20   .000E+00   .000E+00   .332E+00   .344E-01   .213E-19   .481E-02   .839E-02   .000E+00      35
      97.38286   .440E+00  -.908E-20   .595E+00  -.463E-20   .000E+00   .000E+00   .353E+00   .385E-01   .305E-19   .540E-02   .922E-02   .000E+00      36
      97.58857   .440E+00  -.137E-19   .686E+00  -.744E-20   .000E+00   .000E+00   .379E+00   .440E-01   .488E-19   .616E-02   .105E-01   .000E+00      37
