

   Time         sum(rTop)     sum(rRoot)    sum(vTop)     sum(vRoot)     sum(vBot)    hTop       hRoot      hBot      A-level
    [T]           [L]           [L]           [L]           [L]            [L]        [L]         [L]       [L] 

   328.04199   .803617E-02   .000000E+00   .799224E-02   .000000E+00  -.483066E-05  -1819.411       .000  -1080.037       1
   328.08301   .114178E-01   .000000E+00   .113598E-01   .000000E+00  -.954750E-05  -1945.306       .000  -1080.038       2
   328.12500   .146148E-01   .000000E+00   .145496E-01   .000000E+00  -.143794E-04  -2124.011       .000  -1080.059       3
   328.16699   .176798E-01   .000000E+00   .176093E-01   .000000E+00  -.192071E-04  -2301.157       .000  -1080.142       4
   328.20801   .204217E-01   .000000E+00   .203457E-01   .000000E+00  -.239222E-04  -2443.964       .000  -1080.308       5
   328.25000   .238080E-01   .000000E+00   .237289E-01   .000000E+00  -.287338E-04  -2822.466       .000  -1080.572       6
   328.29199   .273283E-01   .000000E+00   .272483E-01   .000000E+00  -.335310E-04  -3254.440       .000  -1080.922       7
   328.33301   .298606E-01   .000000E+00   .297986E-01   .000000E+00  -.382018E-04  -3421.030       .000  -1081.334       8
   328.37500   .326228E-01   .000000E+00   .326060E-01   .000000E+00  -.429564E-04  -3971.673       .000  -1081.810       9
   328.41699   .412488E-01   .000000E+00   .415299E-01   .000000E+00  -.476915E-04 -10433.510       .000  -1082.323      10
   328.45801   .527976E-01   .000000E+00   .533445E-01   .000000E+00  -.522906E-04 -38445.460       .000  -1082.811      11
   328.50000   .643169E-01   .000000E+00   .646429E-01   .000000E+00  -.569807E-04-100000.000       .000  -1083.203      12
   328.54199   .761385E-01   .000000E+00   .712592E-01   .000000E+00  -.616538E-04-100000.000       .000  -1083.397      13
   328.58301   .864806E-01   .000000E+00   .759379E-01   .000000E+00  -.662212E-04-100000.000       .000  -1083.359      14
   328.62500   .956254E-01   .000000E+00   .798126E-01   .000000E+00  -.709049E-04-100000.000       .000  -1083.077      15
   328.66699   .100806E+00   .000000E+00   .829863E-01   .000000E+00  -.756072E-04-100000.000       .000  -1082.578      16
   328.70801   .103549E+00   .000000E+00   .855794E-01   .000000E+00  -.802335E-04 -99018.560       .000  -1081.923      17
   328.75000   .106568E+00   .000000E+00   .884910E-01   .000000E+00  -.850109E-04 -79893.920       .000  -1081.044      18
   328.79199   .109287E+00   .000000E+00   .911489E-01   .000000E+00  -.898360E-04 -74703.050       .000  -1080.086      19
   328.83301   .111549E+00   .000000E+00   .933752E-01   .000000E+00  -.945937E-04 -71009.070       .000  -1079.203      20
   328.87500   .114082E+00   .000000E+00   .958764E-01   .000000E+00  -.994983E-04 -77973.380       .000  -1078.431      21
   328.91699   .116166E+00   .000000E+00   .979363E-01   .000000E+00  -.104438E-03 -73858.380       .000  -1077.845      22
   328.95801   .117804E+00   .000000E+00   .995601E-01   .000000E+00  -.109285E-03 -66763.740       .000  -1077.458      23
   329.00000   .119235E+00   .000000E+00   .100976E+00   .000000E+00  -.114257E-03 -58763.470       .000  -1077.237      24
   329.04199   .120676E+00   .000000E+00   .102410E+00   .000000E+00  -.119236E-03 -56128.200       .000  -1077.179      25
   329.08301   .122263E+00   .000000E+00   .103992E+00   .000000E+00  -.124093E-03 -58588.160       .000  -1077.256      26
   329.12500   .124000E+00   .000000E+00   .105721E+00   .000000E+00  -.129060E-03 -63155.790       .000  -1077.453      27
   329.16699   .125826E+00   .000000E+00   .107540E+00   .000000E+00  -.134014E-03 -69588.190       .000  -1077.746      28
   329.20801   .127243E+00   .000000E+00   .108948E+00   .000000E+00  -.138831E-03 -65811.170       .000  -1078.105      29
   329.25000   .128708E+00   .000000E+00   .110408E+00   .000000E+00  -.143749E-03 -65482.520       .000  -1078.534      30
   329.29199   .130172E+00   .000000E+00   .111866E+00   .000000E+00  -.148647E-03 -66090.490       .000  -1079.006      31
   329.33301   .131876E+00   .000000E+00   .113599E+00   .000000E+00  -.153407E-03 -83913.230       .000  -1079.503      32
   329.37500   .135134E+00   .000000E+00   .115335E+00   .000000E+00  -.158255E-03-100000.000       .000  -1079.982      33
   329.41699   .140490E+00   .000000E+00   .116809E+00   .000000E+00  -.163082E-03-100000.000       .000  -1080.442      34
   329.45801   .148597E+00   .000000E+00   .118311E+00   .000000E+00  -.167774E-03-100000.000       .000  -1080.860      35
