
     Time      Short.Rad.    Long.Rad.    Radiation    Sensible      Latent     Heat Flux     Balance
      [d]       [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]   [MJ/m2/d]    [MJ/m2/d]    [MJ/m2/d]

   .32800E+03   .00000E+00  -.72580E+01  -.72580E+01   .58678E+00   .10219E+02   .18064E+02   .40675E-06
   .32800E+03   .00000E+00  -.69162E+01  -.69162E+01   .12148E+00   .85701E+01   .15608E+02  -.33508E-06
   .32800E+03   .00000E+00  -.67612E+01  -.67612E+01  -.51227E-01   .78033E+01   .14513E+02   .54151E-06
   .32800E+03   .00000E+00  -.66022E+01  -.66022E+01  -.20589E+00   .70245E+01   .13421E+02   .85368E-06
   .32801E+03   .00000E+00  -.64562E+01  -.64562E+01  -.32367E+00   .63628E+01   .12495E+02  -.68075E-06
   .32801E+03   .00000E+00  -.63058E+01  -.63058E+01  -.42815E+00   .57286E+01   .11606E+02  -.11362E-06
   .32801E+03   .00000E+00  -.61616E+01  -.61616E+01  -.50947E+00   .51673E+01   .10819E+02   .44960E-06
   .32802E+03   .00000E+00  -.60184E+01  -.60184E+01  -.57634E+00   .46494E+01   .10091E+02   .39365E-06
   .32802E+03   .00000E+00  -.58727E+01  -.58727E+01  -.62897E+00   .41642E+01   .94080E+01  -.40298E-07
   .32803E+03   .00000E+00  -.57137E+01  -.57137E+01  -.67232E+00   .36760E+01   .87174E+01  -.45536E-07
   .32804E+03   .00000E+00  -.55723E+01  -.55723E+01  -.69829E+00   .32784E+01   .81524E+01   .45477E-06
   .32805E+03   .00000E+00  -.55059E+01  -.55059E+01  -.59499E+00   .26214E+01   .75323E+01  -.34230E-06
   .32806E+03   .00000E+00  -.54646E+01  -.54646E+01  -.47894E+00   .20383E+01   .70240E+01   .25740E-06
   .32807E+03   .00000E+00  -.54254E+01  -.54254E+01  -.44861E+00   .18278E+01   .68046E+01  -.23572E-06
   .32808E+03   .00000E+00  -.53914E+01  -.53914E+01  -.42559E+00   .16654E+01   .66312E+01  -.35140E-06
   .32809E+03   .00000E+00  -.52914E+01  -.52914E+01  -.49383E+00   .17496E+01   .65472E+01  -.70084E-07
   .32810E+03   .00000E+00  -.52070E+01  -.52070E+01  -.55994E+00   .18316E+01   .64787E+01  -.28734E-06
   .32811E+03   .00000E+00  -.51167E+01  -.51167E+01  -.63321E+00   .18944E+01   .63778E+01  -.21367E-06
