 ******* Program HYDRUS
 ******* Welcome to HYDRUS-1D                                                   
  
 Date:   6.11.    Time:  10: 4:25
 Units: L = cm   , T = days , M = mmol 



                               Node(  5)                      Node( 15)                      Node( 25)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp   
        328.0010    -1080.37   .1307   16.906      -1080.04   .1307   17.000      -1080.04   .1307   17.000
        328.0020    -1081.15   .1307   16.656      -1080.04   .1307   16.999      -1080.04   .1307   17.000
        328.0033    -1082.02   .1307   16.330      -1080.06   .1307   16.994      -1080.04   .1307   17.000
        328.0050    -1082.91   .1306   16.013      -1080.13   .1307   16.970      -1080.04   .1307   17.000
        328.0072    -1083.83   .1306   15.661      -1080.32   .1307   16.909      -1080.04   .1307   16.998
        328.0100    -1084.78   .1306   15.314      -1080.67   .1307   16.792      -1080.07   .1307   16.990
        328.0136    -1085.71   .1306   14.963      -1081.16   .1307   16.621      -1080.14   .1307   16.966
        328.0183    -1086.70   .1306   14.601      -1081.83   .1307   16.384      -1080.32   .1307   16.909
        328.0242    -1087.68   .1306   14.237      -1082.60   .1307   16.102      -1080.62   .1307   16.806
        328.0331    -1088.91   .1306   13.818      -1083.65   .1306   15.721      -1081.17   .1307   16.618
        328.0420    -1089.88   .1306   13.482      -1084.52   .1306   15.390      -1081.74   .1307   16.414
        328.0520    -1090.85   .1306   13.190      -1085.37   .1306   15.067      -1082.37   .1307   16.184
        328.0620    -1091.78   .1306   12.958      -1086.08   .1306   14.789      -1082.97   .1306   15.964
        328.0720    -1092.80   .1305   12.742      -1086.70   .1306   14.546      -1083.52   .1306   15.757
        328.0830    -1094.04   .1305   12.518      -1087.32   .1306   14.305      -1084.09   .1306   15.544
        328.0930    -1095.29   .1305   12.323      -1087.84   .1306   14.101      -1084.57   .1306   15.363
        328.1030    -1096.61   .1304   12.132      -1088.32   .1306   13.909      -1085.03   .1306   15.191
        328.1130    -1098.03   .1304   11.957      -1088.79   .1306   13.726      -1085.46   .1306   15.025
        328.1250    -1099.90   .1303   11.755      -1089.33   .1306   13.517      -1085.97   .1306   14.835
        328.1350    -1101.44   .1303   11.616      -1089.73   .1306   13.355      -1086.36   .1306   14.683
        328.1450    -1103.05   .1302   11.494      -1090.10   .1306   13.204      -1086.74   .1306   14.538
        328.1550    -1104.72   .1302   11.385      -1090.44   .1306   13.066      -1087.10   .1306   14.399
        328.1670    -1106.82   .1301   11.271      -1090.82   .1306   12.915      -1087.50   .1306   14.242
        328.1770    -1108.68   .1300   11.161      -1091.11   .1306   12.797      -1087.81   .1306   14.119
        328.1870    -1110.63   .1300   11.045      -1091.39   .1306   12.680      -1088.11   .1306   14.001
        328.1970    -1112.63   .1299   10.927      -1091.69   .1306   12.563      -1088.41   .1306   13.887
        328.2080    -1114.92   .1298   10.795      -1092.00   .1306   12.435      -1088.72   .1306   13.764
        328.2180    -1116.99   .1298   10.683      -1092.29   .1306   12.320      -1089.00   .1306   13.654
        328.2280    -1119.08   .1297   10.580      -1092.55   .1306   12.209      -1089.28   .1306   13.546
        328.2380    -1121.19   .1296   10.482      -1092.82   .1306   12.102      -1089.54   .1306   13.441
        328.2500    -1123.80   .1295   10.366      -1093.12   .1306   11.978      -1089.86   .1306   13.318
        328.2600    -1125.65   .1294   10.366      -1093.33   .1306   11.887      -1090.10   .1306   13.219
        328.2700    -1127.70   .1294   10.371      -1093.47   .1306   11.821      -1090.33   .1306   13.127
