 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]
        .10000   .209E+00   .000E+00   .209E-01   .000E+00   .000E+00   .000E+00   .856E-01   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       1
        .17007   .400E+00   .000E+00   .489E-01   .000E+00   .000E+00   .000E+00   .157E+00   .810E-03   .000E+00   .641E-03   .449E-04   .000E+00       2
        .24014   .400E+00   .000E+00   .770E-01   .000E+00   .000E+00   .000E+00   .192E+00   .185E-02   .000E+00   .146E-02   .147E-03   .000E+00       3
        .31021   .400E+00   .000E+00   .105E+00   .000E+00   .000E+00   .000E+00   .221E+00   .288E-02   .000E+00   .227E-02   .306E-03   .000E+00       4
        .38028   .400E+00   .000E+00   .133E+00   .000E+00   .000E+00   .000E+00   .245E+00   .388E-02   .000E+00   .305E-02   .520E-03   .000E+00       5
        .45035   .400E+00   .000E+00   .161E+00   .000E+00   .000E+00   .000E+00   .266E+00   .487E-02   .000E+00   .382E-02   .788E-03   .000E+00       6
        .52042   .400E+00   .000E+00   .189E+00   .000E+00   .000E+00   .000E+00   .284E+00   .585E-02   .000E+00   .458E-02   .111E-02   .000E+00       7
        .59049   .400E+00   .000E+00   .217E+00   .000E+00   .000E+00   .000E+00   .300E+00   .681E-02   .000E+00   .533E-02   .148E-02   .000E+00       8
        .66056   .400E+00   .000E+00   .245E+00   .000E+00   .000E+00   .000E+00   .316E+00   .777E-02   .000E+00   .607E-02   .191E-02   .000E+00       9
        .73063   .400E+00   .000E+00   .273E+00   .000E+00   .000E+00   .000E+00   .330E+00   .872E-02   .000E+00   .680E-02   .238E-02   .000E+00      10
        .80070   .400E+00   .000E+00   .301E+00   .000E+00   .000E+00   .000E+00   .342E+00   .966E-02   .000E+00   .753E-02   .291E-02   .000E+00      11
        .89170   .400E+00   .000E+00   .338E+00   .000E+00   .000E+00   .000E+00   .358E+00   .106E-01   .000E+00   .825E-02   .366E-02   .000E+00      12
