 ******* Program HYDRUS
 ******* Upward infiltration with bottom tension                                
  
 Date:   1.10.    Time:  14: 8:38
 Units: L = cm   , T = sec  , M = mmol 



                             Node(  9)                      Node( 20)                      Node( 26)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp   
         1.000    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         1.700    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         2.190    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         2.533    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         2.773    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         2.941    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         3.109    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         3.277    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         3.445    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         3.614    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         3.782    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         3.950    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         4.118    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         4.286    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         4.504    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         4.723    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         4.941    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         5.160    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         5.378    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         5.597    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         5.815    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         6.034    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         6.252    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         6.471    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         6.755    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         7.039    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         7.323    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         7.607    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         7.891    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         8.175    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         8.459    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         8.743    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         9.027    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         9.396    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
         9.766    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        10.135    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        10.504    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        10.984    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        11.465    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        11.945    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        12.425    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        12.905    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        13.385    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        13.865    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        14.345    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        14.825    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        15.305    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        15.785    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        16.265    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        16.745    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        17.225    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        17.705    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        18.185    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        18.665    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        19.145    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        19.625    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
        20.105    -750.000   .1336     .000      -750.000   .1336     .000      -750.000   .1336     .000
