 ******* Program HYDRUS
 ******* Upward infiltration with bottom tension                                
  
 Date:   1.10.    Time:  14: 8:38
 Units: L = cm   , T = sec  , M = mmol 


  TLevel   Time         dt      Iter  ItCum  KodT  KodB  Convergency

     1  .10000E+01  .10000E+01   12    12    -1     1     T
     2  .17001E+01  .70010E+00   10    22    -1     1     T
     3  .21901E+01  .48997E+00   11    33    -1     1     T
     4  .25330E+01  .34296E+00    8    41    -1     1     T
     5  .27731E+01  .24012E+00    7    48    -1     1     T
     6  .29412E+01  .16809E+00    5    53    -1     1     T
     7  .31093E+01  .16809E+00    5    58    -1     1     T
     8  .32774E+01  .16809E+00    5    63    -1     1     T
     9  .34455E+01  .16809E+00    5    68    -1     1     T
    10  .36136E+01  .16809E+00    4    72    -1     1     T
    11  .37817E+01  .16809E+00    4    76    -1     1     T
    12  .39498E+01  .16809E+00    4    80    -1     1     T
    13  .41178E+01  .16809E+00    4    84    -1     1     T
    14  .42859E+01  .16809E+00    3    87    -1     1     T
    15  .45044E+01  .21847E+00    5    92    -1     1     T
    16  .47229E+01  .21847E+00    4    96    -1     1     T
    17  .49413E+01  .21847E+00    5   101    -1     1     T
    18  .51598E+01  .21847E+00    5   106    -1     1     T
    19  .53783E+01  .21847E+00    5   111    -1     1     T
    20  .55968E+01  .21847E+00    4   115    -1     1     T
    21  .58152E+01  .21847E+00    5   120    -1     1     T
    22  .60337E+01  .21847E+00    5   125    -1     1     T
    23  .62522E+01  .21847E+00    5   130    -1     1     T
    24  .64706E+01  .21847E+00    3   133    -1     1     T
    25  .67547E+01  .28405E+00    5   138    -1     1     T
    26  .70387E+01  .28405E+00    5   143    -1     1     T
    27  .73228E+01  .28405E+00    5   148    -1     1     T
    28  .76068E+01  .28405E+00    5   153    -1     1     T
    29  .78909E+01  .28405E+00    5   158    -1     1     T
    30  .81749E+01  .28405E+00    5   163    -1     1     T
    31  .84590E+01  .28405E+00    4   167    -1     1     T
    32  .87430E+01  .28405E+00    5   172    -1     1     T
    33  .90271E+01  .28405E+00    3   175    -1     1     T
    34  .93964E+01  .36934E+00    5   180    -1     1     T
    35  .97658E+01  .36934E+00    5   185    -1     1     T
    36  .10135E+02  .36934E+00    5   190    -1     1     T
    37  .10504E+02  .36934E+00    2   192    -1     1     T
    38  .10984E+02  .48004E+00    6   198    -1     1     T
    39  .11465E+02  .48004E+00    5   203    -1     1     T
    40  .11945E+02  .48004E+00    6   209    -1     1     T
    41  .12425E+02  .48004E+00    5   214    -1     1     T
    42  .12905E+02  .48004E+00    5   219    -1     1     T
    43  .13385E+02  .48004E+00    5   224    -1     1     T
    44  .13865E+02  .48004E+00    4   228    -1     1     T
    45  .14345E+02  .48004E+00    5   233    -1     1     T
    46  .14825E+02  .48004E+00    5   238    -1     1     T
    47  .15305E+02  .48004E+00    4   242    -1     1     T
    48  .15785E+02  .48004E+00    5   247    -1     1     T
    49  .16265E+02  .48004E+00    5   252    -1     1     T
    50  .16745E+02  .48004E+00    5   257    -1     1     T
    51  .17225E+02  .48004E+00    4   261    -1     1     T
    52  .17705E+02  .48004E+00    4   265    -1     1     T
    53  .18185E+02  .48004E+00    5   270    -1     1     T
    54  .18665E+02  .48004E+00    5   275    -1     1     T
    55  .19145E+02  .48004E+00    4   279    -1     1     T
    56  .19625E+02  .48004E+00    4   283    -1     1     T
    57  .20105E+02  .48004E+00    5   288    -1     1     T
    58  .20585E+02  .48004E+00    4   292    -1     1     T
    59  .21065E+02  .48004E+00    4   296    -1     1     T
    60  .21545E+02  .48004E+00    2   298    -1     1     T
    61  .22169E+02  .62418E+00    5   303    -1     1     T
    62  .22794E+02  .62418E+00    4   307    -1     1     T
    63  .23418E+02  .62418E+00    5   312    -1     1     T
    64  .24042E+02  .62418E+00    3   315    -1     1     T
    65  .24853E+02  .81114E+00    6   321    -1     1     T
    66  .25664E+02  .81114E+00    5   326    -1     1     T
    67  .26475E+02  .81114E+00    5   331    -1     1     T
    68  .27287E+02  .81114E+00    5   336    -1     1     T
    69  .28098E+02  .81114E+00    5   341    -1     1     T
    70  .28909E+02  .81114E+00    5   346    -1     1     T
    71  .29720E+02  .81114E+00    5   351    -1     1     T
    72  .30531E+02  .81114E+00    5   356    -1     1     T
    73  .31342E+02  .81114E+00    5   361    -1     1     T
    74  .32153E+02  .81114E+00    5   366    -1     1     T
    75  .32965E+02  .81114E+00    4   370    -1     1     T
    76  .33776E+02  .81114E+00    3   373    -1     1     T
    77  .34830E+02  .10541E+01    6   379    -1     1     T
    78  .35884E+02  .10541E+01    5   384    -1     1     T
    79  .36938E+02  .10541E+01    5   389    -1     1     T
    80  .37992E+02  .10541E+01    5   394    -1     1     T
    81  .39046E+02  .10541E+01    4   398    -1     1     T
    82  .40100E+02  .10541E+01    6   404    -1     1     T
    83  .41154E+02  .10541E+01    5   409    -1     1     T
    84  .42209E+02  .10541E+01    5   414    -1     1     T
    85  .43263E+02  .10541E+01    5   419    -1     1     T
    86  .44317E+02  .10541E+01    5   424    -1     1     T
    87  .45371E+02  .10541E+01    5   429    -1     1     T
    88  .46425E+02  .10541E+01    5   434    -1     1     T
