 ******* Program HYDRUS
 ******* Example 2 - Grass Field Problem (Hupselse Beek 1982)                   
  
 Date:   1.10.    Time:  14: 9: 4
 Units: L = cm   , T = days , M = -    



                             Node( 10)                                 Node( 20)                                 Node( 30)

       time         h        theta    Temp     Conc           h        theta    Temp     Conc           h        theta    Temp     Conc     
        90.100     -25.338   .3696    5.649   .000E+00        74.615   .3390    7.826   .000E+00       169.535   .3390    9.857   .000E+00
        90.229     -25.697   .3691    5.592   .000E+00        74.268   .3390    7.826   .000E+00       169.188   .3390    9.768   .000E+00
        90.383     -26.185   .3684    5.405   .000E+00        73.791   .3390    7.826   .000E+00       168.713   .3390    9.694   .000E+00
        90.589     -26.812   .3676    5.213   .000E+00        73.173   .3390    7.825   .000E+00       168.096   .3390    9.619   .000E+00
        90.794     -27.450   .3668    5.272   .000E+00        72.541   .3390    7.825   .000E+00       167.465   .3390    9.555   .000E+00
        91.000     -28.078   .3659    5.289   .000E+00        71.925   .3390    7.825   .000E+00       166.850   .3390    9.502   .000E+00
        91.100     -28.351   .3655    5.188   .615E-14        71.642   .3390    7.825   .000E+00       166.568   .3390    9.476   .000E+00
        91.229     -28.708   .3651    5.010   .389E-12        71.284   .3390    7.824   .000E+00       166.211   .3390    9.447   .000E+00
        91.383     -29.089   .3646    4.877   .849E-11        70.893   .3390    7.824   .000E+00       165.820   .3390    9.412   .000E+00
        91.589     -29.576   .3639    4.993   .156E-09        70.402   .3390    7.823   .376E-28       165.330   .3390    9.370   .000E+00
        91.794     -30.045   .3633    5.299   .105E-08        69.932   .3390    7.821   .840E-27       164.861   .3390    9.330   .000E+00
        92.000     -30.505   .3627    5.492   .460E-08        69.478   .3390    7.818   .103E-25       164.408   .3390    9.293   .000E+00
        92.100     -30.748   .3624    5.476   .821E-08        69.249   .3390    7.816   .243E-25       164.180   .3390    9.275   .000E+00
        92.229     -30.977   .3621    5.369   .164E-07        68.999   .3390    7.814   .751E-25       163.930   .3390    9.254   .000E+00
        92.383     -31.301   .3617    5.298   .347E-07        68.684   .3390    7.811   .291E-24       163.615   .3390    9.228   .000E+00
        92.589     -31.724   .3611    5.513   .837E-07        68.269   .3390    7.805   .187E-23       163.201   .3390    9.195   .000E+00
        92.794     -32.151   .3606    5.972   .177E-06        67.855   .3390    7.799   .981E-23       162.788   .3390    9.164   .000E+00
        93.000     -32.574   .3600    6.283   .340E-06        67.440   .3390    7.792   .439E-22       162.374   .3390    9.134   .000E+00
        93.250     -33.136   .3593    6.172   .672E-06        66.902   .3390    7.782   .251E-21       161.837   .3390    9.098   .000E+00
        93.500     -33.974   .3582    5.972   .120E-05        66.168   .3390    7.773   .117E-20       161.104   .3390    9.064   .000E+00
        93.750     -34.764   .3572    6.159   .198E-05        65.419   .3390    7.763   .465E-20       160.356   .3390    9.031   .000E+00
        94.000     -35.581   .3561    6.394   .306E-05        64.641   .3390    7.754   .163E-19       159.579   .3390    8.999   .000E+00
        94.250     -36.384   .3551    6.185   .448E-05        63.865   .3390    7.746   .517E-19       158.805   .3390    8.968   .000E+00
        94.500     -37.496   .3537    5.884   .627E-05        62.898   .3390    7.738   .150E-18       157.839   .3390    8.938   .000E+00
        94.750     -38.547   .3524    5.989   .843E-05        61.917   .3390    7.731   .402E-18       156.860   .3390    8.909   .000E+00
        95.000     -39.633   .3510    6.161   .110E-04        60.894   .3390    7.726   .101E-17       155.838   .3390    8.881   .000E+00
        95.100     -40.031   .3505    6.097   .121E-04        60.506   .3390    7.723   .141E-17       155.451   .3390    8.869   .000E+00
        95.229     -40.306   .3502    5.870   .136E-04        60.101   .3390    7.721   .216E-17       155.047   .3390    8.855   .000E+00
        95.383     -40.665   .3498    5.570   .157E-04        59.671   .3390    7.718   .356E-17       154.617   .3390    8.838   .000E+00
        95.589     -41.078   .3493    5.456   .186E-04        59.196   .3390    7.714   .677E-17       154.143   .3390    8.816   .000E+00
        95.794     -41.483   .3488    5.653   .219E-04        58.760   .3390    7.710   .125E-16       153.707   .3390    8.794   .000E+00
        96.000     -41.870   .3483    5.754   .255E-04        58.357   .3390    7.706   .225E-16       153.305   .3390    8.772   .000E+00
        96.100     -41.978   .3482    5.663   .273E-04        58.186   .3390    7.704   .295E-16       153.134   .3390    8.762   .000E+00
        96.229     -41.804   .3484    5.463   .299E-04        58.110   .3390    7.702   .416E-16       153.059   .3390    8.748   .000E+00
        96.383     -41.559   .3487    5.345   .332E-04        58.142   .3390    7.698   .620E-16       153.090   .3390    8.733   .000E+00
        96.589     -41.117   .3492    5.585   .381E-04        58.381   .3390    7.694   .104E-15       153.329   .3390    8.712   .237E-29
        96.794     -40.644   .3498    6.067   .436E-04        58.732   .3390    7.689   .172E-15       153.680   .3390    8.692   .707E-29
        97.000     -40.144   .3504    6.382   .496E-04        59.168   .3390    7.683   .277E-15       154.115   .3390    8.672   .169E-28
        97.100     -39.836   .3508    6.376   .528E-04        59.411   .3390    7.680   .346E-15       154.357   .3390    8.662   .248E-28
        97.229     -39.489   .3512    6.237   .570E-04        59.750   .3390    7.676   .459E-15       154.696   .3390    8.650   .399E-28
        97.383     -38.956   .3518    6.097   .626E-04        60.226   .3390    7.670   .640E-15       155.171   .3390    8.636   .694E-28
        97.589     -38.212   .3528    6.276   .708E-04        60.932   .3390    7.663   .985E-15       155.877   .3390    8.617   .143E-27
        97.794     -37.427   .3537    6.792   .802E-04        61.708   .3390    7.655   .149E-14       156.651   .3390    8.598   .288E-27
        98.000     -36.641   .3548    7.130   .909E-04        62.508   .3390    7.648   .223E-14       157.450   .3390    8.580   .565E-27
        98.100     -36.359   .3551    7.098   .967E-04        62.868   .3390    7.644   .270E-14       157.809   .3390    8.571   .774E-27
        98.229     -36.043   .3555    6.914   .105E-03        63.270   .3390    7.640   .343E-14       158.210   .3390    8.560   .115E-26
        98.383     -35.796   .3559    6.738   .115E-03        63.637   .3390    7.635   .455E-14       158.577   .3390    8.546   .185E-26
        98.589     -35.535   .3562    6.911   .130E-03        63.998   .3390    7.628   .658E-14       158.937   .3390    8.529   .345E-26
        98.794     -35.316   .3565    7.420   .148E-03        64.282   .3390    7.622   .941E-14       159.221   .3390    8.511   .631E-26
        99.000     -35.115   .3567    7.756   .168E-03        64.518   .3390    7.618   .133E-13       159.456   .3390    8.494   .114E-25
        99.100     -34.981   .3569    7.726   .180E-03        64.642   .3390    7.616   .157E-13       159.581   .3390    8.486   .150E-25
        99.229     -34.772   .3572    7.529   .195E-03        64.823   .3390    7.613   .194E-13       159.762   .3390    8.475   .213E-25
        99.383     -34.479   .3576    7.288   .216E-03        65.082   .3390    7.611   .248E-13       160.020   .3390    8.463   .322E-25
