 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]
      90.10000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       1
      90.22857   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       2
      90.38286   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       3
      90.58857   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       4
      90.79428   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       5
      91.00000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       6
      91.10000   .252E-01   .000E+00   .252E-02   .000E+00   .000E+00   .000E+00   .652E-02   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00       7
      91.22857   .396E-01   .000E+00   .761E-02   .000E+00   .000E+00   .000E+00   .138E-01   .174E-04   .000E+00   .313E-05   .402E-06   .000E+00       8
      91.38286   .280E-01   .000E+00   .119E-01   .000E+00   .000E+00   .000E+00   .142E-01   .109E-03   .000E+00   .196E-04   .343E-05   .000E+00       9
      91.58857   .242E-01   .000E+00   .169E-01   .000E+00   .000E+00   .000E+00   .163E-01   .286E-03   .000E+00   .515E-04   .140E-04   .000E+00      10
      91.79428   .205E-01   .000E+00   .211E-01   .000E+00   .000E+00   .000E+00   .168E-01   .520E-03   .000E+00   .936E-04   .333E-04   .000E+00      11
      92.00000   .185E-01   .000E+00   .249E-01   .000E+00   .000E+00   .000E+00   .176E-01   .737E-03   .000E+00   .133E-03   .606E-04   .000E+00      12
      92.10000  -.104E-02   .000E+00   .248E-01   .000E+00   .000E+00   .000E+00   .131E-01   .942E-03   .000E+00   .122E-03   .728E-04   .000E+00      13
      92.22857  -.120E-01   .000E+00   .233E-01   .000E+00   .000E+00   .000E+00   .821E-02   .102E-02   .000E+00   .133E-03   .899E-04   .000E+00      14
      92.38286  -.450E-02   .000E+00   .226E-01   .000E+00   .000E+00   .000E+00   .812E-02   .107E-02   .000E+00   .140E-03   .111E-03   .000E+00      15
      92.58857  -.267E-02   .000E+00   .220E-01   .000E+00   .000E+00   .000E+00   .700E-02   .108E-02   .000E+00   .141E-03   .140E-03   .000E+00      16
      92.79428  -.818E-03   .000E+00   .219E-01   .000E+00   .000E+00   .000E+00   .688E-02   .109E-02   .000E+00   .142E-03   .170E-03   .000E+00      17
      93.00000  -.812E-04   .000E+00   .219E-01   .000E+00   .000E+00   .000E+00   .650E-02   .110E-02   .000E+00   .143E-03   .199E-03   .000E+00      18
      93.25000  -.111E-01   .000E+00   .191E-01   .000E+00   .000E+00   .000E+00   .890E-03   .111E-02   .000E+00   .223E-03   .255E-03   .000E+00      19
      93.50000  -.506E-02   .000E+00   .178E-01   .000E+00   .000E+00   .000E+00   .248E-02   .109E-02   .000E+00   .217E-03   .309E-03   .000E+00      20
      93.75000  -.498E-02   .000E+00   .166E-01   .000E+00   .000E+00   .000E+00   .840E-03   .102E-02   .000E+00   .204E-03   .360E-03   .000E+00      21
      94.00000  -.332E-02   .000E+00   .157E-01   .000E+00   .000E+00   .000E+00   .138E-02   .967E-03   .000E+00   .193E-03   .408E-03   .000E+00      22
      94.25000  -.314E-02   .000E+00   .150E-01   .000E+00   .000E+00   .000E+00   .718E-03   .923E-03   .000E+00   .258E-03   .473E-03   .000E+00      23
      94.50000  -.243E-02   .000E+00   .143E-01   .000E+00   .000E+00   .000E+00   .902E-03   .881E-03   .000E+00   .247E-03   .535E-03   .000E+00      24
      94.75000  -.225E-02   .000E+00   .138E-01   .000E+00   .000E+00   .000E+00   .601E-03   .847E-03   .000E+00   .237E-03   .594E-03   .000E+00      25
      95.00000  -.188E-02   .000E+00   .133E-01   .000E+00   .000E+00   .000E+00   .651E-03   .815E-03   .000E+00   .228E-03   .651E-03   .000E+00      26
      95.10000   .230E-01   .000E+00   .156E-01   .000E+00   .000E+00   .000E+00   .736E-02   .787E-03   .000E+00   .142E-03   .665E-03   .000E+00      27
      95.22857   .366E-01   .000E+00   .203E-01   .000E+00   .000E+00   .000E+00   .149E-01   .792E-03   .000E+00   .143E-03   .683E-03   .000E+00      28
      95.38286   .249E-01   .000E+00   .242E-01   .000E+00   .000E+00   .000E+00   .152E-01   .864E-03   .000E+00   .155E-03   .707E-03   .000E+00      29
      95.58857   .215E-01   .000E+00   .286E-01   .000E+00   .000E+00   .000E+00   .171E-01   .102E-02   .000E+00   .183E-03   .745E-03   .000E+00      30
      95.79428   .180E-01   .000E+00   .323E-01   .000E+00   .000E+00   .000E+00   .175E-01   .122E-02   .000E+00   .220E-03   .790E-03   .000E+00      31
      96.00000   .162E-01   .000E+00   .356E-01   .000E+00   .000E+00   .000E+00   .183E-01   .141E-02   .000E+00   .255E-03   .843E-03   .000E+00      32
      96.10000   .942E-01   .000E+00   .451E-01   .000E+00   .000E+00   .000E+00   .389E-01   .160E-02   .000E+00   .128E-03   .855E-03   .000E+00      33
