 ******* Program HYDRUS
 ******* Transport with multiple cation exchange (verification problem 6)       
  
 Date:  30.10.    Time:   9:21:12
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    2       .20      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    3       .40      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    4       .60      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    5       .80      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    6      1.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    7      1.20      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    8      1.40      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    9      1.60      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   10      1.80      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   11      2.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   12      2.20      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   13      2.40      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   14      2.60      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   15      2.80      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   16      3.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   17      3.20      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   18      3.40      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   19      3.60      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   20      3.80      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   21      4.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   22      4.20      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   23      4.40      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   24      4.60      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   25      4.80      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   26      5.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   27      5.20      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   28      5.40      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   29      5.60      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   30      5.80      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   31      6.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   32      6.20      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   33      6.40      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   34      6.60      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   35      6.80      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   36      7.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   37      7.20      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   38      7.40      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   39      7.60      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   40      7.80      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   41      8.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
end
