 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
        .10000   .100E-01  -.100E-06   .100E-02  -.100E-07   .000E+00   .000E+00   .309E-02   .000E+00   .100E-06   .000E+00   .000E+00   .000E+00      13   .4942E-12
        .20000   .100E-01  -.100E-06   .200E-02  -.200E-07   .000E+00   .000E+00   .413E-02   .000E+00   .100E-06   .000E+00   .000E+00   .000E+00      17   .7480E-12
        .30000   .100E-01  -.111E-06   .300E-02  -.304E-07   .000E+00   .000E+00   .483E-02   .000E+00   .115E-06   .000E+00   .000E+00   .000E+00      21   .8919E-12
        .40000   .100E-01  -.334E-06   .400E-02  -.509E-07   .000E+00   .000E+00   .537E-02   .000E+00   .391E-06   .000E+00   .000E+00   .000E+00      25   .1948E-11
        .50000   .100E-01  -.195E-05   .500E-02  -.161E-06   .000E+00   .000E+00   .581E-02   .000E+00   .226E-05   .000E+00   .000E+00   .000E+00      29   .2625E-11
        .60000   .100E-01  -.804E-05   .600E-02  -.670E-06   .000E+00   .000E+00   .617E-02   .000E+00   .902E-05   .000E+00   .000E+00   .000E+00      33   .3557E-11
        .70000   .100E-01  -.234E-04   .700E-02  -.230E-05   .000E+00   .000E+00   .648E-02   .000E+00   .256E-04   .000E+00   .000E+00   .000E+00      37   .4971E-11
        .80000   .100E-01  -.532E-04   .800E-02  -.630E-05   .000E+00   .000E+00   .675E-02   .000E+00   .571E-04   .000E+00   .000E+00   .000E+00      41   .5877E-11
        .90000   .100E-01  -.102E-03   .900E-02  -.144E-04   .000E+00   .000E+00   .699E-02   .000E+00   .108E-03   .000E+00   .000E+00   .000E+00      45   .5933E-11
       1.00000   .100E-01  -.172E-03   .100E-01  -.286E-04   .000E+00   .000E+00   .720E-02   .000E+00   .181E-03   .000E+00   .000E+00   .000E+00      49   .6225E-11
       1.10000   .100E-01  -.266E-03   .110E-01  -.513E-04   .000E+00   .000E+00   .739E-02   .000E+00   .277E-03   .000E+00   .000E+00   .000E+00      53   .5666E-11
       1.20000   .100E-01  -.383E-03   .120E-01  -.847E-04   .000E+00   .000E+00   .756E-02   .000E+00   .396E-03   .000E+00   .000E+00   .000E+00      57   .4460E-11
       1.30000   .100E-01  -.522E-03   .130E-01  -.131E-03   .000E+00   .000E+00   .772E-02   .000E+00   .537E-03   .000E+00   .000E+00   .000E+00      61   .2646E-11
       1.40000   .100E-01  -.681E-03   .140E-01  -.193E-03   .000E+00   .000E+00   .786E-02   .000E+00   .698E-03   .000E+00   .000E+00   .000E+00      65   .8993E-13
       1.50000   .100E-01  -.859E-03   .150E-01  -.271E-03   .000E+00   .000E+00   .799E-02   .000E+00   .877E-03   .000E+00   .000E+00   .000E+00      69  -.1239E-11
       1.60000   .100E-01  -.105E-02   .160E-01  -.369E-03   .000E+00   .000E+00   .811E-02   .000E+00   .107E-02   .000E+00   .000E+00   .000E+00      73  -.3092E-11
       1.70000   .100E-01  -.126E-02   .170E-01  -.486E-03   .000E+00   .000E+00   .821E-02   .000E+00   .128E-02   .000E+00   .000E+00   .000E+00      77  -.6516E-11
       1.80000   .100E-01  -.148E-02   .180E-01  -.625E-03   .000E+00   .000E+00   .831E-02   .000E+00   .150E-02   .000E+00   .000E+00   .000E+00      81  -.1113E-10
       1.90000   .100E-01  -.170E-02   .190E-01  -.786E-03   .000E+00   .000E+00   .841E-02   .000E+00   .172E-02   .000E+00   .000E+00   .000E+00      85  -.1414E-10
       2.00000   .100E-01  -.193E-02   .200E-01  -.970E-03   .000E+00   .000E+00   .849E-02   .000E+00   .196E-02   .000E+00   .000E+00   .000E+00      89  -.1810E-10
       2.10000   .100E-01  -.217E-02   .210E-01  -.118E-02   .000E+00   .000E+00   .857E-02   .000E+00   .219E-02   .000E+00   .000E+00   .000E+00      93  -.2325E-10
       2.20000   .100E-01  -.241E-02   .220E-01  -.141E-02   .000E+00   .000E+00   .865E-02   .000E+00   .243E-02   .000E+00   .000E+00   .000E+00      97  -.2798E-10
       2.30000   .100E-01  -.265E-02   .230E-01  -.166E-02   .000E+00   .000E+00   .872E-02   .000E+00   .267E-02   .000E+00   .000E+00   .000E+00     101  -.3187E-10
       2.40000   .100E-01  -.289E-02   .240E-01  -.194E-02   .000E+00   .000E+00   .879E-02   .000E+00   .291E-02   .000E+00   .000E+00   .000E+00     105  -.3681E-10
       2.50000   .100E-01  -.313E-02   .250E-01  -.225E-02   .000E+00   .000E+00   .885E-02   .000E+00   .315E-02   .000E+00   .000E+00   .000E+00     109  -.4306E-10
       2.60000   .100E-01  -.336E-02   .260E-01  -.257E-02   .000E+00   .000E+00   .890E-02   .000E+00   .339E-02   .000E+00   .000E+00   .000E+00     113  -.4775E-10
       2.70000   .100E-01  -.360E-02   .270E-01  -.292E-02   .000E+00   .000E+00   .896E-02   .000E+00   .362E-02   .000E+00   .000E+00   .000E+00     117  -.5249E-10
       2.80000   .100E-01  -.383E-02   .280E-01  -.330E-02   .000E+00   .000E+00   .901E-02   .000E+00   .385E-02   .000E+00   .000E+00   .000E+00     121  -.5843E-10
       2.90000   .100E-01  -.405E-02   .290E-01  -.369E-02   .000E+00   .000E+00   .906E-02   .000E+00   .407E-02   .000E+00   .000E+00   .000E+00     125  -.6395E-10
       3.00000   .100E-01  -.427E-02   .300E-01  -.411E-02   .000E+00   .000E+00   .910E-02   .000E+00   .429E-02   .000E+00   .000E+00   .000E+00     129  -.6957E-10
       3.10000   .100E-01  -.449E-02   .310E-01  -.455E-02   .000E+00   .000E+00   .915E-02   .000E+00   .451E-02   .000E+00   .000E+00   .000E+00     133  -.7524E-10
       3.20000   .100E-01  -.469E-02   .320E-01  -.501E-02   .000E+00   .000E+00   .919E-02   .000E+00   .472E-02   .000E+00   .000E+00   .000E+00     137  -.8139E-10
       3.30000   .100E-01  -.490E-02   .330E-01  -.549E-02   .000E+00   .000E+00   .922E-02   .000E+00   .492E-02   .000E+00   .000E+00   .000E+00     141  -.8682E-10
       3.40000   .100E-01  -.510E-02   .340E-01  -.600E-02   .000E+00   .000E+00   .926E-02   .000E+00   .512E-02   .000E+00   .000E+00   .000E+00     145  -.9228E-10
       3.50000   .100E-01  -.529E-02   .350E-01  -.652E-02   .000E+00   .000E+00   .929E-02   .000E+00   .531E-02   .000E+00   .000E+00   .000E+00     149  -.9901E-10
       3.60000   .100E-01  -.547E-02   .360E-01  -.706E-02   .000E+00   .000E+00   .933E-02   .000E+00   .549E-02   .000E+00   .000E+00   .000E+00     153  -.1043E-09
       3.70000   .100E-01  -.565E-02   .370E-01  -.762E-02   .000E+00   .000E+00   .936E-02   .000E+00   .567E-02   .000E+00   .000E+00   .000E+00     157  -.1096E-09
       3.80000   .100E-01  -.583E-02   .380E-01  -.819E-02   .000E+00   .000E+00   .939E-02   .000E+00   .585E-02   .000E+00   .000E+00   .000E+00     161  -.1158E-09
       3.90000   .100E-01  -.600E-02   .390E-01  -.878E-02   .000E+00   .000E+00   .941E-02   .000E+00   .601E-02   .000E+00   .000E+00   .000E+00     165  -.1207E-09
       4.00000   .100E-01  -.616E-02   .400E-01  -.939E-02   .000E+00   .000E+00   .944E-02   .000E+00   .617E-02   .000E+00   .000E+00   .000E+00     169  -.1258E-09
       4.10000   .100E-01  -.631E-02   .410E-01  -.100E-01   .000E+00   .000E+00   .947E-02   .000E+00   .633E-02   .000E+00   .000E+00   .000E+00     173  -.1320E-09
       4.20000   .100E-01  -.646E-02   .420E-01  -.107E-01   .000E+00   .000E+00   .949E-02   .000E+00   .648E-02   .000E+00   .000E+00   .000E+00     177  -.1368E-09
       4.30000   .100E-01  -.661E-02   .430E-01  -.113E-01   .000E+00   .000E+00   .951E-02   .000E+00   .662E-02   .000E+00   .000E+00   .000E+00     181  -.1414E-09
       4.40000   .100E-01  -.675E-02   .440E-01  -.120E-01   .000E+00   .000E+00   .953E-02   .000E+00   .676E-02   .000E+00   .000E+00   .000E+00     185  -.1471E-09
       4.50000   .100E-01  -.688E-02   .450E-01  -.127E-01   .000E+00   .000E+00   .955E-02   .000E+00   .690E-02   .000E+00   .000E+00   .000E+00     189  -.1525E-09
       4.60000   .100E-01  -.701E-02   .460E-01  -.134E-01   .000E+00   .000E+00   .957E-02   .000E+00   .703E-02   .000E+00   .000E+00   .000E+00     193  -.1571E-09
       4.70000   .100E-01  -.714E-02   .470E-01  -.141E-01   .000E+00   .000E+00   .959E-02   .000E+00   .715E-02   .000E+00   .000E+00   .000E+00     197  -.1625E-09
       4.80000   .100E-01  -.726E-02   .480E-01  -.148E-01   .000E+00   .000E+00   .961E-02   .000E+00   .727E-02   .000E+00   .000E+00   .000E+00     201  -.1689E-09
       4.90000   .100E-01  -.737E-02   .490E-01  -.155E-01   .000E+00   .000E+00   .963E-02   .000E+00   .738E-02   .000E+00   .000E+00   .000E+00     205  -.1745E-09
       5.00000   .100E-01  -.748E-02   .500E-01  -.163E-01   .000E+00   .000E+00   .964E-02   .000E+00   .749E-02   .000E+00   .000E+00   .000E+00     209  -.1794E-09
       5.10000   .100E-01  -.759E-02   .510E-01  -.170E-01   .000E+00   .000E+00   .966E-02   .000E+00   .760E-02   .000E+00   .000E+00   .000E+00     213  -.1848E-09
       5.20000   .100E-01  -.769E-02   .520E-01  -.178E-01   .000E+00   .000E+00   .968E-02   .000E+00   .770E-02   .000E+00   .000E+00   .000E+00     217  -.1910E-09
       5.30000   .100E-01  -.779E-02   .530E-01  -.186E-01   .000E+00   .000E+00   .969E-02   .000E+00   .780E-02   .000E+00   .000E+00   .000E+00     221  -.1969E-09
       5.40000   .100E-01  -.788E-02   .540E-01  -.193E-01   .000E+00   .000E+00   .970E-02   .000E+00   .789E-02   .000E+00   .000E+00   .000E+00     225  -.2021E-09
       5.50000   .100E-01  -.797E-02   .550E-01  -.201E-01   .000E+00   .000E+00   .972E-02   .000E+00   .798E-02   .000E+00   .000E+00   .000E+00     229  -.2077E-09
       5.60000   .100E-01  -.805E-02   .560E-01  -.209E-01   .000E+00   .000E+00   .973E-02   .000E+00   .806E-02   .000E+00   .000E+00   .000E+00     233  -.2140E-09
       5.70000   .100E-01  -.814E-02   .570E-01  -.218E-01   .000E+00   .000E+00   .974E-02   .000E+00   .814E-02   .000E+00   .000E+00   .000E+00     237  -.2217E-09
       5.80000   .100E-01  -.822E-02   .580E-01  -.226E-01   .000E+00   .000E+00   .975E-02   .000E+00   .822E-02   .000E+00   .000E+00   .000E+00     241  -.2289E-09
       5.90000   .100E-01  -.829E-02   .590E-01  -.234E-01   .000E+00   .000E+00   .976E-02   .000E+00   .830E-02   .000E+00   .000E+00   .000E+00     245  -.2358E-09
       6.00000   .100E-01  -.836E-02   .600E-01  -.242E-01   .000E+00   .000E+00   .977E-02   .000E+00   .837E-02   .000E+00   .000E+00   .000E+00     249  -.2397E-09
       6.10000   .100E-01  -.843E-02   .610E-01  -.251E-01   .000E+00   .000E+00   .978E-02   .000E+00   .844E-02   .000E+00   .000E+00   .000E+00     253  -.2420E-09
       6.20000   .100E-01  -.850E-02   .620E-01  -.259E-01   .000E+00   .000E+00   .979E-02   .000E+00   .851E-02   .000E+00   .000E+00   .000E+00     257  -.2433E-09
       6.30000   .100E-01  -.856E-02   .630E-01  -.268E-01   .000E+00   .000E+00   .980E-02   .000E+00   .857E-02   .000E+00   .000E+00   .000E+00     261  -.2440E-09
       6.40000   .100E-01  -.862E-02   .640E-01  -.276E-01   .000E+00   .000E+00   .981E-02   .000E+00   .863E-02   .000E+00   .000E+00   .000E+00     265  -.2444E-09
       6.50000   .100E-01  -.868E-02   .650E-01  -.285E-01   .000E+00   .000E+00   .982E-02   .000E+00   .869E-02   .000E+00   .000E+00   .000E+00     269  -.2446E-09
       6.60000   .100E-01  -.874E-02   .660E-01  -.294E-01   .000E+00   .000E+00   .983E-02   .000E+00   .875E-02   .000E+00   .000E+00   .000E+00     273  -.2447E-09
