 ******* Program HYDRUS
 ******* Physical equilibrium transport of chloride (verification problem 1)    
  
 Date:  30.10.    Time:   9:22:59
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    2      1.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    3      2.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    4      3.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    5      4.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    6      5.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    7      6.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    8      7.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
    9      8.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   10      9.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   11     10.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   12     11.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   13     12.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   14     13.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   15     14.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   16     15.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   17     16.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   18     17.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   19     18.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   20     19.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
   21     20.00      .078      .500        .0    .100E+01     1.000      .000     1.000     1.000     1.000
end
