        soln	      dist_x	        time	          pH	          pe	          Cl	
           1	           0	           0	           7	      11.425	 0.0000e+000	
           2	          -1	           0	           7	      11.425	 0.0000e+000	
           3	          -2	           0	           7	      11.425	 0.0000e+000	
           4	          -3	           0	           7	      11.425	 0.0000e+000	
           5	          -4	           0	           7	      11.425	 0.0000e+000	
           6	          -5	           0	           7	      11.425	 0.0000e+000	
           7	          -6	           0	           7	      11.425	 0.0000e+000	
           8	          -7	           0	           7	      11.425	 0.0000e+000	
           9	          -8	           0	           7	      11.425	 0.0000e+000	
          10	          -9	           0	           7	      11.425	 0.0000e+000	
          11	         -10	           0	           7	      11.425	 0.0000e+000	
          12	         -11	           0	           7	      11.425	 0.0000e+000	
          13	         -12	           0	           7	      11.425	 0.0000e+000	
          14	         -13	           0	           7	      11.425	 0.0000e+000	
          15	         -14	           0	           7	      11.425	 0.0000e+000	
          16	         -15	           0	           7	      11.425	 0.0000e+000	
          17	         -16	           0	           7	      11.425	 0.0000e+000	
          18	         -17	           0	           7	      11.425	 0.0000e+000	
          19	         -18	           0	           7	      11.425	 0.0000e+000	
          20	         -19	           0	           7	      11.425	 0.0000e+000	
          21	         -20	           0	           7	      11.425	 0.0000e+000	


           1	           0	           5	     3.12945	      17.461	 7.6483e-004	
           2	          -1	           5	     3.14662	     17.4394	 7.3479e-004	
           3	          -2	           5	     3.16514	     17.4162	 7.0369e-004	
           4	          -3	           5	     3.18507	     17.3912	 6.7172e-004	
           5	          -4	           5	     3.20642	     17.3645	 6.3909e-004	
           6	          -5	           5	      3.2292	     17.3359	 6.0602e-004	
           7	          -6	           5	     3.25341	     17.3056	 5.7276e-004	
           8	          -7	           5	     3.27902	     17.2735	 5.3957e-004	
           9	          -8	           5	     3.30597	     17.2397	 5.0673e-004	
          10	          -9	           5	     3.33416	     17.2044	 4.7453e-004	
          11	         -10	           5	     3.36342	     17.1677	 4.4327e-004	
          12	         -11	           5	     3.39352	       17.13	 4.1328e-004	
          13	         -12	           5	      3.4241	     17.0917	 3.8490e-004	
          14	         -13	           5	     3.45467	     17.0534	 3.5847e-004	
          15	         -14	           5	     3.48458	      17.016	 3.3439e-004	
          16	         -15	           5	     3.51294	     16.9805	 3.1306e-004	
          17	         -16	           5	     3.53861	     16.9483	 2.9492e-004	
          18	         -17	           5	     3.56025	     16.9212	 2.8046e-004	
          19	         -18	           5	     3.57627	     16.9011	 2.7022e-004	
          20	         -19	           5	     3.58505	     16.8902	 2.6476e-004	
          21	         -20	           5	     3.58505	     16.8902	 2.6476e-004	


           1	           0	          10	     3.06391	     17.5431	 8.9137e-004	
           2	          -1	          10	     3.07066	     17.5347	 8.7743e-004	
           3	          -2	          10	     3.07783	     17.5257	 8.6285e-004	
           4	          -3	          10	     3.08542	     17.5162	 8.4768e-004	
           5	          -4	          10	     3.09341	     17.5061	 8.3199e-004	
           6	          -5	          10	     3.10179	     17.4956	 8.1588e-004	
           7	          -6	          10	      3.1105	     17.4847	 7.9944e-004	
           8	          -7	          10	     3.11952	     17.4734	 7.8279e-004	
           9	          -8	          10	     3.12877	     17.4618	 7.6605e-004	
