        soln	      dist_x	        time	          pH	          pe	          Cl	
          21	         -20	           0	           7	      11.425	 0.0000e+000	
          21	         -20	        0.25	     6.99999	     11.5187	 2.3846e-012	
          21	         -20	         0.5	     6.99154	     12.2757	 3.8984e-009	
          21	         -20	        0.75	      6.7845	     12.8387	 1.0346e-007	
          21	         -20	           1	     6.13842	     13.6945	 7.1413e-007	
          21	         -20	        1.25	     5.57579	     14.3998	 2.6573e-006	
          21	         -20	         1.5	     5.17744	      14.898	 6.6645e-006	
          21	         -20	        1.75	     4.87875	     15.2715	 1.3276e-005	
          21	         -20	           2	     4.64625	     15.5623	 2.2706e-005	
          21	         -20	        2.25	     4.46022	      15.795	 3.4893e-005	
          21	         -20	         2.5	     4.30806	     15.9853	 4.9596e-005	
          21	         -20	        2.75	     4.18131	     16.1439	 6.6487e-005	
          21	         -20	           3	     4.07411	      16.278	 8.5205e-005	
          21	         -20	        3.25	     3.98225	     16.3929	 1.0540e-004	
          21	         -20	         3.5	     3.90267	     16.4925	 1.2673e-004	
          21	         -20	        3.75	     3.83307	     16.5797	 1.4891e-004	
          21	         -20	           4	     3.77169	     16.6565	 1.7169e-004	
          21	         -20	        4.25	     3.71717	     16.7247	 1.9483e-004	
          21	         -20	         4.5	     3.66843	     16.7858	 2.1816e-004	
          21	         -20	        4.75	     3.62462	     16.8406	 2.4151e-004	
          21	         -20	           5	     3.58505	     16.8902	 2.6476e-004	
          21	         -20	        5.25	     3.54913	     16.9351	 2.8780e-004	
          21	         -20	         5.5	     3.51641	     16.9761	 3.1054e-004	
          21	         -20	        5.75	     3.48648	     17.0136	 3.3292e-004	
          21	         -20	           6	     3.45902	      17.048	 3.5487e-004	
          21	         -20	        6.25	     3.43375	     17.0796	 3.7635e-004	
          21	         -20	         6.5	     3.41043	     17.1089	 3.9734e-004	
          21	         -20	        6.75	     3.38885	     17.1359	 4.1780e-004	
          21	         -20	           7	     3.36883	      17.161	 4.3772e-004	
          21	         -20	        7.25	     3.35023	     17.1843	 4.5710e-004	
          21	         -20	         7.5	     3.33291	      17.206	 4.7591e-004	
          21	         -20	        7.75	     3.31675	     17.2262	 4.9417e-004	
          21	         -20	           8	     3.30164	     17.2452	 5.1187e-004	
          21	         -20	        8.25	     3.28749	     17.2629	 5.2902e-004	
          21	         -20	         8.5	     3.27423	     17.2795	 5.4563e-004	
