 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
        .25000   .205E-06  -.200E-06   .513E-07  -.500E-07   .000E+00   .000E+00   .201E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      17   .2096E-11
        .50000   .205E-06  -.200E-06   .103E-06  -.100E-06   .000E+00   .000E+00   .202E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      20   .4593E-11
        .75000   .205E-06  -.200E-06   .154E-06  -.150E-06   .000E+00   .000E+00   .202E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      22   .6663E-11
       1.00000   .205E-06  -.200E-06   .205E-06  -.200E-06   .000E+00   .000E+00   .202E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      24   .7980E-11
       1.25000   .205E-06  -.200E-06   .256E-06  -.250E-06   .000E+00   .000E+00   .203E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      25   .9559E-11
       1.50000   .205E-06  -.200E-06   .308E-06  -.300E-06   .000E+00   .000E+00   .203E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      26   .1031E-10
       1.75000   .205E-06  -.200E-06   .359E-06  -.350E-06   .000E+00   .000E+00   .203E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      27   .1146E-10
       2.00000   .205E-06  -.200E-06   .410E-06  -.400E-06   .000E+00   .000E+00   .203E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      28   .1310E-10
       2.25000   .205E-06  -.200E-06   .462E-06  -.450E-06   .000E+00   .000E+00   .203E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      29   .1389E-10
       2.50000   .205E-06  -.200E-06   .513E-06  -.501E-06   .000E+00   .000E+00   .203E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      30   .1500E-10
       2.75000   .205E-06  -.200E-06   .564E-06  -.551E-06   .000E+00   .000E+00   .203E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      31   .1567E-10
       3.00000   .205E-06  -.201E-06   .616E-06  -.601E-06   .000E+00   .000E+00   .203E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      32   .1672E-10
       3.25000   .205E-06  -.201E-06   .667E-06  -.651E-06   .000E+00   .000E+00   .204E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      33   .1748E-10
       3.50000   .205E-06  -.201E-06   .718E-06  -.701E-06   .000E+00   .000E+00   .204E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      34   .1851E-10
       3.75000   .205E-06  -.201E-06   .769E-06  -.751E-06   .000E+00   .000E+00   .204E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      35   .1969E-10
       4.00000   .205E-06  -.201E-06   .821E-06  -.802E-06   .000E+00   .000E+00   .204E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      36   .2015E-10
       4.25000   .205E-06  -.201E-06   .872E-06  -.852E-06   .000E+00   .000E+00   .204E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      37   .2214E-10
       4.50000   .205E-06  -.201E-06   .923E-06  -.902E-06   .000E+00   .000E+00   .204E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      38   .2354E-10
       4.75000   .205E-06  -.201E-06   .975E-06  -.953E-06   .000E+00   .000E+00   .204E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00      39   .2814E-10
       5.00000   .205E-06  -.201E-06   .103E-05  -.100E-05   .000E+00   .000E+00   .204E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00      40   .3158E-10
       5.25000   .205E-06  -.202E-06   .108E-05  -.105E-05   .000E+00   .000E+00   .204E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00      41   .3426E-10
