 ******* Program HYDRUS
 ******* Heavy metal transport in a medium with a pH-dependent cation exchange c
 o
 Date:  30.10.    Time:   9:25:13
 Units: L = m    , T = years, M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
    2       .01      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
    3       .02      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
    4       .03      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
    5       .04      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
    6       .05      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
    7       .06      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
    8       .07      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
    9       .08      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
   10       .09      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
   11       .10      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
   12       .11      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
   13       .12      .065      .476        .0    .339E+03     1.000      .000     1.000     1.000     1.000
   14       .13      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   15       .14      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   16       .15      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   17       .16      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   18       .17      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   19       .18      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   20       .19      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   21       .20      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   22       .21      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   23       .22      .035      .416        .0    .113E+04     3.333      .000     1.000     1.000     1.000
   24       .23      .042      .472        .0    .142E+03      .419      .000     1.000     1.000     1.000
   25       .24      .042      .472        .0    .142E+03      .419      .000     1.000     1.000     1.000
   26       .25      .042      .472        .0    .142E+03      .419      .000     1.000     1.000     1.000
   27       .26      .042      .472        .0    .142E+03      .419      .000     1.000     1.000     1.000
   28       .27      .042      .472        .0    .142E+03      .419      .000     1.000     1.000     1.000
   29       .28      .044      .455        .0    .314E+04     9.247      .000     1.000     1.000     1.000
   30       .29      .044      .455        .0    .314E+04     9.247      .000     1.000     1.000     1.000
   31       .30      .044      .455        .0    .314E+04     9.247      .000     1.000     1.000     1.000
   32       .31      .044      .455        .0    .314E+04     9.247      .000     1.000     1.000     1.000
   33       .32      .044      .455        .0    .314E+04     9.247      .000     1.000     1.000     1.000
   34       .33      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   35       .34      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   36       .35      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   37       .36      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   38       .37      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   39       .38      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   40       .39      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   41       .40      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   42       .41      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   43       .42      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   44       .43      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   45       .44      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   46       .45      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   47       .46      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   48       .47      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   49       .48      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   50       .49      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
   51       .50      .039      .464        .0    .437E+04    12.882      .000     1.000     1.000     1.000
end
