        soln	      dist_x	        time	          pH	          pe	Cd@µmol_kg_water_-1	1_-_Hsite_div_total_CEC	Cd-site_div_total_CEC	2timesCD-site	
           1	           0	           0	         8.5	           4	 8.0000e-001	 2.4386e+001	 2.1460e-003	 4.2921e-003	
           2	       -0.01	           0	         8.5	           4	 8.0000e-001	 2.4237e+001	 2.1460e-003	 4.2921e-003	
           3	       -0.02	           0	         8.5	           4	 8.0000e-001	 2.4237e+001	 2.1460e-003	 4.2921e-003	
           4	       -0.03	           0	         8.5	           4	 8.0000e-001	 2.4237e+001	 2.1460e-003	 4.2921e-003	
           5	       -0.04	           0	         8.5	           4	 8.0000e-001	 2.4237e+001	 2.1460e-003	 4.2921e-003	
           6	       -0.05	           0	         8.5	           4	 8.0000e-001	 2.4237e+001	 2.1460e-003	 4.2921e-003	
           7	       -0.06	           0	         8.5	           4	 8.0000e-001	 2.4090e+001	 2.1460e-003	 4.2921e-003	
           8	       -0.07	           0	         8.5	           4	 8.0000e-001	 2.4090e+001	 2.1460e-003	 4.2921e-003	
           9	       -0.08	           0	         8.5	           4	 8.0000e-001	 2.4090e+001	 2.1460e-003	 4.2921e-003	
          10	       -0.09	           0	         8.5	           4	 8.0000e-001	 2.3944e+001	 2.1460e-003	 4.2921e-003	
          11	        -0.1	           0	         8.5	           4	 8.0000e-001	 2.3944e+001	 2.1460e-003	 4.2921e-003	
          12	       -0.11	           0	         8.5	           4	 8.0000e-001	 2.3944e+001	 2.1460e-003	 4.2921e-003	
          13	       -0.12	           0	         8.5	           4	 8.0000e-001	 2.3800e+001	 2.1460e-003	 4.2921e-003	
          14	       -0.13	           0	         8.5	           4	 8.0000e-001	 2.7124e+001	 2.1460e-003	 4.2921e-003	
          15	       -0.14	           0	         8.5	           4	 8.0000e-001	 2.7542e+001	 2.1460e-003	 4.2921e-003	
          16	       -0.15	           0	         8.5	           4	 8.0000e-001	 2.7966e+001	 2.1460e-003	 4.2921e-003	
          17	       -0.16	           0	         8.5	           4	 8.0000e-001	 2.7966e+001	 2.1460e-003	 4.2921e-003	
          18	       -0.17	           0	         8.5	           4	 8.0000e-001	 2.8395e+001	 2.1460e-003	 4.2921e-003	
          19	       -0.18	           0	         8.5	           4	 8.0000e-001	 2.8830e+001	 2.1460e-003	 4.2921e-003	
          20	       -0.19	           0	         8.5	           4	 8.0000e-001	 2.9270e+001	 2.1460e-003	 4.2921e-003	
          21	        -0.2	           0	         8.5	           4	 8.0000e-001	 2.9714e+001	 2.1460e-003	 4.2921e-003	
          22	       -0.21	           0	         8.5	           4	 8.0000e-001	 2.9714e+001	 2.1460e-003	 4.2921e-003	
          23	       -0.22	           0	         8.5	           4	 8.0000e-001	 3.0163e+001	 2.1460e-003	 4.2921e-003	
          24	       -0.23	           0	         8.5	           4	 8.0000e-001	 6.8596e+000	 2.1460e-003	 4.2921e-003	
          25	       -0.24	           0	         8.5	           4	 8.0000e-001	 6.7792e+000	 2.1460e-003	 4.2921e-003	
          26	       -0.25	           0	         8.5	           4	 8.0000e-001	 6.7009e+000	 2.1460e-003	 4.2921e-003	
          27	       -0.26	           0	         8.5	           4	 8.0000e-001	 6.5995e+000	 2.1460e-003	 4.2921e-003	
          28	       -0.27	           0	         8.5	           4	 8.0000e-001	 6.5015e+000	 2.1460e-003	 4.2921e-003	
          29	       -0.28	           0	         8.5	           4	 0.0000e+000	 4.3769e+000	 3.0190e-098	 6.0380e-098	
          30	       -0.29	           0	         8.5	           4	 0.0000e+000	 4.3769e+000	 3.0190e-098	 6.0380e-098	
          31	        -0.3	           0	         8.5	           4	 0.0000e+000	 4.3769e+000	 3.0190e-098	 6.0380e-098	
          32	       -0.31	           0	         8.5	           4	 0.0000e+000	 4.3370e+000	 2.9951e-098	 5.9902e-098	
          33	       -0.32	           0	         8.5	           4	 0.0000e+000	 4.3370e+000	 2.9951e-098	 5.9902e-098	
          34	       -0.33	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          35	       -0.34	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          36	       -0.35	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          37	       -0.36	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          38	       -0.37	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          39	       -0.38	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          40	       -0.39	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          41	        -0.4	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          42	       -0.41	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          43	       -0.42	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          44	       -0.43	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          45	       -0.44	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          46	       -0.45	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          47	       -0.46	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          48	       -0.47	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          49	       -0.48	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          50	       -0.49	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          51	        -0.5	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	


           1	           0	         0.3	     3.50618	     15.2523	 9.2776e-003	 1.7991e+001	 1.4508e-006	 2.9015e-006	
           2	       -0.01	         0.3	     3.50754	     15.3042	 1.1317e-002	 1.7972e+001	 1.7745e-006	 3.5490e-006	
           3	       -0.02	         0.3	     3.50915	     15.3071	 1.3772e-002	 1.7953e+001	 2.1666e-006	 4.3332e-006	
           4	       -0.03	         0.3	     3.51106	       15.32	 1.6728e-002	 1.7932e+001	 2.6418e-006	 5.2837e-006	
           5	       -0.04	         0.3	     3.51333	     15.3873	 2.0287e-002	 1.7910e+001	 3.2186e-006	 6.4372e-006	
           6	       -0.05	         0.3	     3.51602	     15.3451	 2.4572e-002	 1.7888e+001	 3.9197e-006	 7.8393e-006	
           7	       -0.06	         0.3	     3.51921	      15.314	 2.9734e-002	 1.7864e+001	 4.7734e-006	 9.5468e-006	
           8	       -0.07	         0.3	     3.52303	     15.2847	 3.5953e-002	 1.7839e+001	 5.8153e-006	 1.1631e-005	
           9	       -0.08	         0.3	     3.52759	     15.2621	 4.3447e-002	 1.7814e+001	 7.0903e-006	 1.4181e-005	
          10	       -0.09	         0.3	     3.53305	     15.2347	 5.2482e-002	 1.7788e+001	 8.6554e-006	 1.7311e-005	
          11	        -0.1	         0.3	     3.53963	     15.2184	 6.3376e-002	 1.7765e+001	 1.0583e-005	 2.1167e-005	
          12	       -0.11	         0.3	     3.54759	      15.199	 7.6518e-002	 1.7745e+001	 1.2969e-005	 2.5938e-005	
          13	       -0.12	         0.3	     3.55727	     15.1961	 9.2378e-002	 1.7728e+001	 1.5935e-005	 3.1870e-005	
          14	       -0.13	         0.3	     3.56911	     15.1889	 1.1153e-001	 2.0258e+001	 1.9645e-005	 3.9291e-005	
          15	       -0.14	         0.3	     3.58385	     15.1785	 1.3479e-001	 2.0528e+001	 2.4349e-005	 4.8697e-005	
          16	       -0.15	         0.3	     3.60235	     15.1933	 1.6302e-001	 2.0833e+001	 3.0350e-005	 6.0700e-005	
          17	       -0.16	         0.3	     3.62581	      15.186	 1.9726e-001	 2.1156e+001	 3.8080e-005	 7.6160e-005	
          18	       -0.17	         0.3	       3.656	     15.1775	 2.3880e-001	 2.1498e+001	 4.8145e-005	 9.6290e-005	
          19	       -0.18	         0.3	     3.69562	     15.1468	 2.8922e-001	 2.1867e+001	 6.1413e-005	 1.2283e-004	
          20	       -0.19	         0.3	     3.74905	     15.1215	 3.5039e-001	 2.2268e+001	 7.9144e-005	 1.5829e-004	
          21	        -0.2	         0.3	     3.82416	     15.0604	 4.2461e-001	 2.2714e+001	 1.0321e-004	 2.0641e-004	
          22	       -0.21	         0.3	     3.93726	     14.9899	 5.1468e-001	 2.3221e+001	 1.3644e-004	 2.7288e-004	
          23	       -0.22	         0.3	     4.13237	     14.7151	 6.2408e-001	 2.3821e+001	 1.8360e-004	 3.6719e-004	
          24	       -0.23	         0.3	     5.32827	     13.5012	 7.8783e-001	 5.5205e+000	 4.1250e-004	 8.2500e-004	
          25	       -0.24	         0.3	     7.06745	     11.7588	 8.5570e-001	 6.2918e+000	 8.5933e-004	 1.7187e-003	
          26	       -0.25	         0.3	     7.59565	     11.2394	 9.1194e-001	 6.4799e+000	 1.0606e-003	 2.1212e-003	
          27	       -0.26	         0.3	     7.85181	     11.0737	 9.6397e-001	 6.4631e+000	 1.1632e-003	 2.3265e-003	
          28	       -0.27	         0.3	     7.97096	     10.8884	 1.0092e+000	 6.3915e+000	 1.2350e-003	 2.4699e-003	
          29	       -0.28	         0.3	      8.0398	     10.7656	 1.0493e+000	 4.3757e+000	 1.2944e-003	 2.5887e-003	
          30	       -0.29	         0.3	     8.08056	      10.695	 1.0804e+000	 4.3724e+000	 1.3394e-003	 2.6789e-003	
          31	        -0.3	         0.3	     8.10959	     10.6426	 1.1056e+000	 4.3663e+000	 1.3757e-003	 2.7514e-003	
          32	       -0.31	         0.3	     8.13064	     10.6061	 1.1246e+000	 4.3579e+000	 1.4033e-003	 2.8066e-003	
          33	       -0.32	         0.3	     8.14535	     10.5834	 1.1372e+000	 4.3474e+000	 1.4219e-003	 2.8438e-003	
          34	       -0.33	         0.3	     8.14969	      10.522	 1.1380e+000	 1.6230e+001	 1.4237e-003	 2.8474e-003	
          35	       -0.34	         0.3	     8.15846	     10.5492	 1.1435e+000	 1.6235e+001	 1.4323e-003	 2.8646e-003	
          36	       -0.35	         0.3	     8.16706	     10.5301	 1.1483e+000	 1.6241e+001	 1.4400e-003	 2.8800e-003	
          37	       -0.36	         0.3	      8.1755	     10.5171	 1.1524e+000	 1.6247e+001	 1.4469e-003	 2.8939e-003	
          38	       -0.37	         0.3	     8.18381	     10.5022	 1.1559e+000	 1.6253e+001	 1.4530e-003	 2.9061e-003	
          39	       -0.38	         0.3	     8.19197	     10.4886	 1.1587e+000	 1.6259e+001	 1.4583e-003	 2.9166e-003	
          40	       -0.39	         0.3	     8.19997	     10.4749	 1.1609e+000	 1.6264e+001	 1.4628e-003	 2.9257e-003	
          41	        -0.4	         0.3	     8.20779	     10.4615	 1.1626e+000	 1.6270e+001	 1.4666e-003	 2.9332e-003	
          42	       -0.41	         0.3	     8.21537	     10.4459	 1.1637e+000	 1.6276e+001	 1.4697e-003	 2.9394e-003	
          43	       -0.42	         0.3	     8.22266	     10.4303	 1.1644e+000	 1.6281e+001	 1.4721e-003	 2.9442e-003	
          44	       -0.43	         0.3	     8.22957	     10.4104	 1.1646e+000	 1.6287e+001	 1.4740e-003	 2.9480e-003	
          45	       -0.44	         0.3	     8.23601	     10.3891	 1.1646e+000	 1.6292e+001	 1.4754e-003	 2.9507e-003	
          46	       -0.45	         0.3	     8.24186	     10.3682	 1.1643e+000	 1.6296e+001	 1.4763e-003	 2.9526e-003	
          47	       -0.46	         0.3	     8.24697	     10.3496	 1.1638e+000	 1.6300e+001	 1.4769e-003	 2.9538e-003	
          48	       -0.47	         0.3	     8.25115	     10.3351	 1.1634e+000	 1.6304e+001	 1.4773e-003	 2.9546e-003	
          49	       -0.48	         0.3	     8.25422	     10.3236	 1.1630e+000	 1.6306e+001	 1.4775e-003	 2.9550e-003	
          50	       -0.49	         0.3	      8.2559	     10.3175	 1.1627e+000	 1.6307e+001	 1.4776e-003	 2.9551e-003	
          51	        -0.5	         0.3	      8.2559	     10.3172	 1.1627e+000	 1.6307e+001	 1.4776e-003	 2.9551e-003	


           1	           0	         0.5	     3.50224	     15.2571	 3.2810e-003	 1.7984e+001	 5.0891e-007	 1.0178e-006	
           2	       -0.01	         0.5	     3.50274	     15.3097	 4.0040e-003	 1.7964e+001	 6.2168e-007	 1.2434e-006	
           3	       -0.02	         0.5	     3.50334	     15.3135	 4.8793e-003	 1.7942e+001	 7.5853e-007	 1.5171e-006	
           4	       -0.03	         0.5	     3.50406	     15.3276	 5.9390e-003	 1.7919e+001	 9.2464e-007	 1.8493e-006	
           5	       -0.04	         0.5	     3.50494	      15.396	 7.2217e-003	 1.7895e+001	 1.1264e-006	 2.2528e-006	
           6	       -0.05	         0.5	     3.50601	     15.3556	 8.7745e-003	 1.7870e+001	 1.3716e-006	 2.7432e-006	
           7	       -0.06	         0.5	     3.50731	     15.3266	 1.0654e-002	 1.7843e+001	 1.6698e-006	 3.3397e-006	
           8	       -0.07	         0.5	     3.50888	        15.3	 1.2929e-002	 1.7814e+001	 2.0329e-006	 4.0658e-006	
           9	       -0.08	         0.5	     3.51079	     15.2804	 1.5683e-002	 1.7784e+001	 2.4755e-006	 4.9509e-006	
          10	       -0.09	         0.5	     3.51311	     15.2564	 1.9015e-002	 1.7752e+001	 3.0157e-006	 6.0313e-006	
          11	        -0.1	         0.5	     3.51593	     15.2442	 2.3049e-002	 1.7722e+001	 3.6761e-006	 7.3522e-006	
          12	       -0.11	         0.5	     3.51937	     15.2293	 2.7930e-002	 1.7695e+001	 4.4853e-006	 8.9706e-006	
          13	       -0.12	         0.5	     3.52356	     15.2316	 3.3838e-002	 1.7668e+001	 5.4790e-006	 1.0958e-005	
          14	       -0.13	         0.5	     3.52869	     15.2332	 4.0989e-002	 2.0176e+001	 6.7037e-006	 1.3407e-005	
          15	       -0.14	         0.5	     3.53501	     15.2305	 4.9686e-002	 2.0427e+001	 8.2253e-006	 1.6451e-005	
          16	       -0.15	         0.5	     3.54281	     15.2559	 6.0246e-002	 2.0709e+001	 1.0121e-005	 2.0242e-005	
          17	       -0.16	         0.5	     3.55247	     15.2637	 7.3068e-002	 2.1000e+001	 1.2496e-005	 2.4991e-005	
          18	       -0.17	         0.5	     3.56449	     15.2739	 8.8633e-002	 2.1301e+001	 1.5487e-005	 3.0975e-005	
          19	       -0.18	         0.5	     3.57955	     15.2722	 1.0752e-001	 2.1615e+001	 1.9283e-005	 3.8567e-005	
          20	       -0.19	         0.5	     3.59854	     15.2912	 1.3045e-001	 2.1941e+001	 2.4140e-005	 4.8280e-005	
          21	        -0.2	         0.5	     3.62276	     15.2834	 1.5826e-001	 2.2285e+001	 3.0414e-005	 6.0827e-005	
          22	       -0.21	         0.5	     3.65408	     15.3077	 1.9199e-001	 2.2648e+001	 3.8605e-005	 7.7210e-005	
          23	       -0.22	         0.5	     3.69535	     15.2346	 2.3288e-001	 2.3038e+001	 4.9435e-005	 9.8871e-005	
          24	       -0.23	         0.5	     3.75223	     15.1142	 2.8326e-001	 4.8759e+000	 6.4201e-005	 1.2840e-004	
