        soln	      dist_x	        time	          pH	          pe	Cd@µmol_kg_water_-1	1_-_Hsite_div_total_CEC	Cd-site_div_total_CEC	2timesCD-site	
          51	        -0.5	           0	         8.5	           4	 0.0000e+000	 1.5968e+001	 9.9735e-098	 1.9947e-097	
          51	        -0.5	       0.001	     8.49933	     10.7956	 6.4096e-009	 1.6297e+001	 2.0654e-011	 4.1309e-011	
          51	        -0.5	       0.002	     8.49377	     10.7931	 2.6443e-008	 1.6300e+001	 8.3053e-011	 1.6611e-010	
          51	        -0.5	       0.003	     8.48594	     10.7904	 7.2084e-008	 1.6303e+001	 2.1837e-010	 4.3674e-010	
          51	        -0.5	       0.004	     8.47824	     10.7798	 1.6284e-007	 1.6304e+001	 4.7602e-010	 9.5205e-010	
          51	        -0.5	       0.005	     8.46931	     10.7623	 3.3257e-007	 1.6306e+001	 9.3281e-010	 1.8656e-009	
          51	        -0.5	       0.006	     8.45727	     10.7419	 6.4640e-007	 1.6308e+001	 1.7147e-009	 3.4294e-009	
          51	        -0.5	       0.007	     8.44172	     10.7209	 1.2286e-006	 1.6311e+001	 3.0326e-009	 6.0651e-009	
          51	        -0.5	       0.008	     8.42395	     10.6993	 2.3018e-006	 1.6314e+001	 5.2317e-009	 1.0463e-008	
          51	        -0.5	       0.009	     8.40592	      10.676	 4.2351e-006	 1.6317e+001	 8.8521e-009	 1.7704e-008	
          51	        -0.5	        0.01	     8.38922	     10.6503	 7.5991e-006	 1.6320e+001	 1.4694e-008	 2.9389e-008	
          51	        -0.5	       0.011	     8.37467	     10.6217	 1.3221e-005	 1.6322e+001	 2.3885e-008	 4.7771e-008	
          51	        -0.5	       0.012	     8.36246	     10.5902	 2.2237e-005	 1.6325e+001	 3.7938e-008	 7.5875e-008	
          51	        -0.5	       0.013	     8.35243	     10.5564	 3.6134e-005	 1.6327e+001	 5.8799e-008	 1.1760e-007	
          51	        -0.5	       0.014	     8.34428	      10.521	 5.6780e-005	 1.6329e+001	 8.8888e-008	 1.7778e-007	
          51	        -0.5	       0.015	      8.3377	     10.4841	 8.6439e-005	 1.6331e+001	 1.3111e-007	 2.6222e-007	
          51	        -0.5	       0.016	     8.33239	     10.4462	 1.2778e-004	 1.6332e+001	 1.8887e-007	 3.7775e-007	
          51	        -0.5	       0.017	     8.32813	      10.408	 1.8386e-004	 1.6334e+001	 2.6606e-007	 5.3212e-007	
          51	        -0.5	       0.018	     8.32471	     10.3706	 2.5812e-004	 1.6336e+001	 3.6703e-007	 7.3405e-007	
          51	        -0.5	       0.019	       8.322	     10.3348	 3.5433e-004	 1.6337e+001	 4.9655e-007	 9.9310e-007	
          51	        -0.5	        0.02	     8.31987	     10.3021	 4.7660e-004	 1.6339e+001	 6.5981e-007	 1.3196e-006	
          51	        -0.5	       0.021	     8.31824	     10.2693	 6.2929e-004	 1.6340e+001	 8.6231e-007	 1.7246e-006	
          51	        -0.5	       0.022	     8.31703	     10.2384	 8.1700e-004	 1.6342e+001	 1.1099e-006	 2.2197e-006	
          51	        -0.5	       0.023	      8.3162	      10.217	 1.0445e-003	 1.6343e+001	 1.4085e-006	 2.8170e-006	
          51	        -0.5	       0.024	      8.3157	     10.2032	 1.3168e-003	 1.6345e+001	 1.7645e-006	 3.5289e-006	
          51	        -0.5	       0.025	     8.31551	     10.1849	 1.6387e-003	 1.6346e+001	 2.1840e-006	 4.3681e-006	
          51	        -0.5	       0.026	     8.31561	     10.1719	 2.0155e-003	 1.6348e+001	 2.6737e-006	 5.3474e-006	
          51	        -0.5	       0.027	     8.31597	     10.1582	 2.4521e-003	 1.6349e+001	 3.2398e-006	 6.4797e-006	
          51	        -0.5	       0.028	     8.31659	     10.1527	 2.9534e-003	 1.6351e+001	 3.8888e-006	 7.7777e-006	
          51	        -0.5	       0.029	     8.31745	     10.1416	 3.5245e-003	 1.6353e+001	 4.6270e-006	 9.2540e-006	
          51	        -0.5	        0.03	     8.31856	     10.1397	 4.1700e-003	 1.6355e+001	 5.4605e-006	 1.0921e-005	
          51	        -0.5	       0.031	      8.3199	     10.1229	 4.8945e-003	 1.6357e+001	 6.3954e-006	 1.2791e-005	
          51	        -0.5	       0.032	     8.32147	     10.1069	 5.7026e-003	 1.6359e+001	 7.4374e-006	 1.4875e-005	
