 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
        .00100   .233E-02  -.832E-02   .233E-05  -.834E-05   .000E+00   .000E+00   .222E-03   .000E+00   .456E-03   .000E+00   .000E+00   .000E+00      33   .2370E-05
        .00200   .233E-02  -.818E-02   .465E-05  -.166E-04   .000E+00   .000E+00   .183E-03   .000E+00   .449E-03   .000E+00   .000E+00   .000E+00      59   .4509E-05
        .00300   .233E-02  -.799E-02   .698E-05  -.247E-04   .000E+00   .000E+00   .163E-03   .000E+00   .438E-03   .000E+00   .000E+00   .000E+00      85   .6706E-05
        .00400   .233E-02  -.781E-02   .931E-05  -.326E-04   .000E+00   .000E+00   .151E-03   .000E+00   .428E-03   .000E+00   .000E+00   .000E+00     111   .9069E-05
        .00500   .233E-02  -.759E-02   .116E-04  -.403E-04   .000E+00   .000E+00   .143E-03   .000E+00   .416E-03   .000E+00   .000E+00   .000E+00     137   .1153E-04
        .00600   .233E-02  -.727E-02   .140E-04  -.477E-04   .000E+00   .000E+00   .138E-03   .000E+00   .398E-03   .000E+00   .000E+00   .000E+00     163   .1396E-04
        .00700   .233E-02  -.683E-02   .163E-04  -.548E-04   .000E+00   .000E+00   .135E-03   .000E+00   .374E-03   .000E+00   .000E+00   .000E+00     189   .1622E-04
        .00800   .233E-02  -.629E-02   .186E-04  -.613E-04   .000E+00   .000E+00   .133E-03   .000E+00   .344E-03   .000E+00   .000E+00   .000E+00     215   .1821E-04
        .00900   .233E-02  -.570E-02   .209E-04  -.673E-04   .000E+00   .000E+00   .132E-03   .000E+00   .312E-03   .000E+00   .000E+00   .000E+00     241   .1989E-04
        .01000   .233E-02  -.512E-02   .233E-04  -.727E-04   .000E+00   .000E+00   .131E-03   .000E+00   .280E-03   .000E+00   .000E+00   .000E+00     267   .2126E-04
        .01100   .233E-02  -.459E-02   .256E-04  -.775E-04   .000E+00   .000E+00   .130E-03   .000E+00   .251E-03   .000E+00   .000E+00   .000E+00     293   .2236E-04
        .01200   .233E-02  -.413E-02   .279E-04  -.819E-04   .000E+00   .000E+00   .129E-03   .000E+00   .226E-03   .000E+00   .000E+00   .000E+00     319   .2322E-04
        .01300   .233E-02  -.374E-02   .303E-04  -.858E-04   .000E+00   .000E+00   .129E-03   .000E+00   .205E-03   .000E+00   .000E+00   .000E+00     345   .2390E-04
        .01400   .233E-02  -.343E-02   .326E-04  -.894E-04   .000E+00   .000E+00   .129E-03   .000E+00   .188E-03   .000E+00   .000E+00   .000E+00     371   .2442E-04
        .01500   .233E-02  -.319E-02   .349E-04  -.927E-04   .000E+00   .000E+00   .128E-03   .000E+00   .175E-03   .000E+00   .000E+00   .000E+00     397   .2483E-04
        .01600   .233E-02  -.299E-02   .372E-04  -.958E-04   .000E+00   .000E+00   .128E-03   .000E+00   .164E-03   .000E+00   .000E+00   .000E+00     423   .2514E-04
        .01700   .233E-02  -.284E-02   .396E-04  -.987E-04   .000E+00   .000E+00   .128E-03   .000E+00   .156E-03   .000E+00   .000E+00   .000E+00     449   .2538E-04
        .01800   .233E-02  -.273E-02   .419E-04  -.101E-03   .000E+00   .000E+00   .128E-03   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00     475   .2557E-04
        .01900   .233E-02  -.264E-02   .442E-04  -.104E-03   .000E+00   .000E+00   .128E-03   .000E+00   .144E-03   .000E+00   .000E+00   .000E+00     501   .2572E-04
        .02000   .233E-02  -.257E-02   .465E-04  -.107E-03   .000E+00   .000E+00   .128E-03   .000E+00   .141E-03   .000E+00   .000E+00   .000E+00     527   .2583E-04
        .02100   .233E-02  -.251E-02   .489E-04  -.109E-03   .000E+00   .000E+00   .128E-03   .000E+00   .138E-03   .000E+00   .000E+00   .000E+00     553   .2592E-04
        .02200   .233E-02  -.247E-02   .512E-04  -.112E-03   .000E+00   .000E+00   .128E-03   .000E+00   .135E-03   .000E+00   .000E+00   .000E+00     579   .2600E-04
        .02300   .233E-02  -.244E-02   .535E-04  -.114E-03   .000E+00   .000E+00   .128E-03   .000E+00   .134E-03   .000E+00   .000E+00   .000E+00     605   .2605E-04
        .02400   .233E-02  -.242E-02   .558E-04  -.117E-03   .000E+00   .000E+00   .128E-03   .000E+00   .132E-03   .000E+00   .000E+00   .000E+00     631   .2610E-04
        .02500   .233E-02  -.240E-02   .582E-04  -.119E-03   .000E+00   .000E+00   .128E-03   .000E+00   .131E-03   .000E+00   .000E+00   .000E+00     657   .2614E-04
        .02600   .233E-02  -.238E-02   .605E-04  -.121E-03   .000E+00   .000E+00   .128E-03   .000E+00   .131E-03   .000E+00   .000E+00   .000E+00     683   .2617E-04
        .02700   .233E-02  -.237E-02   .628E-04  -.124E-03   .000E+00   .000E+00   .128E-03   .000E+00   .130E-03   .000E+00   .000E+00   .000E+00     709   .2620E-04
        .02800   .233E-02  -.236E-02   .652E-04  -.126E-03   .000E+00   .000E+00   .128E-03   .000E+00   .130E-03   .000E+00   .000E+00   .000E+00     735   .2622E-04
        .02900   .233E-02  -.236E-02   .675E-04  -.129E-03   .000E+00   .000E+00   .128E-03   .000E+00   .129E-03   .000E+00   .000E+00   .000E+00     761   .2624E-04
