        soln	      dist_x	        time	          pH	          pe	          Si	          Na	          Al	    gibbsite	  d_gibbsite	     SiO2(a)	   d_SiO2(a)	
         101	        -100	           0	     6.26458	     11.7825	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	           1	     6.26458	     11.6479	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	           2	     6.26458	     11.6479	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	           3	     6.26458	     12.9918	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 1.0003e-014	
         101	        -100	           4	     6.26458	      13.001	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-017	
         101	        -100	           5	     6.26458	     12.9917	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	           6	     6.26458	     12.9917	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	-2.7110e-017	
         101	        -100	           7	     6.26458	     12.9965	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 2.7110e-017	
         101	        -100	           8	     6.26458	     13.0024	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	           9	     6.26458	     13.0061	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          10	     6.26458	      13.007	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	-2.7110e-017	
         101	        -100	          11	     6.26458	     13.0058	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          12	     6.26458	     13.0038	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          13	     6.26458	      13.002	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          14	     6.26458	     13.0006	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	-2.7110e-017	
         101	        -100	          15	     6.26458	     12.9999	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          16	     6.26458	     12.9994	 1.9422e-003	 1.0000e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          17	     6.26458	     12.9992	 1.9422e-003	 1.0002e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          18	     6.26458	     12.9988	 1.9422e-003	 1.0029e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          19	     6.26458	     12.9985	 1.9422e-003	 1.0326e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
         101	        -100	          20	     6.26458	     12.9981	 1.9422e-003	 1.2942e-012	 1.2463e-008	 9.4350e-003	 0.0000e+000	 1.4909e-002	 0.0000e+000	
