 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
       1.00000   .100E-02  -.100E-11   .100E-02  -.100E-11   .000E+00   .000E+00   .860E-03   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00      25   .6145E-11
       2.00000   .100E-02  -.100E-11   .200E-02  -.200E-11   .000E+00   .000E+00   .950E-03   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00      36   .1735E-10
       3.00000   .100E-02  -.100E-11   .300E-02  -.300E-11   .000E+00   .000E+00   .979E-03   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00      47   .3406E-10
       4.00000   .100E-02  -.100E-11   .400E-02  -.400E-11   .000E+00   .000E+00   .991E-03   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00      58   .5783E-10
       5.00000   .100E-02  -.100E-11   .500E-02  -.500E-11   .000E+00   .000E+00   .996E-03   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00      69   .9362E-10
       6.00000   .100E-02  -.100E-11   .600E-02  -.600E-11   .000E+00   .000E+00   .998E-03   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00      80   .1320E-09
       7.00000   .100E-02  -.100E-11   .700E-02  -.700E-11   .000E+00   .000E+00   .999E-03   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00      91   .1712E-09
       8.00000   .100E-02  -.100E-11   .800E-02  -.800E-11   .000E+00   .000E+00   .999E-03   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     102   .2151E-09
       9.00000   .100E-02  -.100E-11   .900E-02  -.900E-11   .000E+00   .000E+00   .100E-02   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     113   .2604E-09
      10.00000   .100E-02  -.100E-11   .100E-01  -.100E-10   .000E+00   .000E+00   .100E-02   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     124   .3100E-09
      11.00000   .100E-02  -.100E-11   .110E-01  -.110E-10   .000E+00   .000E+00   .100E-02   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     135   .3642E-09
      12.00000   .100E-02  -.100E-11   .120E-01  -.120E-10   .000E+00   .000E+00   .100E-02   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     146   .4177E-09
      13.00000   .100E-02  -.100E-11   .130E-01  -.130E-10   .000E+00   .000E+00   .100E-02   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     157   .4755E-09
      14.00000   .100E-02  -.100E-11   .140E-01  -.140E-10   .000E+00   .000E+00   .100E-02   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     168   .5339E-09
      15.00000   .100E-02  -.100E-11   .150E-01  -.150E-10   .000E+00   .000E+00   .100E-02   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     179   .5936E-09
      16.00000   .100E-02  -.100E-11   .160E-01  -.160E-10   .000E+00   .000E+00   .100E-02   .000E+00   .100E-11   .000E+00   .000E+00   .000E+00     190   .6581E-09
