        soln	      dist_x	        time	          pH	          pe	          Cl	
          22	           0	           0	           7	      11.425	 0.0000e+000	
          23	          -1	           0	           7	      11.425	 0.0000e+000	
          24	          -2	           0	           7	      11.425	 0.0000e+000	
          25	          -3	           0	           7	      11.425	 0.0000e+000	
          26	          -4	           0	           7	      11.425	 0.0000e+000	
          27	          -5	           0	           7	      11.425	 0.0000e+000	
          28	          -6	           0	           7	      11.425	 0.0000e+000	
          29	          -7	           0	           7	      11.425	 0.0000e+000	
          30	          -8	           0	           7	      11.425	 0.0000e+000	
          31	          -9	           0	           7	      11.425	 0.0000e+000	
          32	         -10	           0	           7	      11.425	 0.0000e+000	
          33	         -11	           0	           7	      11.425	 0.0000e+000	
          34	         -12	           0	           7	      11.425	 0.0000e+000	
          35	         -13	           0	           7	      11.425	 0.0000e+000	
          36	         -14	           0	           7	      11.425	 0.0000e+000	
          37	         -15	           0	           7	      11.425	 0.0000e+000	
          38	         -16	           0	           7	      11.425	 0.0000e+000	
          39	         -17	           0	           7	      11.425	 0.0000e+000	
          40	         -18	           0	           7	      11.425	 0.0000e+000	
          41	         -19	           0	           7	      11.425	 0.0000e+000	
          42	         -20	           0	           7	      11.425	 0.0000e+000	


          22	           0	           5	      3.6117	     16.8568	 2.4887e-004	
          23	          -1	           5	     3.64348	      16.817	 2.3117e-004	
          24	          -2	           5	     3.67634	     16.7759	 2.1419e-004	
          25	          -3	           5	     3.71029	     16.7334	 1.9797e-004	
          26	          -4	           5	     3.74533	     16.6895	 1.8251e-004	
          27	          -5	           5	     3.78145	     16.6443	 1.6784e-004	
          28	          -6	           5	     3.81863	     16.5977	 1.5398e-004	
          29	          -7	           5	     3.85683	     16.5499	 1.4093e-004	
          30	          -8	           5	     3.89598	     16.5009	 1.2871e-004	
          31	          -9	           5	     3.93597	     16.4509	 1.1732e-004	
          32	         -10	           5	     3.97661	        16.4	 1.0678e-004	
          33	         -11	           5	     4.01766	     16.3486	 9.7100e-005	
          34	         -12	           5	     4.05874	     16.2972	 8.8292e-005	
          35	         -13	           5	     4.09931	     16.2465	 8.0378e-005	
          36	         -14	           5	     4.13863	     16.1973	 7.3388e-005	
          37	         -15	           5	     4.17568	     16.1509	 6.7360e-005	
          38	         -16	           5	     4.20911	     16.1091	 6.2347e-005	
          39	         -17	           5	     4.23725	     16.0739	 5.8420e-005	
          40	         -18	           5	     4.25809	     16.0478	 5.5670e-005	
          41	         -19	           5	     4.26952	     16.0335	 5.4219e-005	
          42	         -20	           5	     4.26952	     16.0335	 5.4219e-005	


          22	           0	          10	     3.32182	     17.2199	 4.8836e-004	
          23	          -1	          10	     3.33783	     17.1998	 4.7049e-004	
          24	          -2	          10	     3.35423	     17.1793	 4.5286e-004	
          25	          -3	          10	     3.37102	     17.1582	 4.3550e-004	
          26	          -4	          10	     3.38816	     17.1368	 4.1847e-004	
          27	          -5	          10	     3.40561	     17.1149	 4.0181e-004	
          28	          -6	          10	     3.42334	     17.0927	 3.8558e-004	
          29	          -7	          10	     3.44126	     17.0702	 3.6983e-004	
          30	          -8	          10	      3.4593	     17.0476	 3.5463e-004	
          31	          -9	          10	     3.47736	      17.025	 3.4005e-004	
          32	         -10	          10	      3.4953	     17.0026	 3.2616e-004	
          33	         -11	          10	     3.51296	     16.9804	 3.1304e-004	
          34	         -12	          10	     3.53013	     16.9589	 3.0080e-004	
          35	         -13	          10	     3.54656	     16.9384	 2.8953e-004	
          36	         -14	          10	     3.56196	     16.9191	 2.7935e-004	
          37	         -15	          10	     3.57596	     16.9015	 2.7041e-004	
          38	         -16	          10	     3.58817	     16.8863	 2.6285e-004	
          39	         -17	          10	     3.59811	     16.8738	 2.5685e-004	
          40	         -18	          10	     3.60528	     16.8648	 2.5261e-004	
          41	         -19	          10	     3.60914	       16.86	 2.5036e-004	
          42	         -20	          10	     3.60914	       16.86	 2.5036e-004	


          22	           0	          15	     3.19215	     17.3824	 6.6072e-004	
          23	          -1	          15	     3.20167	     17.3704	 6.4620e-004	
          24	          -2	          15	     3.21139	     17.3583	 6.3172e-004	
          25	          -3	          15	     3.22127	     17.3459	 6.1733e-004	
          26	          -4	          15	     3.23129	     17.3333	 6.0307e-004	
          27	          -5	          15	     3.24143	     17.3206	 5.8898e-004	
          28	          -6	          15	     3.25165	     17.3078	 5.7512e-004	
          29	          -7	          15	     3.26189	      17.295	 5.6155e-004	
          30	          -8	          15	     3.27211	     17.2822	 5.4833e-004	
          31	          -9	          15	     3.28223	     17.2695	 5.3555e-004	
          32	         -10	          15	     3.29218	      17.257	 5.2328e-004	
          33	         -11	          15	     3.30186	     17.2449	 5.1160e-004	
          34	         -12	          15	     3.31117	     17.2332	 5.0063e-004	
          35	         -13	          15	     3.31997	     17.2222	 4.9047e-004	
          36	         -14	          15	     3.32812	      17.212	 4.8125e-004	
          37	         -15	          15	     3.33545	     17.2028	 4.7311e-004	
          38	         -16	          15	     3.34177	     17.1949	 4.6620e-004	
          39	         -17	          15	     3.34686	     17.1885	 4.6070e-004	
          40	         -18	          15	     3.35051	     17.1839	 4.5680e-004	
          41	         -19	          15	     3.35246	     17.1815	 4.5473e-004	
          42	         -20	          15	     3.35246	     17.1815	 4.5473e-004	


          22	           0	          20	     3.12239	     17.4698	 7.7755e-004	
          23	          -1	          20	     3.12845	     17.4622	 7.6663e-004	
          24	          -2	          20	     3.13461	     17.4545	 7.5568e-004	
          25	          -3	          20	     3.14086	     17.4467	 7.4473e-004	
          26	          -4	          20	     3.14718	     17.4387	 7.3382e-004	
          27	          -5	          20	     3.15355	     17.4307	 7.2300e-004	
          28	          -6	          20	     3.15994	     17.4227	 7.1230e-004	
          29	          -7	          20	     3.16631	     17.4147	 7.0177e-004	
          30	          -8	          20	     3.17265	     17.4068	 6.9148e-004	
          31	          -9	          20	     3.17889	      17.399	 6.8148e-004	
          32	         -10	          20	     3.18499	     17.3913	 6.7184e-004	
          33	         -11	          20	      3.1909	     17.3839	 6.6265e-004	
          34	         -12	          20	     3.19654	     17.3769	 6.5398e-004	
          35	         -13	          20	     3.20185	     17.3702	 6.4593e-004	
