        soln	      dist_x	        time	          pH	          pe	          Cl	
           1	           0	           0	           7	      11.425	 0.0000e+000	
           2	          -1	           0	           7	      11.425	 0.0000e+000	
           3	          -2	           0	           7	      11.425	 0.0000e+000	
           4	          -3	           0	           7	      11.425	 0.0000e+000	
           5	          -4	           0	           7	      11.425	 0.0000e+000	
           6	          -5	           0	           7	      11.425	 0.0000e+000	
           7	          -6	           0	           7	      11.425	 0.0000e+000	
           8	          -7	           0	           7	      11.425	 0.0000e+000	
           9	          -8	           0	           7	      11.425	 0.0000e+000	
          10	          -9	           0	           7	      11.425	 0.0000e+000	
          11	         -10	           0	           7	      11.425	 0.0000e+000	
          12	         -11	           0	           7	      11.425	 0.0000e+000	
          13	         -12	           0	           7	      11.425	 0.0000e+000	
          14	         -13	           0	           7	      11.425	 0.0000e+000	
          15	         -14	           0	           7	      11.425	 0.0000e+000	
          16	         -15	           0	           7	      11.425	 0.0000e+000	
          17	         -16	           0	           7	      11.425	 0.0000e+000	
          18	         -17	           0	           7	      11.425	 0.0000e+000	
          19	         -18	           0	           7	      11.425	 0.0000e+000	
          20	         -19	           0	           7	      11.425	 0.0000e+000	
          21	         -20	           0	           7	      11.425	 0.0000e+000	


           1	           0	           5	     3.11563	     17.4783	 7.8992e-004	
           2	          -1	           5	     3.13036	     17.4598	 7.6321e-004	
           3	          -2	           5	     3.14605	     17.4401	 7.3576e-004	
           4	          -3	           5	     3.16271	     17.4193	 7.0770e-004	
           5	          -4	           5	     3.18034	     17.3972	 6.7918e-004	
           6	          -5	           5	     3.19893	     17.3739	 6.5034e-004	
           7	          -6	           5	     3.21847	     17.3494	 6.2138e-004	
           8	          -7	           5	     3.23889	     17.3238	 5.9248e-004	
           9	          -8	           5	     3.26013	     17.2972	 5.6386e-004	
          10	          -9	           5	     3.28207	     17.2697	 5.3575e-004	
          11	         -10	           5	     3.30456	     17.2415	 5.0840e-004	
          12	         -11	           5	     3.32737	     17.2129	 4.8209e-004	
          13	         -12	           5	     3.35022	     17.1843	 4.5711e-004	
          14	         -13	           5	     3.37272	     17.1561	 4.3378e-004	
          15	         -14	           5	     3.39438	      17.129	 4.1246e-004	
          16	         -15	           5	     3.41458	     17.1037	 3.9351e-004	
          17	         -16	           5	      3.4326	     17.0811	 3.7736e-004	
          18	         -17	           5	     3.44755	     17.0624	 3.6446e-004	
          19	         -18	           5	      3.4585	     17.0486	 3.5530e-004	
          20	         -19	           5	     3.46445	     17.0412	 3.5042e-004	
          21	         -20	           5	     3.46445	     17.0412	 3.5042e-004	


           1	           0	          10	     3.06032	     17.5476	 8.9888e-004	
           2	          -1	          10	     3.06649	     17.5399	 8.8602e-004	
           3	          -2	          10	     3.07292	     17.5318	 8.7280e-004	
           4	          -3	          10	     3.07961	     17.5234	 8.5927e-004	
           5	          -4	          10	     3.08653	     17.5148	 8.4548e-004	
           6	          -5	          10	     3.09367	     17.5058	 8.3150e-004	
           7	          -6	          10	     3.10098	     17.4966	 8.1741e-004	
           8	          -7	          10	     3.10844	     17.4873	 8.0329e-004	
           9	          -8	          10	     3.11599	     17.4778	 7.8925e-004	
