        soln	      dist_x	        time	          pH	          pe	          Cl	
          32	         -10	           0	           7	      11.425	 0.0000e+000	
          32	         -10	        0.25	     6.99627	      12.182	 1.7172e-009	
          32	         -10	         0.5	     6.81695	     12.7873	 8.6893e-008	
          32	         -10	        0.75	     6.26596	     13.5334	 5.2414e-007	
          32	         -10	           1	     5.80413	     14.1141	 1.5659e-006	
          32	         -10	        1.25	       5.475	     14.5259	 3.3539e-006	
          32	         -10	         1.5	     5.22781	      14.835	 5.9335e-006	
          32	         -10	        1.75	     5.03263	     15.0791	 9.3082e-006	
          32	         -10	           2	     4.87304	     15.2786	 1.3452e-005	
          32	         -10	        2.25	     4.73911	     15.4461	 1.8325e-005	
          32	         -10	         2.5	     4.62443	     15.5896	 2.3879e-005	
          32	         -10	        2.75	     4.52466	     15.7143	 3.0066e-005	
          32	         -10	           3	     4.43674	     15.8243	 3.6838e-005	
          32	         -10	        3.25	     4.35843	     15.9223	 4.4145e-005	
          32	         -10	         3.5	     4.28806	     16.0103	 5.1944e-005	
          32	         -10	        3.75	     4.22434	       16.09	 6.0190e-005	
          32	         -10	           4	     4.16627	     16.1627	 6.8843e-005	
          32	         -10	        4.25	     4.11305	     16.2293	 7.7864e-005	
          32	         -10	         4.5	     4.06403	     16.2906	 8.7216e-005	
          32	         -10	        4.75	      4.0187	     16.3473	 9.6866e-005	
          32	         -10	           5	     3.97661	        16.4	 1.0678e-004	
          32	         -10	        5.25	      3.9374	     16.4491	 1.1693e-004	
          32	         -10	         5.5	     3.90076	     16.4949	 1.2729e-004	
          32	         -10	        5.75	     3.86643	     16.5379	 1.3783e-004	
          32	         -10	           6	     3.83419	     16.5782	 1.4853e-004	
          32	         -10	        6.25	     3.80383	     16.6162	 1.5935e-004	
          32	         -10	         6.5	      3.7752	     16.6521	 1.7029e-004	
          32	         -10	        6.75	     3.74813	      16.686	 1.8133e-004	
          32	         -10	           7	     3.72251	     16.7181	 1.9243e-004	
          32	         -10	        7.25	     3.69821	     16.7485	 2.0359e-004	
          32	         -10	         7.5	     3.67513	     16.7774	 2.1479e-004	
          32	         -10	        7.75	     3.65319	     16.8048	 2.2602e-004	
          32	         -10	           8	     3.63229	      16.831	 2.3726e-004	
          32	         -10	        8.25	     3.61236	      16.856	 2.4849e-004	
          32	         -10	         8.5	     3.59335	     16.8798	 2.5971e-004	
          32	         -10	        8.75	     3.57518	     16.9025	 2.7090e-004	
          32	         -10	           9	     3.55781	     16.9243	 2.8206e-004	
