        soln	      dist_x	        time	          pH	          pe	          Cl	
          11	         -10	           0	           7	      11.425	 0.0000e+000	
          11	         -10	        0.25	     6.35797	     13.4163	 4.1616e-007	
          11	         -10	         0.5	     5.08256	     15.0166	 8.2954e-006	
          11	         -10	        0.75	     4.54599	     15.6877	 2.8621e-005	
          11	         -10	           1	     4.24422	     16.0652	 5.7485e-005	
          11	         -10	        1.25	     4.04818	     16.3104	 9.0475e-005	
          11	         -10	         1.5	     3.90799	     16.4859	 1.2518e-004	
          11	         -10	        1.75	     3.80199	     16.6186	 1.6004e-004	
          11	         -10	           2	     3.71849	     16.7231	 1.9423e-004	
          11	         -10	        2.25	     3.65065	      16.808	 2.2735e-004	
          11	         -10	         2.5	     3.59418	     16.8787	 2.5921e-004	
          11	         -10	        2.75	     3.54628	     16.9387	 2.8972e-004	
          11	         -10	           3	     3.50501	     16.9904	 3.1888e-004	
          11	         -10	        3.25	     3.46902	     17.0355	 3.4671e-004	
          11	         -10	         3.5	      3.4373	     17.0752	 3.7326e-004	
          11	         -10	        3.75	      3.4091	     17.1105	 3.9857e-004	
          11	         -10	           4	     3.38385	     17.1422	 4.2269e-004	
          11	         -10	        4.25	     3.36109	     17.1707	 4.4568e-004	
          11	         -10	         4.5	     3.34048	     17.1965	 4.6760e-004	
          11	         -10	        4.75	     3.32171	       17.22	 4.8849e-004	
          11	         -10	           5	     3.30456	     17.2415	 5.0840e-004	
          11	         -10	        5.25	     3.28882	     17.2612	 5.2739e-004	
          11	         -10	         5.5	     3.27434	     17.2794	 5.4549e-004	
          11	         -10	        5.75	     3.26097	     17.2961	 5.6276e-004	
          11	         -10	           6	     3.24859	     17.3116	 5.7923e-004	
          11	         -10	        6.25	     3.23711	      17.326	 5.9494e-004	
          11	         -10	         6.5	     3.22643	     17.3394	 6.0994e-004	
          11	         -10	        6.75	     3.21648	     17.3519	 6.2426e-004	
          11	         -10	           7	      3.2072	     17.3635	 6.3793e-004	
          11	         -10	        7.25	     3.19851	     17.3744	 6.5099e-004	
          11	         -10	         7.5	     3.19037	     17.3846	 6.6346e-004	
          11	         -10	        7.75	     3.18274	     17.3942	 6.7538e-004	
          11	         -10	           8	     3.17557	     17.4031	 6.8677e-004	
          11	         -10	        8.25	     3.16883	     17.4116	 6.9766e-004	
          11	         -10	         8.5	     3.16248	     17.4195	 7.0808e-004	
          11	         -10	        8.75	     3.15649	     17.4271	 7.1804e-004	
          11	         -10	           9	     3.15084	     17.4341	 7.2758e-004	
          11	         -10	        9.25	      3.1455	     17.4408	 7.3671e-004	
          11	         -10	         9.5	     3.14044	     17.4472	 7.4545e-004	
          11	         -10	        9.75	     3.13566	     17.4532	 7.5383e-004	
          11	         -10	          10	     3.13112	     17.4589	 7.6185e-004	
          11	         -10	       10.25	     3.12682	     17.4642	 7.6954e-004	
          11	         -10	        10.5	     3.12274	     17.4694	 7.7692e-004	
          11	         -10	       10.75	     3.11886	     17.4742	 7.8399e-004	
          11	         -10	          11	     3.11517	     17.4789	 7.9078e-004	
          11	         -10	       11.25	     3.11165	     17.4833	 7.9729e-004	
          11	         -10	        11.5	     3.10831	     17.4875	 8.0354e-004	
          11	         -10	       11.75	     3.10512	     17.4915	 8.0955e-004	
          11	         -10	          12	     3.10208	     17.4953	 8.1532e-004	
          11	         -10	       12.25	     3.09918	     17.4989	 8.2086e-004	
          11	         -10	        12.5	     3.09641	     17.5024	 8.2619e-004	
          11	         -10	       12.75	     3.09376	     17.5057	 8.3132e-004	
          11	         -10	          13	     3.09123	     17.5089	 8.3625e-004	
          11	         -10	       13.25	     3.08881	     17.5119	 8.4100e-004	
          11	         -10	        13.5	     3.08649	     17.5148	 8.4557e-004	
          11	         -10	       13.75	     3.08427	     17.5176	 8.4997e-004	
          11	         -10	          14	     3.08214	     17.5203	 8.5420e-004	
          11	         -10	       14.25	     3.08009	     17.5228	 8.5829e-004	
          11	         -10	        14.5	     3.07814	     17.5253	 8.6223e-004	
          11	         -10	       14.75	     3.07625	     17.5276	 8.6603e-004	
          11	         -10	          15	     3.07445	     17.5299	 8.6969e-004	
          11	         -10	       15.25	     3.07271	     17.5321	 8.7323e-004	
          11	         -10	        15.5	     3.07104	     17.5342	 8.7664e-004	
          11	         -10	       15.75	     3.06944	     17.5362	 8.7993e-004	
          11	         -10	          16	     3.06789	     17.5381	 8.8312e-004	
          11	         -10	       16.25	      3.0664	       17.54	 8.8619e-004	
          11	         -10	        16.5	     3.06497	     17.5418	 8.8917e-004	
          11	         -10	       16.75	     3.06359	     17.5435	 8.9204e-004	
          11	         -10	          17	     3.06226	     17.5452	 8.9482e-004	
          11	         -10	       17.25	     3.06097	     17.5468	 8.9751e-004	
          11	         -10	        17.5	     3.05974	     17.5484	 9.0011e-004	
          11	         -10	       17.75	     3.05854	     17.5499	 9.0263e-004	
          11	         -10	          18	     3.05738	     17.5513	 9.0507e-004	
          11	         -10	       18.25	     3.05627	     17.5527	 9.0744e-004	
          11	         -10	        18.5	     3.05519	     17.5541	 9.0973e-004	
          11	         -10	       18.75	     3.05415	     17.5554	 9.1195e-004	
          11	         -10	          19	     3.05314	     17.5566	 9.1410e-004	
          11	         -10	       19.25	     3.05216	     17.5579	 9.1619e-004	
          11	         -10	        19.5	     3.05122	      17.559	 9.1821e-004	
          11	         -10	       19.75	      3.0503	     17.5602	 9.2018e-004	
          11	         -10	          20	     3.04942	     17.5613	 9.2209e-004	
          11	         -10	       20.25	     3.04856	     17.5624	 9.2394e-004	
          11	         -10	        20.5	     3.04773	     17.5634	 9.2573e-004	
          11	         -10	       20.75	     3.04692	     17.5644	 9.2748e-004	
          11	         -10	          21	     3.04614	     17.5654	 9.2918e-004	
          11	         -10	       21.25	     3.04538	     17.5664	 9.3083e-004	
          11	         -10	        21.5	     3.04465	     17.5673	 9.3243e-004	
          11	         -10	       21.75	     3.04393	     17.5682	 9.3399e-004	
          11	         -10	          22	     3.04324	      17.569	 9.3550e-004	
          11	         -10	       22.25	     3.04256	     17.5699	 9.3698e-004	
          11	         -10	        22.5	     3.04191	     17.5707	 9.3841e-004	
          11	         -10	       22.75	     3.04127	     17.5715	 9.3981e-004	
          11	         -10	          23	     3.04066	     17.5723	 9.4117e-004	
          11	         -10	       23.25	     3.04006	      17.573	 9.4249e-004	
          11	         -10	        23.5	     3.03947	     17.5738	 9.4378e-004	
          11	         -10	       23.75	      3.0389	     17.5745	 9.4503e-004	
          11	         -10	          24	     3.03835	     17.5752	 9.4625e-004	
          11	         -10	       24.25	     3.03781	     17.5758	 9.4744e-004	
          11	         -10	        24.5	     3.03729	     17.5765	 9.4860e-004	
          11	         -10	       24.75	     3.03678	     17.5771	 9.4973e-004	
          11	         -10	          25	     3.03628	     17.5778	 9.5084e-004	
          11	         -10	       25.25	      3.0358	     17.5784	 9.5191e-004	
          11	         -10	        25.5	     3.03533	      17.579	 9.5296e-004	
          11	         -10	       25.75	     3.03487	     17.5795	 9.5398e-004	
          11	         -10	          26	     3.03442	     17.5801	 9.5498e-004	
          11	         -10	       26.25	     3.03399	     17.5806	 9.5595e-004	
          11	         -10	        26.5	     3.03357	     17.5812	 9.5690e-004	
          11	         -10	       26.75	     3.03315	     17.5817	 9.5783e-004	
          11	         -10	          27	     3.03275	     17.5822	 9.5873e-004	
          11	         -10	       27.25	     3.03235	     17.5827	 9.5961e-004	
          11	         -10	        27.5	     3.03197	     17.5832	 9.6047e-004	
          11	         -10	       27.75	      3.0316	     17.5836	 9.6131e-004	
          11	         -10	          28	     3.03123	     17.5841	 9.6214e-004	
          11	         -10	       28.25	     3.03087	     17.5845	 9.6294e-004	
          11	         -10	        28.5	     3.03053	      17.585	 9.6372e-004	
          11	         -10	       28.75	     3.03019	     17.5854	 9.6449e-004	
          11	         -10	          29	     3.02986	     17.5858	 9.6524e-004	
          11	         -10	       29.25	     3.02953	     17.5862	 9.6597e-004	
          11	         -10	        29.5	     3.02922	     17.5866	 9.6668e-004	
          11	         -10	       29.75	     3.02891	      17.587	 9.6738e-004	
          11	         -10	          30	     3.02861	     17.5874	 9.6806e-004	
          11	         -10	       30.25	     3.02831	     17.5878	 9.6873e-004	
          11	         -10	        30.5	     3.02802	     17.5881	 9.6938e-004	
          11	         -10	       30.75	     3.02774	     17.5885	 9.7001e-004	
          11	         -10	          31	     3.02747	     17.5888	 9.7064e-004	
          11	         -10	       31.25	      3.0272	     17.5891	 9.7125e-004	
          11	         -10	        31.5	     3.02694	     17.5895	 9.7184e-004	
          11	         -10	       31.75	     3.02668	     17.5898	 9.7242e-004	
          11	         -10	          32	     3.02643	     17.5901	 9.7299e-004	
          11	         -10	       32.25	     3.02619	     17.5904	 9.7355e-004	
          11	         -10	        32.5	     3.02595	     17.5907	 9.7410e-004	
          11	         -10	       32.75	     3.02571	      17.591	 9.7463e-004	
          11	         -10	          33	     3.02549	     17.5913	 9.7515e-004	
          11	         -10	       33.25	     3.02526	     17.5916	 9.7566e-004	
          11	         -10	        33.5	     3.02504	     17.5919	 9.7616e-004	
          11	         -10	       33.75	     3.02483	     17.5921	 9.7665e-004	
          11	         -10	          34	     3.02462	     17.5924	 9.7713e-004	
          11	         -10	       34.25	     3.02441	     17.5926	 9.7759e-004	
          11	         -10	        34.5	     3.02421	     17.5929	 9.7805e-004	
          11	         -10	       34.75	     3.02402	     17.5931	 9.7850e-004	
          11	         -10	          35	     3.02383	     17.5934	 9.7894e-004	
          11	         -10	       35.25	     3.02364	     17.5936	 9.7937e-004	
          11	         -10	        35.5	     3.02346	     17.5938	 9.7979e-004	
          11	         -10	       35.75	     3.02328	     17.5941	 9.8020e-004	
          11	         -10	          36	      3.0231	     17.5943	 9.8060e-004	
          11	         -10	       36.25	     3.02293	     17.5945	 9.8100e-004	
          11	         -10	        36.5	     3.02276	     17.5947	 9.8138e-004	
          11	         -10	       36.75	      3.0226	     17.5949	 9.8176e-004	
          11	         -10	          37	     3.02244	     17.5951	 9.8213e-004	
          11	         -10	       37.25	     3.02228	     17.5953	 9.8249e-004	
          11	         -10	        37.5	     3.02212	     17.5955	 9.8285e-004	
          11	         -10	       37.75	     3.02197	     17.5957	 9.8319e-004	
          11	         -10	          38	     3.02183	     17.5959	 9.8353e-004	
          11	         -10	       38.25	     3.02168	     17.5961	 9.8387e-004	
          11	         -10	        38.5	     3.02154	     17.5962	 9.8419e-004	
          11	         -10	       38.75	      3.0214	     17.5964	 9.8451e-004	
          11	         -10	          39	     3.02126	     17.5966	 9.8482e-004	
          11	         -10	       39.25	     3.02113	     17.5968	 9.8513e-004	
          11	         -10	        39.5	       3.021	     17.5969	 9.8543e-004	
          11	         -10	       39.75	     3.02087	     17.5971	 9.8572e-004	
          11	         -10	          40	     3.02075	     17.5972	 9.8601e-004	
          11	         -10	       40.25	     3.02063	     17.5974	 9.8629e-004	
          11	         -10	        40.5	     3.02051	     17.5975	 9.8657e-004	
          11	         -10	       40.75	     3.02039	     17.5977	 9.8684e-004	
          11	         -10	          41	     3.02028	     17.5978	 9.8710e-004	
          11	         -10	       41.25	     3.02016	      17.598	 9.8736e-004	
          11	         -10	        41.5	     3.02005	     17.5981	 9.8762e-004	
          11	         -10	       41.75	     3.01995	     17.5982	 9.8787e-004	
          11	         -10	          42	     3.01984	     17.5984	 9.8811e-004	
          11	         -10	       42.25	     3.01974	     17.5985	 9.8835e-004	
          11	         -10	        42.5	     3.01964	     17.5986	 9.8858e-004	
          11	         -10	       42.75	     3.01954	     17.5988	 9.8881e-004	
          11	         -10	          43	     3.01944	     17.5989	 9.8904e-004	
          11	         -10	       43.25	     3.01934	      17.599	 9.8926e-004	
          11	         -10	        43.5	     3.01925	     17.5991	 9.8947e-004	
          11	         -10	       43.75	     3.01916	     17.5992	 9.8968e-004	
          11	         -10	          44	     3.01907	     17.5993	 9.8989e-004	
          11	         -10	       44.25	     3.01898	     17.5995	 9.9009e-004	
          11	         -10	        44.5	      3.0189	     17.5996	 9.9029e-004	
          11	         -10	       44.75	     3.01881	     17.5997	 9.9048e-004	
          11	         -10	          45	     3.01873	     17.5998	 9.9068e-004	
          11	         -10	       45.25	     3.01865	     17.5999	 9.9086e-004	
          11	         -10	        45.5	     3.01857	        17.6	 9.9104e-004	
          11	         -10	       45.75	     3.01849	     17.6001	 9.9122e-004	
          11	         -10	          46	     3.01842	     17.6002	 9.9140e-004	
          11	         -10	       46.25	     3.01834	     17.6003	 9.9157e-004	
          11	         -10	        46.5	     3.01827	     17.6003	 9.9174e-004	
          11	         -10	       46.75	      3.0182	     17.6004	 9.9191e-004	
          11	         -10	          47	     3.01813	     17.6005	 9.9207e-004	
          11	         -10	       47.25	     3.01806	     17.6006	 9.9223e-004	
          11	         -10	        47.5	       3.018	     17.6007	 9.9238e-004	
          11	         -10	       47.75	     3.01793	     17.6008	 9.9253e-004	
          11	         -10	          48	     3.01787	     17.6009	 9.9268e-004	
          11	         -10	       48.25	      3.0178	     17.6009	 9.9283e-004	
          11	         -10	        48.5	     3.01774	      17.601	 9.9297e-004	
          11	         -10	       48.75	     3.01768	     17.6011	 9.9311e-004	
          11	         -10	          49	     3.01762	     17.6012	 9.9325e-004	
          11	         -10	       49.25	     3.01756	     17.6012	 9.9339e-004	
          11	         -10	        49.5	     3.01751	     17.6013	 9.9352e-004	
          11	         -10	       49.75	     3.01745	     17.6014	 9.9365e-004	
          11	         -10	          50	      3.0174	     17.6014	 9.9377e-004	
