 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
        .25000   .100E-02  -.187E-10   .250E-03  -.898E-12   .000E+00   .000E+00   .276E-03   .000E+00   .320E-10   .000E+00   .000E+00   .773E-06      17   .9143E-12
        .50000   .100E-02  -.154E-07   .500E-03  -.169E-08   .000E+00   .000E+00   .371E-03   .000E+00   .260E-07   .000E+00   .000E+00   .306E-05      20   .2138E-11
        .75000   .100E-02  -.310E-06   .750E-03  -.508E-07   .000E+00   .000E+00   .437E-03   .000E+00   .478E-06   .000E+00   .000E+00   .682E-05      22   .3211E-11
       1.00000   .100E-02  -.190E-05   .100E-02  -.395E-06   .000E+00   .000E+00   .487E-03   .000E+00   .258E-05   .000E+00   .000E+00   .120E-04      24   .4280E-11
       1.25000   .100E-02  -.521E-05   .125E-02  -.170E-05   .000E+00   .000E+00   .528E-03   .000E+00   .785E-05   .000E+00   .000E+00   .185E-04      25   .4956E-11
       1.50000   .100E-02  -.125E-04   .150E-02  -.481E-05   .000E+00   .000E+00   .563E-03   .000E+00   .171E-04   .000E+00   .000E+00   .264E-04      26   .5811E-11
       1.75000   .100E-02  -.238E-04   .175E-02  -.108E-04   .000E+00   .000E+00   .592E-03   .000E+00   .305E-04   .000E+00   .000E+00   .356E-04      27   .6956E-11
       2.00000   .100E-02  -.390E-04   .200E-02  -.205E-04   .000E+00   .000E+00   .618E-03   .000E+00   .476E-04   .000E+00   .000E+00   .460E-04      28   .8129E-11
       2.25000   .100E-02  -.578E-04   .225E-02  -.350E-04   .000E+00   .000E+00   .641E-03   .000E+00   .680E-04   .000E+00   .000E+00   .576E-04      29   .9515E-11
       2.50000   .100E-02  -.794E-04   .250E-02  -.548E-04   .000E+00   .000E+00   .661E-03   .000E+00   .908E-04   .000E+00   .000E+00   .702E-04      30   .1036E-10
       2.75000   .100E-02  -.103E-03   .275E-02  -.806E-04   .000E+00   .000E+00   .679E-03   .000E+00   .115E-03   .000E+00   .000E+00   .839E-04      31   .1141E-10
       3.00000   .100E-02  -.128E-03   .300E-02  -.113E-03   .000E+00   .000E+00   .696E-03   .000E+00   .141E-03   .000E+00   .000E+00   .986E-04      32   .1261E-10
       3.25000   .100E-02  -.155E-03   .325E-02  -.151E-03   .000E+00   .000E+00   .711E-03   .000E+00   .168E-03   .000E+00   .000E+00   .114E-03      33   .1456E-10
       3.50000   .100E-02  -.181E-03   .350E-02  -.197E-03   .000E+00   .000E+00   .725E-03   .000E+00   .195E-03   .000E+00   .000E+00   .131E-03      34   .1533E-10
       3.75000   .100E-02  -.208E-03   .375E-02  -.249E-03   .000E+00   .000E+00   .738E-03   .000E+00   .222E-03   .000E+00   .000E+00   .148E-03      35   .1569E-10
       4.00000   .100E-02  -.235E-03   .400E-02  -.308E-03   .000E+00   .000E+00   .750E-03   .000E+00   .249E-03   .000E+00   .000E+00   .166E-03      36   .1714E-10
       4.25000   .100E-02  -.262E-03   .425E-02  -.373E-03   .000E+00   .000E+00   .761E-03   .000E+00   .275E-03   .000E+00   .000E+00   .184E-03      37   .1818E-10
       4.50000   .100E-02  -.288E-03   .450E-02  -.445E-03   .000E+00   .000E+00   .771E-03   .000E+00   .301E-03   .000E+00   .000E+00   .203E-03      38   .2127E-10
       4.75000   .100E-02  -.313E-03   .475E-02  -.523E-03   .000E+00   .000E+00   .781E-03   .000E+00   .326E-03   .000E+00   .000E+00   .223E-03      39   .2350E-10
       5.00000   .100E-02  -.338E-03   .500E-02  -.608E-03   .000E+00   .000E+00   .790E-03   .000E+00   .350E-03   .000E+00   .000E+00   .243E-03      40   .2732E-10
       5.25000   .100E-02  -.362E-03   .525E-02  -.698E-03   .000E+00   .000E+00   .798E-03   .000E+00   .374E-03   .000E+00   .000E+00   .264E-03      41   .3286E-10
       5.50000   .100E-02  -.386E-03   .550E-02  -.795E-03   .000E+00   .000E+00   .806E-03   .000E+00   .397E-03   .000E+00   .000E+00   .284E-03      42   .3707E-10
       5.75000   .100E-02  -.408E-03   .575E-02  -.897E-03   .000E+00   .000E+00   .814E-03   .000E+00   .419E-03   .000E+00   .000E+00   .306E-03      43   .4278E-10
       6.00000   .100E-02  -.430E-03   .600E-02  -.100E-02   .000E+00   .000E+00   .821E-03   .000E+00   .440E-03   .000E+00   .000E+00   .327E-03      44   .4718E-10
       6.25000   .100E-02  -.450E-03   .625E-02  -.112E-02   .000E+00   .000E+00   .828E-03   .000E+00   .461E-03   .000E+00   .000E+00   .349E-03      45   .5292E-10
       6.50000   .100E-02  -.470E-03   .650E-02  -.123E-02   .000E+00   .000E+00   .835E-03   .000E+00   .480E-03   .000E+00   .000E+00   .371E-03      46   .6012E-10
       6.75000   .100E-02  -.490E-03   .675E-02  -.136E-02   .000E+00   .000E+00   .841E-03   .000E+00   .499E-03   .000E+00   .000E+00   .393E-03      47   .6577E-10
       7.00000   .100E-02  -.508E-03   .700E-02  -.148E-02   .000E+00   .000E+00   .847E-03   .000E+00   .517E-03   .000E+00   .000E+00   .415E-03      48   .7270E-10
       7.25000   .100E-02  -.526E-03   .725E-02  -.162E-02   .000E+00   .000E+00   .852E-03   .000E+00   .534E-03   .000E+00   .000E+00   .437E-03      49   .7819E-10
       7.50000   .100E-02  -.542E-03   .750E-02  -.175E-02   .000E+00   .000E+00   .857E-03   .000E+00   .551E-03   .000E+00   .000E+00   .459E-03      50   .8477E-10
       7.75000   .100E-02  -.559E-03   .775E-02  -.189E-02   .000E+00   .000E+00   .862E-03   .000E+00   .567E-03   .000E+00   .000E+00   .482E-03      51   .9247E-10
       8.00000   .100E-02  -.574E-03   .800E-02  -.203E-02   .000E+00   .000E+00   .867E-03   .000E+00   .582E-03   .000E+00   .000E+00   .504E-03      52   .1013E-09
       8.25000   .100E-02  -.589E-03   .825E-02  -.218E-02   .000E+00   .000E+00   .872E-03   .000E+00   .596E-03   .000E+00   .000E+00   .526E-03      53   .1084E-09
       8.50000   .100E-02  -.603E-03   .850E-02  -.233E-02   .000E+00   .000E+00   .876E-03   .000E+00   .610E-03   .000E+00   .000E+00   .548E-03      54   .1163E-09
       8.75000   .100E-02  -.617E-03   .875E-02  -.249E-02   .000E+00   .000E+00   .880E-03   .000E+00   .624E-03   .000E+00   .000E+00   .571E-03      55   .1251E-09
       9.00000   .100E-02  -.630E-03   .900E-02  -.264E-02   .000E+00   .000E+00   .884E-03   .000E+00   .636E-03   .000E+00   .000E+00   .593E-03      56   .1345E-09
       9.25000   .100E-02  -.642E-03   .925E-02  -.280E-02   .000E+00   .000E+00   .888E-03   .000E+00   .649E-03   .000E+00   .000E+00   .615E-03      57   .1445E-09
       9.50000   .100E-02  -.654E-03   .950E-02  -.297E-02   .000E+00   .000E+00   .892E-03   .000E+00   .660E-03   .000E+00   .000E+00   .637E-03      58   .1575E-09
       9.75000   .100E-02  -.666E-03   .975E-02  -.313E-02   .000E+00   .000E+00   .896E-03   .000E+00   .672E-03   .000E+00   .000E+00   .658E-03      59   .1729E-09
      10.00000   .100E-02  -.677E-03   .100E-01  -.330E-02   .000E+00   .000E+00   .899E-03   .000E+00   .682E-03   .000E+00   .000E+00   .680E-03      60   .1887E-09
      10.25000   .100E-02  -.687E-03   .103E-01  -.348E-02   .000E+00   .000E+00   .902E-03   .000E+00   .693E-03   .000E+00   .000E+00   .702E-03      61   .2014E-09
      10.50000   .100E-02  -.698E-03   .105E-01  -.365E-02   .000E+00   .000E+00   .905E-03   .000E+00   .702E-03   .000E+00   .000E+00   .723E-03      62   .2118E-09
      10.75000   .100E-02  -.707E-03   .108E-01  -.383E-02   .000E+00   .000E+00   .908E-03   .000E+00   .712E-03   .000E+00   .000E+00   .744E-03      63   .2202E-09
