 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
       5.00000   .000E+00   .000E+00   .177E-01   .000E+00   .000E+00   .000E+00   .497E-02   .000E+00   .476E-82   .000E+00   .000E+00   .000E+00      52  -.1705E-01
      10.00000   .180E-01   .000E+00   .363E-01   .000E+00   .000E+00   .000E+00   .104E-01   .000E+00   .176E-67   .000E+00   .000E+00   .000E+00     102  -.3470E-01
      15.00000   .340E-01   .000E+00   .137E+00   .000E+00   .000E+00   .000E+00   .334E-01   .000E+00   .130E-63   .000E+00   .000E+00   .000E+00     212  -.1301E+00
      20.00000   .500E-03   .000E+00   .204E+00   .000E+00   .000E+00   .000E+00   .446E-01   .000E+00   .234E-60   .000E+00   .000E+00   .000E+00     322  -.1941E+00
      25.00000   .500E-03   .000E+00   .253E+00   .000E+00   .000E+00   .000E+00   .511E-01   .000E+00   .701E-57   .000E+00   .000E+00   .000E+00     376  -.2402E+00
      30.00000   .200E-02   .000E+00   .320E+00   .000E+00   .000E+00   .000E+00   .582E-01   .000E+00   .173E-52   .000E+00   .000E+00   .000E+00     466  -.3025E+00
      35.00000   .000E+00   .000E+00   .429E+00   .000E+00   .000E+00   .000E+00   .666E-01   .000E+00   .415E-48   .000E+00   .000E+00   .000E+00     557  -.4051E+00
      40.00000   .840E-01   .000E+00   .620E+00   .000E+00   .000E+00   .000E+00   .758E-01   .000E+00   .293E-44   .000E+00   .000E+00   .000E+00     667  -.5780E+00
      45.00000   .476E-16   .000E+00   .801E+00   .000E+00   .000E+00   .000E+00   .812E-01   .000E+00   .706E-40   .000E+00   .000E+00   .000E+00     739  -.7529E+00
      50.00000   .320E-01   .000E+00   .113E+01   .000E+00   .000E+00   .000E+00   .872E-01   .000E+00   .181E-33   .000E+00   .000E+00   .000E+00     851  -.1053E+01
      55.00000   .500E-03  -.489E-29   .114E+01  -.349E-29   .000E+00   .000E+00   .873E-01   .000E+00   .144E-28   .000E+00   .000E+00   .000E+00     924  -.1073E+01
      60.00000   .000E+00  -.208E-27   .117E+01  -.380E-27   .000E+00   .000E+00   .877E-01   .000E+00   .935E-27   .000E+00   .000E+00   .000E+00     976  -.1104E+01
      65.00000   .166E-16  -.117E-26   .118E+01  -.386E-26   .000E+00   .000E+00   .876E-01   .000E+00   .721E-26   .000E+00   .000E+00   .000E+00    1006  -.1106E+01
