        soln	      dist_x	        time	          pH	          pe	        Pola	      m_Pola	   m_SorPola	       m_Sor	
          51	         -50	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          51	         -50	          10	           7	      11.335	 3.3638e-026	 3.3638e-026	 6.2741e-020	 2.0000e+100	
          51	         -50	          20	           7	    -3.59986	 1.9531e-025	 1.9531e-025	 2.5625e-019	 2.0000e+100	
          51	         -50	          30	           7	    -3.92133	 2.0001e-025	 2.0001e-025	 2.6118e-019	 2.0000e+100	
          51	         -50	          40	           7	    -3.92133	 2.0001e-025	 2.0001e-025	 2.6118e-019	 2.0000e+100	
          51	         -50	          50	           7	    -3.92133	 2.0001e-025	 2.0001e-025	 2.6118e-019	 2.0000e+100	
          51	         -50	          60	           7	    -3.92133	 2.0001e-025	 2.0001e-025	 2.6118e-019	 2.0000e+100	
          51	         -50	          70	           7	    -4.00778	 2.0001e-025	 2.0001e-025	 2.6118e-019	 2.0000e+100	
          51	         -50	          80	           7	    -4.03079	 2.0001e-025	 2.0001e-025	 2.6118e-019	 2.0000e+100	
          51	         -50	          90	           7	    -4.03856	 2.0003e-025	 2.0003e-025	 2.6120e-019	 2.0000e+100	
          51	         -50	         100	           7	    -4.03979	 2.0024e-025	 2.0024e-025	 2.6142e-019	 2.0000e+100	
          51	         -50	         110	           7	    -4.04006	 2.0286e-025	 2.0286e-025	 2.6415e-019	 2.0000e+100	
          51	         -50	         120	           7	    -4.04012	 2.3430e-025	 2.3430e-025	 2.9642e-019	 2.0000e+100	
          51	         -50	         130	           7	    -4.04012	 6.4456e-025	 6.4456e-025	 6.6604e-019	 2.0000e+100	
          51	         -50	         140	           7	    -4.04013	 7.5851e-024	 7.5851e-024	 4.7870e-018	 2.0000e+100	
          51	         -50	         150	           7	    -4.04012	 1.4124e-022	 1.4124e-022	 4.9667e-017	 2.0000e+100	
          51	         -50	         160	           7	    -4.04012	 2.7143e-021	 2.7143e-021	 5.2846e-016	 2.0000e+100	
          51	         -50	         170	           7	     -4.0401	 5.1240e-020	 5.1240e-020	 5.5434e-015	 2.0000e+100	
          51	         -50	         180	           7	     -4.0401	 9.4782e-019	 9.4782e-019	 5.7210e-014	 2.0000e+100	
          51	         -50	         190	           7	    -4.04009	 1.7203e-017	 1.7203e-017	 5.8153e-013	 2.0000e+100	
          51	         -50	         200	           7	    -4.04009	 3.0673e-016	 3.0673e-016	 5.8277e-012	 2.0000e+100	
          51	         -50	         210	           7	    -4.04008	 5.3756e-015	 5.3756e-015	 5.7602e-011	 2.0000e+100	
          51	         -50	         220	           7	    -4.04008	 9.2562e-014	 9.2562e-014	 5.6136e-010	 2.0000e+100	
          51	         -50	         230	           7	    -4.04008	 1.5629e-012	 1.5629e-012	 5.3855e-009	 2.0000e+100	
          51	         -50	         240	           7	    -4.04006	 2.5762e-011	 2.5762e-011	 5.0684e-008	 2.0000e+100	
          51	         -50	         250	           7	    -4.04006	 4.1113e-010	 4.1113e-010	 4.6480e-007	 2.0000e+100	
          51	         -50	         260	           7	    -4.04006	 6.2596e-009	 6.2596e-009	 4.1051e-006	 2.0000e+100	
          51	         -50	         270	           7	    -4.04003	 8.8759e-008	 8.8759e-008	 3.4250e-005	 2.0000e+100	
          51	         -50	         280	           7	    -4.04002	 1.1296e-006	 1.1296e-006	 2.6208e-004	 2.0000e+100	
          51	         -50	         290	           7	    -4.04002	 1.2262e-005	 1.2262e-005	 1.7657e-003	 2.0000e+100	
