 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
      10.00000   .198E-06  -.200E-06   .198E-05  -.200E-05   .000E+00   .000E+00   .198E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00      77   .2780E-10
      20.00000   .198E-06  -.200E-06   .397E-05  -.400E-05   .000E+00   .000E+00   .198E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00     138   .1154E-09
      30.00000   .198E-06  -.200E-06   .595E-05  -.601E-05   .000E+00   .000E+00   .198E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00     199   .1915E-07
      40.00000   .198E-06  -.200E-06   .794E-05  -.801E-05   .000E+00   .000E+00   .198E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00     260   .4320E-07
      50.00000   .198E-06  -.200E-06   .992E-05  -.100E-04   .000E+00   .000E+00   .198E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00     321   .6808E-07
      60.00000   .198E-06  -.201E-06   .119E-04  -.120E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     382   .9250E-07
      70.00000   .198E-06  -.201E-06   .139E-04  -.140E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     443   .1167E-06
      80.00000   .198E-06  -.201E-06   .159E-04  -.160E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     504   .1420E-06
      90.00000   .198E-06  -.201E-06   .179E-04  -.181E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     565   .1661E-06
     100.00000   .198E-06  -.201E-06   .198E-04  -.201E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     626   .1915E-06
     110.00000   .198E-06  -.201E-06   .218E-04  -.221E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     687   .2156E-06
     120.00000   .198E-06  -.201E-06   .238E-04  -.241E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     748   .2410E-06
     130.00000   .198E-06  -.201E-06   .258E-04  -.261E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     809   .2652E-06
     140.00000   .198E-06  -.201E-06   .278E-04  -.281E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     870   .2905E-06
     150.00000   .198E-06  -.201E-06   .298E-04  -.301E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     931   .3155E-06
     160.00000   .198E-06  -.201E-06   .318E-04  -.321E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     992   .3400E-06
     170.00000   .198E-06  -.201E-06   .337E-04  -.341E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1053   .3654E-06
     180.00000   .198E-06  -.201E-06   .357E-04  -.362E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1114   .3897E-06
     190.00000   .198E-06  -.201E-06   .377E-04  -.382E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1175   .4149E-06
     200.00000   .198E-06  -.201E-06   .397E-04  -.402E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1236   .4403E-06
     210.00000   .198E-06  -.201E-06   .417E-04  -.422E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1297   .4647E-06
     220.00000   .198E-06  -.201E-06   .437E-04  -.442E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1358   .4898E-06
     230.00000   .198E-06  -.201E-06   .457E-04  -.462E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1419   .5165E-06
     240.00000   .198E-06  -.201E-06   .476E-04  -.482E-04   .000E+00   .000E+00   .198E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1480   .5404E-06
     250.00000   .198E-06  -.201E-06   .496E-04  -.502E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1541   .5708E-06
     260.00000   .198E-06  -.201E-06   .516E-04  -.522E-04   .000E+00   .000E+00   .199E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1602   .6053E-06
     270.00000   .198E-06  -.201E-06   .536E-04  -.543E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1663   .6437E-06
     280.00000   .198E-06  -.201E-06   .556E-04  -.563E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1724   .6828E-06
     290.00000   .198E-06  -.201E-06   .576E-04  -.583E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1785   .7188E-06
     300.00000   .198E-06  -.201E-06   .595E-04  -.603E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1846   .7523E-06
     310.00000   .198E-06  -.201E-06   .615E-04  -.623E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1907   .7831E-06
     320.00000   .198E-06  -.201E-06   .635E-04  -.643E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    1968   .8113E-06
     330.00000   .198E-06  -.201E-06   .655E-04  -.663E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2029   .8385E-06
     340.00000   .198E-06  -.201E-06   .675E-04  -.683E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2090   .8649E-06
     350.00000   .198E-06  -.201E-06   .695E-04  -.704E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2151   .8896E-06
     360.00000   .198E-06  -.201E-06   .715E-04  -.724E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2212   .9169E-06
     370.00000   .198E-06  -.201E-06   .734E-04  -.744E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2273   .9421E-06
     380.00000   .198E-06  -.201E-06   .754E-04  -.764E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2334   .9681E-06
     390.00000   .198E-06  -.201E-06   .774E-04  -.784E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2395   .9944E-06
     400.00000   .198E-06  -.201E-06   .794E-04  -.804E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2456   .1020E-05
     410.00000   .198E-06  -.201E-06   .814E-04  -.824E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00    2517   .1046E-05
     420.00000   .198E-06  -.201E-06   .834E-04  -.844E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    2578   .1075E-05
     430.00000   .198E-06  -.202E-06   .853E-04  -.864E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    2639   .1105E-05
     440.00000   .198E-06  -.200E-06   .873E-04  -.885E-04   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    2700   .1123E-05
     450.00000   .198E-06  -.200E-06   .893E-04  -.905E-04   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    2761   .1140E-05
     460.00000   .198E-06  -.200E-06   .913E-04  -.925E-04   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    2822   .1157E-05
     470.00000   .198E-06  -.200E-06   .933E-04  -.945E-04   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    2883   .1174E-05
     480.00000   .198E-06  -.200E-06   .953E-04  -.965E-04   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    2944   .1191E-05
     490.00000   .198E-06  -.200E-06   .973E-04  -.985E-04   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3005   .1208E-05
     500.00000   .198E-06  -.200E-06   .992E-04  -.100E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3066   .1225E-05
     510.00000   .198E-06  -.200E-06   .101E-03  -.102E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3127   .1242E-05
     520.00000   .198E-06  -.200E-06   .103E-03  -.104E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3188   .1258E-05
     530.00000   .198E-06  -.200E-06   .105E-03  -.106E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3249   .1275E-05
     540.00000   .198E-06  -.200E-06   .107E-03  -.108E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3310   .1292E-05
     550.00000   .198E-06  -.200E-06   .109E-03  -.110E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3371   .1309E-05
     560.00000   .198E-06  -.200E-06   .111E-03  -.112E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3432   .1326E-05
     570.00000   .198E-06  -.200E-06   .113E-03  -.114E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3493   .1343E-05
     580.00000   .198E-06  -.200E-06   .115E-03  -.116E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3554   .1360E-05
     590.00000   .198E-06  -.200E-06   .117E-03  -.118E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3615   .1377E-05
     600.00000   .198E-06  -.200E-06   .119E-03  -.120E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3676   .1394E-05
     610.00000   .198E-06  -.200E-06   .121E-03  -.122E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3737   .1411E-05
     620.00000   .198E-06  -.200E-06   .123E-03  -.124E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3798   .1428E-05
     630.00000   .198E-06  -.200E-06   .125E-03  -.126E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3859   .1445E-05
     640.00000   .198E-06  -.200E-06   .127E-03  -.128E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3920   .1462E-05
     650.00000   .198E-06  -.200E-06   .129E-03  -.130E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    3981   .1479E-05
     660.00000   .198E-06  -.200E-06   .131E-03  -.132E-03   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00    4042   .1496E-05
