        soln	      dist_x	        time	          pH	          pe	        Pola	      m_Pola	   m_SorPola	       m_Sor	
           1	           0	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
           2	          -1	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
           3	          -2	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
           4	          -3	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
           5	          -4	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
           6	          -5	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
           7	          -6	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
           8	          -7	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
           9	          -8	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          10	          -9	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          11	         -10	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          12	         -11	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          13	         -12	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          14	         -13	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          15	         -14	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          16	         -15	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          17	         -16	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          18	         -17	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          19	         -18	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          20	         -19	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          21	         -20	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          22	         -21	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          23	         -22	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          24	         -23	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          25	         -24	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          26	         -25	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          27	         -26	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          28	         -27	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          29	         -28	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          30	         -29	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          31	         -30	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          32	         -31	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          33	         -32	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          34	         -33	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          35	         -34	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          36	         -35	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          37	         -36	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          38	         -37	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          39	         -38	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          40	         -39	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          41	         -40	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          42	         -41	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          43	         -42	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          44	         -43	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          45	         -44	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          46	         -45	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          47	         -46	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          48	         -47	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          49	         -48	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          50	         -49	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          51	         -50	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          52	         -51	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          53	         -52	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          54	         -53	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          55	         -54	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          56	         -55	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          57	         -56	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          58	         -57	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          59	         -58	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          60	         -59	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          61	         -60	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          62	         -61	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          63	         -62	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          64	         -63	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          65	         -64	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          66	         -65	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          67	         -66	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          68	         -67	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          69	         -68	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          70	         -69	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          71	         -70	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          72	         -71	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          73	         -72	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          74	         -73	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
