        soln	      dist_x	        time	          pH	          pe	        Pola	      m_Pola	   m_SorPola	       m_Sor	
          51	         -50	           0	           7	      11.425	 0.0000e+000	 0.0000e+000	 0.0000e+000	 2.0000e+100	
          51	         -50	          10	           7	    -2.38909	 8.4571e-027	 8.4571e-027	 2.0791e-020	 2.0000e+100	
          51	         -50	          20	           7	    -3.60193	 1.8196e-025	 1.8196e-025	 2.4214e-019	 2.0000e+100	
          51	         -50	          30	           7	    -3.88377	 1.9931e-025	 1.9931e-025	 2.6045e-019	 2.0000e+100	
          51	         -50	          40	           7	    -3.88622	 1.9937e-025	 1.9937e-025	 2.6050e-019	 2.0000e+100	
          51	         -50	          50	           7	     -3.8866	 1.9935e-025	 1.9935e-025	 2.6048e-019	 2.0000e+100	
          51	         -50	          60	           7	    -3.88698	 1.9933e-025	 1.9933e-025	 2.6046e-019	 2.0000e+100	
          51	         -50	          70	           7	    -3.97232	 1.9931e-025	 1.9931e-025	 2.6044e-019	 2.0000e+100	
          51	         -50	          80	           7	    -4.04019	 1.9929e-025	 1.9929e-025	 2.6042e-019	 2.0000e+100	
          51	         -50	          90	           7	    -4.04051	 1.9934e-025	 1.9934e-025	 2.6047e-019	 2.0000e+100	
          51	         -50	         100	           7	    -4.04051	 1.9946e-025	 1.9946e-025	 2.6060e-019	 2.0000e+100	
          51	         -50	         110	           7	    -4.04051	 1.9959e-025	 1.9959e-025	 2.6074e-019	 2.0000e+100	
          51	         -50	         120	           7	    -4.04049	 1.9975e-025	 1.9975e-025	 2.6090e-019	 2.0000e+100	
          51	         -50	         130	           7	    -4.04046	 1.9990e-025	 1.9990e-025	 2.6106e-019	 2.0000e+100	
          51	         -50	         140	           7	    -4.04041	 2.0003e-025	 2.0003e-025	 2.6120e-019	 2.0000e+100	
          51	         -50	         150	           7	     -4.0404	 2.0100e-025	 2.0100e-025	 2.6220e-019	 2.0000e+100	
          51	         -50	         160	           7	    -4.04038	 2.1772e-025	 2.1772e-025	 2.7951e-019	 2.0000e+100	
          51	         -50	         170	           7	    -4.04036	 5.3182e-025	 5.3182e-025	 5.7108e-019	 2.0000e+100	
          51	         -50	         180	           7	    -4.04035	 8.7452e-024	 8.7452e-024	 5.3642e-018	 2.0000e+100	
          51	         -50	         190	           7	    -4.04034	 2.6600e-022	 2.6600e-022	 8.2412e-017	 2.0000e+100	
          51	         -50	         200	           7	    -4.04031	 8.3262e-021	 8.3262e-021	 1.2955e-015	 2.0000e+100	
          51	         -50	         210	           7	    -4.04029	 2.5526e-019	 2.5526e-019	 2.0030e-014	 2.0000e+100	
          51	         -50	         220	           7	    -4.04026	 7.6490e-018	 7.6490e-018	 3.0407e-013	 2.0000e+100	
          51	         -50	         230	           7	    -4.04023	 2.2412e-016	 2.2412e-016	 4.5339e-012	 2.0000e+100	
          51	         -50	         240	           7	    -4.04021	 6.4175e-015	 6.4175e-015	 6.6372e-011	 2.0000e+100	
          51	         -50	         250	           7	    -4.04016	 1.7914e-013	 1.7914e-013	 9.5204e-010	 2.0000e+100	
          51	         -50	         260	           7	    -4.04015	 4.8457e-012	 4.8457e-012	 1.3316e-008	 2.0000e+100	
          51	         -50	         270	           7	    -4.04013	 1.2543e-010	 1.2543e-010	 1.7981e-007	 2.0000e+100	
          51	         -50	         280	           7	     -4.0401	 3.0341e-009	 3.0341e-009	 2.2999e-006	 2.0000e+100	
          51	         -50	         290	           7	    -4.04007	 6.5802e-008	 6.5802e-008	 2.6958e-005	 2.0000e+100	
          51	         -50	         300	           7	    -4.04004	 1.1990e-006	 1.1990e-006	 2.7489e-004	 2.0000e+100	
          51	         -50	         310	           7	    -4.04004	 1.6847e-005	 1.6847e-005	 2.2767e-003	 2.0000e+100	
          51	         -50	         320	           7	       -4.04	 1.6739e-004	 1.6739e-004	 1.4292e-002	 2.0000e+100	
          51	         -50	         330	           7	    -4.04002	 1.1154e-003	 1.1154e-003	 6.5168e-002	 2.0000e+100	
          51	         -50	         340	     7.00002	    -4.04004	 4.9928e-003	 4.9928e-003	 2.1616e-001	 2.0000e+100	
          51	         -50	         350	     7.00006	    -4.04008	 1.5759e-002	 1.5759e-002	 5.4213e-001	 2.0000e+100	
          51	         -50	         360	     7.00014	    -4.04016	 3.7564e-002	 3.7564e-002	 1.0862e+000	 2.0000e+100	
          51	         -50	         370	     7.00027	     -4.0403	 7.2279e-002	 7.2279e-002	 1.8336e+000	 2.0000e+100	
          51	         -50	         380	     7.00044	    -4.04047	 1.1853e-001	 1.1853e-001	 2.7237e+000	 2.0000e+100	
          51	         -50	         390	     7.00064	    -4.04066	 1.7262e-001	 1.7262e-001	 3.6792e+000	 2.0000e+100	
          51	         -50	         400	     7.00085	    -4.04088	 2.3005e-001	 2.3005e-001	 4.6297e+000	 2.0000e+100	
          51	         -50	         410	     7.00106	     -4.0411	 2.8681e-001	 2.8681e-001	 5.5229e+000	 2.0000e+100	
          51	         -50	         420	     7.00126	    -4.04128	 3.3993e-001	 3.3993e-001	 6.3270e+000	 2.0000e+100	
          51	         -50	         430	     7.00144	    -4.04148	 3.8760e-001	 3.8760e-001	 7.0275e+000	 2.0000e+100	
          51	         -50	         440	     7.00159	    -4.04163	 4.2903e-001	 4.2903e-001	 7.6222e+000	 2.0000e+100	
          51	         -50	         450	     7.00172	    -4.04176	 4.6411e-001	 4.6411e-001	 8.1168e+000	 2.0000e+100	
          51	         -50	         460	     7.00183	    -4.04184	 4.9321e-001	 4.9321e-001	 8.5215e+000	 2.0000e+100	
          51	         -50	         470	     7.00192	    -4.04192	 5.1696e-001	 5.1696e-001	 8.8483e+000	 2.0000e+100	
          51	         -50	         480	     7.00199	    -4.04199	 5.3609e-001	 5.3609e-001	 9.1092e+000	 2.0000e+100	
          51	         -50	         490	     7.00205	    -4.04207	 5.5131e-001	 5.5131e-001	 9.3155e+000	 2.0000e+100	
          51	         -50	         500	     7.00209	    -4.04212	 5.6331e-001	 5.6331e-001	 9.4774e+000	 2.0000e+100	
          51	         -50	         510	     7.00213	    -4.04214	 5.7269e-001	 5.7269e-001	 9.6035e+000	 2.0000e+100	
          51	         -50	         520	     7.00215	    -4.04217	 5.7998e-001	 5.7998e-001	 9.7011e+000	 2.0000e+100	
          51	         -50	         530	     7.00217	    -4.04215	 5.8560e-001	 5.8560e-001	 9.7763e+000	 2.0000e+100	
          51	         -50	         540	     7.00219	    -4.04216	 5.8992e-001	 5.8992e-001	 9.8339e+000	 2.0000e+100	
          51	         -50	         550	      7.0022	    -4.04219	 5.9322e-001	 5.9322e-001	 9.8778e+000	 2.0000e+100	
          51	         -50	         560	     7.00221	    -4.04217	 5.9572e-001	 5.9572e-001	 9.9112e+000	 2.0000e+100	
          51	         -50	         570	     7.00222	    -4.04215	 5.9762e-001	 5.9762e-001	 9.9364e+000	 2.0000e+100	
          51	         -50	         580	     7.00222	    -4.04215	 5.9904e-001	 5.9904e-001	 9.9554e+000	 2.0000e+100	
          51	         -50	         590	     7.00223	    -4.04216	 6.0012e-001	 6.0012e-001	 9.9697e+000	 2.0000e+100	
          51	         -50	         600	     7.00223	    -4.04219	 6.0092e-001	 6.0092e-001	 9.9804e+000	 2.0000e+100	
          51	         -50	         610	     7.00223	    -4.04219	 6.0152e-001	 6.0152e-001	 9.9883e+000	 2.0000e+100	
          51	         -50	         620	     7.00223	    -4.04218	 6.0197e-001	 6.0197e-001	 9.9942e+000	 2.0000e+100	
          51	         -50	         630	     7.00224	    -4.04219	 6.0230e-001	 6.0230e-001	 9.9986e+000	 2.0000e+100	
          51	         -50	         640	     7.00224	    -4.04223	 6.0254e-001	 6.0254e-001	 1.0002e+001	 2.0000e+100	
          51	         -50	         650	     7.00224	    -4.04226	 6.0272e-001	 6.0272e-001	 1.0004e+001	 2.0000e+100	
          51	         -50	         660	     7.00224	    -4.04223	 6.0286e-001	 6.0286e-001	 1.0006e+001	 2.0000e+100	
          51	         -50	         670	     7.00224	    -4.04223	 6.0295e-001	 6.0295e-001	 1.0007e+001	 2.0000e+100	
          51	         -50	         680	     7.00224	     -4.0422	 6.0302e-001	 6.0302e-001	 1.0008e+001	 2.0000e+100	
          51	         -50	         690	     7.00224	    -4.04221	 6.0308e-001	 6.0308e-001	 1.0009e+001	 2.0000e+100	
          51	         -50	         700	     7.00224	     -4.0422	 6.0311e-001	 6.0311e-001	 1.0009e+001	 2.0000e+100	
          51	         -50	         710	     7.00224	    -4.04215	 6.0314e-001	 6.0314e-001	 1.0010e+001	 2.0000e+100	
          51	         -50	         720	     7.00224	    -4.04218	 6.0316e-001	 6.0316e-001	 1.0010e+001	 2.0000e+100	
          51	         -50	         730	     7.00224	    -4.04219	 6.0318e-001	 6.0318e-001	 1.0010e+001	 2.0000e+100	
          51	         -50	         740	     7.00224	     -4.0422	 6.0319e-001	 6.0319e-001	 1.0010e+001	 2.0000e+100	
          51	         -50	         750	     7.00224	    -4.04219	 6.0319e-001	 6.0319e-001	 1.0011e+001	 2.0000e+100	
