 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
      10.00000   .198E-06  -.200E-06   .198E-05  -.200E-05   .000E+00   .000E+00   .201E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00     118   .3321E-07
      20.00000   .198E-06  -.200E-06   .397E-05  -.400E-05   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00     222   .6572E-07
      30.00000   .198E-06  -.200E-06   .595E-05  -.601E-05   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00     326   .9208E-07
      40.00000   .198E-06  -.200E-06   .794E-05  -.801E-05   .000E+00   .000E+00   .200E-06   .000E+00   .200E-06   .000E+00   .000E+00   .000E+00     430   .1173E-06
      50.00000   .198E-06  -.201E-06   .992E-05  -.100E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     534   .1425E-06
      60.00000   .198E-06  -.201E-06   .119E-04  -.120E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     638   .1679E-06
      70.00000   .198E-06  -.201E-06   .139E-04  -.140E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     742   .1961E-06
      80.00000   .198E-06  -.201E-06   .159E-04  -.160E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     846   .2286E-06
      90.00000   .198E-06  -.201E-06   .179E-04  -.181E-04   .000E+00   .000E+00   .200E-06   .000E+00   .201E-06   .000E+00   .000E+00   .000E+00     950   .2615E-06
     100.00000   .198E-06  -.202E-06   .198E-04  -.201E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1054   .2947E-06
     110.00000   .198E-06  -.202E-06   .218E-04  -.221E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1158   .3280E-06
     120.00000   .198E-06  -.202E-06   .238E-04  -.241E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1262   .3612E-06
     130.00000   .198E-06  -.202E-06   .258E-04  -.261E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1366   .3945E-06
     140.00000   .198E-06  -.202E-06   .278E-04  -.281E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1470   .4279E-06
     150.00000   .198E-06  -.202E-06   .298E-04  -.302E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1574   .4612E-06
     160.00000   .198E-06  -.202E-06   .318E-04  -.322E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1678   .4946E-06
     170.00000   .198E-06  -.202E-06   .337E-04  -.342E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1782   .5280E-06
     180.00000   .198E-06  -.202E-06   .357E-04  -.362E-04   .000E+00   .000E+00   .200E-06   .000E+00   .202E-06   .000E+00   .000E+00   .000E+00    1886   .5614E-06
