        soln	      dist_x	        time	          pH	          pe	          Cl	
         102	           0	           0	           7	      11.425	 0.0000e+000	
         103	          -1	           0	           7	      11.425	 0.0000e+000	
         104	          -2	           0	           7	      11.425	 0.0000e+000	
         105	          -3	           0	           7	      11.425	 0.0000e+000	
         106	          -4	           0	           7	      11.425	 0.0000e+000	
         107	          -5	           0	           7	      11.425	 0.0000e+000	
         108	          -6	           0	           7	      11.425	 0.0000e+000	
         109	          -7	           0	           7	      11.425	 0.0000e+000	
         110	          -8	           0	           7	      11.425	 0.0000e+000	
         111	          -9	           0	           7	      11.425	 0.0000e+000	
         112	         -10	           0	           7	      11.425	 0.0000e+000	
         113	         -11	           0	           7	      11.425	 0.0000e+000	
         114	         -12	           0	           7	      11.425	 0.0000e+000	
         115	         -13	           0	           7	      11.425	 0.0000e+000	
         116	         -14	           0	           7	      11.425	 0.0000e+000	
         117	         -15	           0	           7	      11.425	 0.0000e+000	
         118	         -16	           0	           7	      11.425	 0.0000e+000	
         119	         -17	           0	           7	      11.425	 0.0000e+000	
         120	         -18	           0	           7	      11.425	 0.0000e+000	
         121	         -19	           0	           7	      11.425	 0.0000e+000	
         122	         -20	           0	           7	      11.425	 0.0000e+000	
         123	         -21	           0	           7	      11.425	 0.0000e+000	
         124	         -22	           0	           7	      11.425	 0.0000e+000	
         125	         -23	           0	           7	      11.425	 0.0000e+000	
         126	         -24	           0	           7	      11.425	 0.0000e+000	
         127	         -25	           0	           7	      11.425	 0.0000e+000	
         128	         -26	           0	           7	      11.425	 0.0000e+000	
         129	         -27	           0	           7	      11.425	 0.0000e+000	
         130	         -28	           0	           7	      11.425	 0.0000e+000	
         131	         -29	           0	           7	      11.425	 0.0000e+000	
         132	         -30	           0	           7	      11.425	 0.0000e+000	
         133	         -31	           0	           7	      11.425	 0.0000e+000	
         134	         -32	           0	           7	      11.425	 0.0000e+000	
         135	         -33	           0	           7	      11.425	 0.0000e+000	
         136	         -34	           0	           7	      11.425	 0.0000e+000	
         137	         -35	           0	           7	      11.425	 0.0000e+000	
         138	         -36	           0	           7	      11.425	 0.0000e+000	
         139	         -37	           0	           7	      11.425	 0.0000e+000	
         140	         -38	           0	           7	      11.425	 0.0000e+000	
         141	         -39	           0	           7	      11.425	 0.0000e+000	
         142	         -40	           0	           7	      11.425	 0.0000e+000	
         143	         -41	           0	           7	      11.425	 0.0000e+000	
         144	         -42	           0	           7	      11.425	 0.0000e+000	
