        soln	      dist_x	        time	          pH	          pe	          Cl	
           1	           0	           0	           7	     11.6915	 0.0000e+000	
           2	          -1	           0	           7	     11.6915	 0.0000e+000	
           3	          -2	           0	           7	     11.6915	 0.0000e+000	
           4	          -3	           0	           7	     11.6915	 0.0000e+000	
           5	          -4	           0	           7	     11.6915	 0.0000e+000	
           6	          -5	           0	           7	     11.6915	 0.0000e+000	
           7	          -6	           0	           7	     11.6915	 0.0000e+000	
           8	          -7	           0	           7	     11.6915	 0.0000e+000	
           9	          -8	           0	           7	     11.6915	 0.0000e+000	
          10	          -9	           0	           7	     11.6915	 0.0000e+000	
          11	         -10	           0	           7	     11.6915	 0.0000e+000	
          12	         -11	           0	           7	     11.6915	 0.0000e+000	
          13	         -12	           0	           7	     11.6915	 0.0000e+000	
          14	         -13	           0	           7	     11.6915	 0.0000e+000	
          15	         -14	           0	           7	     11.6915	 0.0000e+000	
          16	         -15	           0	           7	     11.6915	 0.0000e+000	
          17	         -16	           0	           7	     11.6915	 0.0000e+000	
          18	         -17	           0	           7	     11.6915	 0.0000e+000	
          19	         -18	           0	           7	     11.6915	 0.0000e+000	
          20	         -19	           0	           7	     11.6915	 0.0000e+000	
          21	         -20	           0	           7	     11.6915	 0.0000e+000	
          22	         -21	           0	           7	     11.6915	 0.0000e+000	
          23	         -22	           0	           7	     11.6915	 0.0000e+000	
          24	         -23	           0	           7	     11.6915	 0.0000e+000	
          25	         -24	           0	           7	     11.6915	 0.0000e+000	
          26	         -25	           0	           7	     11.6915	 0.0000e+000	
          27	         -26	           0	           7	     11.6915	 0.0000e+000	
          28	         -27	           0	           7	     11.6915	 0.0000e+000	
          29	         -28	           0	           7	     11.6915	 0.0000e+000	
          30	         -29	           0	           7	     11.6915	 0.0000e+000	
          31	         -30	           0	           7	     11.6915	 0.0000e+000	
          32	         -31	           0	           7	     11.6915	 0.0000e+000	
          33	         -32	           0	           7	     11.6915	 0.0000e+000	
          34	         -33	           0	           7	     11.6915	 0.0000e+000	
          35	         -34	           0	           7	     11.6915	 0.0000e+000	
          36	         -35	           0	           7	     11.6915	 0.0000e+000	
          37	         -36	           0	           7	     11.6915	 0.0000e+000	
