        soln	      dist_x	        time	          pH	          pe	          Cl	
         202	        -100	           0	           7	      11.425	 0.0000e+000	
         202	        -100	         0.5	           7	      11.425	 0.0000e+000	
         202	        -100	           1	           7	      11.425	 0.0000e+000	
         202	        -100	         1.5	           7	      11.425	 0.0000e+000	
         202	        -100	           2	           7	      11.425	 0.0000e+000	
         202	        -100	         2.5	           7	      11.425	 0.0000e+000	
         202	        -100	           3	           7	      11.425	 0.0000e+000	
         202	        -100	         3.5	           7	      11.425	 0.0000e+000	
         202	        -100	           4	           7	      11.425	 0.0000e+000	
         202	        -100	         4.5	           7	      11.425	 0.0000e+000	
         202	        -100	           5	           7	      11.425	 0.0000e+000	
         202	        -100	         5.5	           7	      11.425	 0.0000e+000	
         202	        -100	           6	           7	      11.425	 0.0000e+000	
         202	        -100	         6.5	           7	      11.425	 0.0000e+000	
         202	        -100	           7	           7	      11.425	 0.0000e+000	
         202	        -100	         7.5	           7	      11.425	 0.0000e+000	
         202	        -100	           8	           7	      11.425	 0.0000e+000	
         202	        -100	         8.5	           7	      11.425	 0.0000e+000	
         202	        -100	           9	           7	      11.425	 0.0000e+000	
         202	        -100	         9.5	           7	      11.425	 0.0000e+000	
         202	        -100	          10	           7	      11.425	 0.0000e+000	
         202	        -100	        10.5	           7	      11.425	 0.0000e+000	
         202	        -100	          11	           7	      11.425	 0.0000e+000	
         202	        -100	        11.5	           7	      11.425	 0.0000e+000	
         202	        -100	          12	           7	      11.425	 0.0000e+000	
         202	        -100	        12.5	           7	      11.425	 0.0000e+000	
         202	        -100	          13	           7	      11.425	 0.0000e+000	
         202	        -100	        13.5	           7	      11.425	 0.0000e+000	
         202	        -100	          14	           7	      11.425	 0.0000e+000	
         202	        -100	        14.5	           7	      11.425	 0.0000e+000	
         202	        -100	          15	           7	      11.425	 0.0000e+000	
         202	        -100	        15.5	           7	      11.425	 0.0000e+000	
         202	        -100	          16	           7	      11.425	 0.0000e+000	
         202	        -100	        16.5	           7	      11.425	 0.0000e+000	
         202	        -100	          17	           7	      11.425	 0.0000e+000	
         202	        -100	        17.5	           7	      11.425	 0.0000e+000	
         202	        -100	          18	           7	      11.425	 0.0000e+000	
         202	        -100	        18.5	           7	      11.425	 0.0000e+000	
         202	        -100	          19	           7	      11.425	 0.0000e+000	
         202	        -100	        19.5	           7	      11.425	 0.0000e+000	
         202	        -100	          20	           7	      11.425	 0.0000e+000	
         202	        -100	        20.5	           7	      11.425	 0.0000e+000	
         202	        -100	          21	           7	      11.425	 0.0000e+000	
         202	        -100	        21.5	           7	      11.425	 0.0000e+000	
         202	        -100	          22	           7	      11.425	 0.0000e+000	
         202	        -100	        22.5	           7	      11.425	 0.0000e+000	
