        soln	      dist_x	        time	          pH	          pe	          Cl	
          76	         -75	           0	           7	     11.6915	 0.0000e+000	
          76	         -75	         0.5	           7	     11.6927	 0.0000e+000	
          76	         -75	           1	           7	     11.6927	 0.0000e+000	
          76	         -75	         1.5	           7	     11.6927	 0.0000e+000	
          76	         -75	           2	           7	     11.6927	 0.0000e+000	
          76	         -75	         2.5	           7	     11.6927	 0.0000e+000	
          76	         -75	           3	           7	     11.6927	 0.0000e+000	
          76	         -75	         3.5	           7	     11.6927	 0.0000e+000	
          76	         -75	           4	           7	     11.6927	 0.0000e+000	
          76	         -75	         4.5	           7	     11.6927	 0.0000e+000	
          76	         -75	           5	           7	     11.6905	 0.0000e+000	
          76	         -75	         5.5	           7	     11.6868	 0.0000e+000	
          76	         -75	           6	           7	     11.6833	 0.0000e+000	
          76	         -75	         6.5	           7	     11.6809	 0.0000e+000	
          76	         -75	           7	           7	     11.6776	 0.0000e+000	
          76	         -75	         7.5	           7	     11.6754	 0.0000e+000	
          76	         -75	           8	           7	      11.672	 0.0000e+000	
          76	         -75	         8.5	           7	     11.6698	 0.0000e+000	
          76	         -75	           9	           7	     11.6665	 0.0000e+000	
          76	         -75	         9.5	           7	     11.6641	 0.0000e+000	
          76	         -75	          10	           7	     11.6609	 0.0000e+000	
          76	         -75	        10.5	           7	     11.6582	 0.0000e+000	
          76	         -75	          11	           7	     11.6548	 0.0000e+000	
          76	         -75	        11.5	           7	     11.6519	 0.0000e+000	
          76	         -75	          12	           7	     11.6485	 0.0000e+000	
          76	         -75	        12.5	           7	     11.6462	 0.0000e+000	
          76	         -75	          13	           7	      11.643	 0.0000e+000	
          76	         -75	        13.5	           7	     11.6414	 0.0000e+000	
          76	         -75	          14	           7	     11.6382	 0.0000e+000	
          76	         -75	        14.5	           7	     11.6354	 0.0000e+000	
          76	         -75	          15	           7	     11.6332	 0.0000e+000	
          76	         -75	        15.5	           7	     11.6313	 3.5098e-024	
          76	         -75	          16	           7	     11.6297	 6.6676e-023	
          76	         -75	        16.5	           7	     11.6285	 8.9961e-022	
          76	         -75	          17	           7	     11.6277	 9.1326e-021	
          76	         -75	        17.5	           7	     11.6277	 7.2774e-020	
          76	         -75	          18	           7	     11.6279	 4.6875e-019	
          76	         -75	        18.5	           7	     11.6291	 1.9773e-018	
          76	         -75	          19	           7	       11.63	 8.1460e-018	
          76	         -75	        19.5	           7	     11.6312	 3.0500e-017	
          76	         -75	          20	           7	     11.6324	 1.0741e-016	
          76	         -75	        20.5	           7	     11.6334	 3.4579e-016	
          76	         -75	          21	     6.99999	     11.6351	 1.0015e-015	
          76	         -75	        21.5	     6.99999	     11.6367	 2.7337e-015	
          76	         -75	          22	     6.99999	     11.6383	 6.8037e-015	
          76	         -75	        22.5	     6.99999	     11.6401	 1.5870e-014	
          76	         -75	          23	     6.99999	      11.642	 3.5352e-014	
          76	         -75	        23.5	     6.99999	     11.6452	 7.4040e-014	
          76	         -75	          24	     6.99999	     11.6476	 1.5251e-013	
          76	         -75	        24.5	     6.99999	     11.6498	 3.0693e-013	
          76	         -75	          25	     6.99999	     11.6527	 6.0632e-013	
          76	         -75	        25.5	     6.99999	     11.6554	 1.1662e-012	
          76	         -75	          26	     6.99998	     11.6583	 2.1968e-012	
          76	         -75	        26.5	     6.99998	     11.6612	 4.0448e-012	
          76	         -75	          27	     6.99997	      11.664	 7.3484e-012	
          76	         -75	        27.5	     6.99996	     11.6669	 1.3227e-011	
          76	         -75	          28	     6.99993	     11.6708	 2.4034e-011	
          76	         -75	        28.5	     6.99989	     11.6752	 4.4544e-011	
          76	         -75	          29	      6.9998	     11.6805	 8.5524e-011	
          76	         -75	        29.5	     6.99961	     11.6859	 1.6825e-010	
          76	         -75	          30	     6.99925	     11.6913	 3.3654e-010	
          76	         -75	        30.5	     6.99853	     11.6966	 6.6624e-010	
          76	         -75	          31	     6.99722	     11.7021	 1.2669e-009	
          76	         -75	        31.5	     6.99507	     11.7085	 2.2576e-009	
          76	         -75	          32	     6.99185	     11.7149	 3.7446e-009	
          76	         -75	        32.5	     6.98736	     11.7219	 5.8108e-009	
