 All solute fluxes and cumulative solute fluxes are positive into the region

       Time       cvTop      cvBot    Sum(cvTop) Sum(cvBot)   cvCh0      cvCh1       cTop      cRoot       cBot      cvRoot   Sum(cvRoot) Sum(cvNEql) TLevel   PhrExch
        [T]      [M/L2/T]   [M/L2/T]    [M/L2]     [M/L2]     [M/L2]     [M/L2]      [M/L3]    [M/L3]      [M/L3]   [M/L2/T]    [M/L2]      [M/L2]              [M/L2]
        .50000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .801E-08   .000E+00   .217-119   .000E+00   .000E+00   .547E-10      19   .1212E-16
       1.00000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .547E-08   .000E+00   .202E-92   .000E+00   .000E+00   .103E-09      22   .1973E-16
       1.50000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .486E-08   .000E+00   .147E-88   .000E+00   .000E+00   .144E-09      24   .2003E-16
       2.00000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .466E-08   .000E+00   .176E-85   .000E+00   .000E+00   .179E-09      26   .2321E-16
       2.50000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .445E-08   .000E+00   .465E-73   .000E+00   .000E+00   .209E-09      27   .2584E-16
       3.00000   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .000E+00   .418E-08   .000E+00   .409E-71   .000E+00   .000E+00   .235E-09      28   .2635E-16
       3.50000   .130E-04   .000E+00   .649E-05   .000E+00   .000E+00   .000E+00   .218E-04   .000E+00   .294E-70   .000E+00   .000E+00   .102E-06      47   .2795E-13
       4.00000   .130E-04   .000E+00   .130E-04   .000E+00   .000E+00   .000E+00   .292E-04   .000E+00   .231E-69   .000E+00   .000E+00   .378E-06      50   .5007E-13
       4.50000   .400E-05   .000E+00   .150E-04   .000E+00   .000E+00   .000E+00   .292E-04   .000E+00   .165E-68   .000E+00   .000E+00   .741E-06      69   .1911E-12
       5.00000   .400E-05   .000E+00   .170E-04   .000E+00   .000E+00   .000E+00   .305E-04   .000E+00   .129E-67   .000E+00   .000E+00   .111E-05      72   .2641E-12
       5.50000   .000E+00   .000E+00   .175E-04   .000E+00   .000E+00   .000E+00   .299E-04   .000E+00   .108E-66   .000E+00   .000E+00   .148E-05      74   .3120E-12
       6.00000   .000E+00   .000E+00   .175E-04   .000E+00   .000E+00   .000E+00   .283E-04   .000E+00   .888E-66   .000E+00   .000E+00   .180E-05      76   .3650E-12
       6.50000   .200E-05   .000E+00   .185E-04   .000E+00   .000E+00   .000E+00   .308E-04   .000E+00   .620E-65   .000E+00   .000E+00   .210E-05      95   .7450E-12
       7.00000   .200E-05   .000E+00   .195E-04   .000E+00   .000E+00   .000E+00   .318E-04   .000E+00   .469E-64   .000E+00   .000E+00   .238E-05      98   .8243E-12
       7.50000   .700E-05   .000E+00   .230E-04   .000E+00   .000E+00   .000E+00   .355E-04   .000E+00   .320E-63   .000E+00   .000E+00   .268E-05     117   .1102E-11
       8.00000   .700E-05   .000E+00   .265E-04   .000E+00   .000E+00   .000E+00   .377E-04   .000E+00   .235E-62   .000E+00   .000E+00   .304E-05     120   .1165E-11
       8.50000   .500E-06   .000E+00   .267E-04   .000E+00   .000E+00   .000E+00   .360E-04   .000E+00   .155E-61   .000E+00   .000E+00   .341E-05     139   .1393E-11
       9.00000   .500E-06   .000E+00   .270E-04   .000E+00   .000E+00   .000E+00   .354E-04   .000E+00   .110E-60   .000E+00   .000E+00   .373E-05     142   .1426E-11
       9.50000   .120E-04   .000E+00   .330E-04   .000E+00   .000E+00   .000E+00   .412E-04   .000E+00   .717E-60   .000E+00   .000E+00   .410E-05     161   .1916E-11
      10.00000   .120E-04   .000E+00   .390E-04   .000E+00   .000E+00   .000E+00   .443E-04   .000E+00   .630E-59   .000E+00   .000E+00   .456E-05     164   .1931E-11
      10.50000   .720E-04   .000E+00   .750E-04   .000E+00   .000E+00   .000E+00   .577E-04   .000E+00   .741E-58   .000E+00   .000E+00   .542E-05     183   .2385E-11
      11.00000   .720E-04   .000E+00   .111E-03   .000E+00   .000E+00   .000E+00   .636E-04   .000E+00   .207E-56   .000E+00   .000E+00   .693E-05     186   .2453E-11
      11.50000   .340E-04   .000E+00   .128E-03   .000E+00   .000E+00   .000E+00   .643E-04   .000E+00   .425E-55   .000E+00   .000E+00   .885E-05     205   .3732E-11
      12.00000   .340E-04   .000E+00   .145E-03   .000E+00   .000E+00   .000E+00   .661E-04   .000E+00   .122E-53   .000E+00   .000E+00   .109E-04     208   .4192E-11
      12.50000   .400E-05   .000E+00   .147E-03   .000E+00   .000E+00   .000E+00   .637E-04   .000E+00   .216E-52   .000E+00   .000E+00   .130E-04     227   .5312E-11
      13.00000   .400E-05   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .630E-04   .000E+00   .464E-51   .000E+00   .000E+00   .150E-04     230   .5470E-11
      13.50000   .000E+00   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .646E-04   .000E+00   .100E-49   .000E+00   .000E+00   .167E-04     232   .5659E-11
      14.00000   .000E+00   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .658E-04   .000E+00   .176E-48   .000E+00   .000E+00   .183E-04     234   .5802E-11
      14.50000   .000E+00   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .655E-04   .000E+00   .129E-41   .000E+00   .000E+00   .197E-04     235   .6003E-11
      15.00000   .000E+00   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .646E-04   .000E+00   .133E-39   .000E+00   .000E+00   .210E-04     236   .6169E-11
      15.50000   .000E+00   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .661E-04   .000E+00   .693E-38   .000E+00   .000E+00   .221E-04     237   .6269E-11
      16.00000   .000E+00   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .678E-04   .000E+00   .243E-36   .000E+00   .000E+00   .231E-04     238   .6407E-11
      16.50000   .000E+00   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .701E-04   .000E+00   .635E-35   .000E+00   .000E+00   .241E-04     239   .6487E-11
      17.00000   .000E+00   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .720E-04   .000E+00   .131E-33   .000E+00   .000E+00   .250E-04     240   .6581E-11
      17.50000   .249E-19   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .699E-04   .000E+00   .222E-32   .000E+00   .000E+00   .257E-04     241   .6783E-11
      18.00000   .249E-19   .000E+00   .149E-03   .000E+00   .000E+00   .000E+00   .693E-04   .000E+00   .312E-31   .000E+00   .000E+00   .264E-04     242   .6824E-11
      18.50000   .430E-04   .000E+00   .171E-03   .000E+00   .000E+00   .000E+00   .713E-04   .000E+00   .178E-30   .000E+00   .000E+00   .271E-04     261   .9435E-11
      19.00000   .430E-04   .000E+00   .192E-03   .000E+00   .000E+00   .000E+00   .734E-04   .000E+00   .109E-29   .000E+00   .000E+00   .281E-04     264   .9954E-11
      19.50000   .710E-04   .000E+00   .228E-03   .000E+00   .000E+00   .000E+00   .768E-04   .000E+00   .622E-29   .000E+00   .000E+00   .294E-04     283   .1250E-10
      20.00000   .710E-04   .000E+00   .263E-03   .000E+00   .000E+00   .000E+00   .788E-04   .000E+00   .380E-28   .000E+00   .000E+00   .312E-04     286   .1338E-10
      20.50000   .000E+00  -.618E-29   .272E-03  -.216E-29   .000E+00   .000E+00   .807E-04   .000E+00   .241E-27   .000E+00   .000E+00   .333E-04     288   .1354E-10
      21.00000   .000E+00  -.387E-28   .272E-03  -.157E-28   .000E+00   .000E+00   .812E-04   .000E+00   .149E-26   .000E+00   .000E+00   .354E-04     290   .1426E-10
      21.50000   .000E+00  -.277E-27   .272E-03  -.154E-27   .000E+00   .000E+00   .832E-04   .000E+00   .133E-25   .000E+00   .000E+00   .373E-04     291   .1482E-10
      22.00000   .000E+00  -.203E-26   .272E-03  -.117E-26   .000E+00   .000E+00   .856E-04   .000E+00   .947E-25   .000E+00   .000E+00   .391E-04     292   .1529E-10
      22.50000   .600E-19  -.125E-25   .272E-03  -.741E-26   .000E+00   .000E+00   .855E-04   .000E+00   .563E-24   .000E+00   .000E+00   .407E-04     293   .1556E-10
