 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:28:13
 Units: L = cm   , T = min  , M = mmol 



                               Node(  1)                      Node( 13)                      Node( 23)                      Node( 33)                      Node( 43)                      Node( 53)                      Node( 57)                      Node( 61)                      Node( 63)                      Node( 65)

         time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          0.1000      -24.66  0.3251   20.000        -16.16  0.3415   20.000        -14.54  0.3419   20.000        -13.81  0.3419   20.000        -13.44  0.3420   20.000        -13.24  0.3420   20.000        -13.19  0.3420   20.000        -13.14  0.3420   20.000        -13.12  0.3420   20.000        -13.10  0.3420   20.000
          0.1700      -26.24  0.3152   20.000        -17.17  0.3412   20.000        -15.24  0.3417   20.000        -14.28  0.3419   20.000        -13.75  0.3419   20.000        -13.42  0.3420   20.000        -13.33  0.3420   20.000        -13.24  0.3420   20.000        -13.21  0.3420   20.000        -13.17  0.3420   20.000
          0.2190      -27.03  0.3089   20.000        -17.71  0.3409   20.000        -15.64  0.3417   20.000        -14.58  0.3419   20.000        -13.95  0.3419   20.000        -13.55  0.3420   20.000        -13.43  0.3420   20.000        -13.32  0.3420   20.000        -13.27  0.3420   20.000        -13.22  0.3420   20.000
          0.2680      -27.67  0.3030   20.000        -18.17  0.3406   20.000        -15.99  0.3416   20.000        -14.84  0.3418   20.000        -14.15  0.3419   20.000        -13.68  0.3420   20.000        -13.53  0.3420   20.000        -13.40  0.3420   20.000        -13.33  0.3420   20.000        -13.27  0.3420   20.000
          0.3170      -28.22  0.2975   20.000        -18.58  0.3403   20.000        -16.31  0.3415   20.000        -15.09  0.3418   20.000        -14.33  0.3419   20.000        -13.80  0.3419   20.000        -13.63  0.3420   20.000        -13.47  0.3420   20.000        -13.40  0.3420   20.000        -13.32  0.3420   20.000
          0.3660      -28.69  0.2924   20.000        -18.94  0.3400   20.000        -16.60  0.3414   20.000        -15.32  0.3417   20.000        -14.50  0.3419   20.000        -13.92  0.3419   20.000        -13.72  0.3419   20.000        -13.54  0.3420   20.000        -13.45  0.3420   20.000        -13.37  0.3420   20.000
          0.4150      -29.12  0.2875   20.000        -19.28  0.3397   20.000        -16.86  0.3413   20.000        -15.53  0.3417   20.000        -14.66  0.3418   20.000        -14.03  0.3419   20.000        -13.81  0.3419   20.000        -13.61  0.3420   20.000        -13.51  0.3420   20.000        -13.41  0.3420   20.000
          0.4640      -29.50  0.2829   20.000        -19.58  0.3394   20.000        -17.11  0.3412   20.000        -15.72  0.3416   20.000        -14.81  0.3418   20.000        -14.13  0.3419   20.000        -13.90  0.3419   20.000        -13.67  0.3420   20.000        -13.57  0.3420   20.000        -13.46  0.3420   20.000
          0.5130      -29.85  0.2785   20.000        -19.86  0.3390   20.000        -17.34  0.3411   20.000        -15.91  0.3416   20.000        -14.95  0.3418   20.000        -14.23  0.3419   20.000        -13.98  0.3419   20.000        -13.74  0.3419   20.000        -13.62  0.3420   20.000        -13.50  0.3420   20.000
          0.5620      -30.17  0.2744   20.000        -20.13  0.3387   20.000        -17.55  0.3410   20.000        -16.08  0.3415   20.000        -15.09  0.3418   20.000        -14.33  0.3419   20.000        -14.05  0.3419   20.000        -13.79  0.3419   20.000        -13.67  0.3420   20.000        -13.54  0.3420   20.000
          0.6257      -30.55  0.2693   20.000        -20.45  0.3382   20.000        -17.82  0.3408   20.000        -16.30  0.3415   20.000        -15.26  0.3417   20.000        -14.44  0.3419   20.000        -14.15  0.3419   20.000        -13.86  0.3419   20.000        -13.73  0.3419   20.000        -13.59  0.3420   20.000
          0.7085      -31.00  0.2631   20.000        -20.84  0.3376   20.000        -18.14  0.3406   20.000        -16.56  0.3414   20.000        -15.46  0.3417   20.000        -14.58  0.3418   20.000        -14.26  0.3419   20.000        -13.95  0.3419   20.000        -13.80  0.3419   20.000        -13.65  0.3420   20.000
