 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:28:13
 Units: L = cm   , T = min  , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1      0.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
    2      2.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
    3      5.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
    4      7.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
    5     10.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
    6     12.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
    7     15.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
    8     17.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
    9     20.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   10     22.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   11     25.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   12     27.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   13     30.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   14     32.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   15     35.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   16     37.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   17     40.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   18     42.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   19     45.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   20     47.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   21     50.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   22     52.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   23     55.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   24     57.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   25     60.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   26     62.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   27     65.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   28     67.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   29     70.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   30     72.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   31     75.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   32     77.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   33     80.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   34     82.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   35     85.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   36     87.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   37     90.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   38     92.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   39     95.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   40     97.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   41    100.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   42    102.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   43    105.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   44    107.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   45    110.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   46    112.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   47    115.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   48    117.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   49    120.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   50    122.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   51    125.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   52    127.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   53    130.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   54    132.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   55    135.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   56    137.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   57    140.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   58    142.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   59    145.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   60    147.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   61    150.00     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
   62    152.50     0.092     0.342      -0.5   0.105E+01     1.000     0.000     1.000     1.000     1.000
