 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:28:13
 Units: L = cm   , T = min  , M = mmol 


    TLevel      Time          dt      Iter    ItCum  KodT  KodB  Convergency

        1  0.1000000E+00  0.10000E+00   11       11    -1     1     T
        2  0.1700000E+00  0.70000E-01    7       18    -1     1     T
        3  0.2190000E+00  0.49000E-01    5       23    -1     1     T
        4  0.2680000E+00  0.49000E-01    4       27    -1     1     T
        5  0.3170000E+00  0.49000E-01    4       31    -1     1     T
        6  0.3660000E+00  0.49000E-01    4       35    -1     1     T
        7  0.4150000E+00  0.49000E-01    4       39    -1     1     T
        8  0.4640000E+00  0.49000E-01    4       43    -1     1     T
        9  0.5130000E+00  0.49000E-01    4       47    -1     1     T
       10  0.5620000E+00  0.49000E-01    2       49    -1     1     T
       11  0.6257000E+00  0.63700E-01    2       51    -1     1     T
       12  0.7085100E+00  0.82810E-01    4       55    -1     1     T
       13  0.7913200E+00  0.82810E-01    4       59    -1     1     T
       14  0.8741300E+00  0.82810E-01    4       63    -1     1     T
       15  0.9569400E+00  0.82810E-01    4       67    -1     1     T
       16  0.1039750E+01  0.82810E-01    2       69    -1     1     T
       17  0.1147403E+01  0.10765E+00    2       71    -1     1     T
       18  0.1287352E+01  0.13995E+00    4       75    -1     1     T
       19  0.1427301E+01  0.13995E+00    4       79    -1     1     T
       20  0.1567250E+01  0.13995E+00    4       83    -1     1     T
       21  0.1707198E+01  0.13995E+00    4       87    -1     1     T
       22  0.1847147E+01  0.13995E+00    4       91    -1     1     T
       23  0.1987096E+01  0.13995E+00    2       93    -1     1     T
       24  0.2169030E+01  0.18193E+00    4       97    -1     1     T
       25  0.2350963E+01  0.18193E+00    4      101    -1     1     T
       26  0.2532897E+01  0.18193E+00    4      105    -1     1     T
       27  0.2714830E+01  0.18193E+00    2      107    -1     1     T
       28  0.2943347E+01  0.22852E+00    4      111    -1     1     T
       29  0.3171864E+01  0.22852E+00    4      115    -1     1     T
       30  0.3400381E+01  0.22852E+00    4      119    -1     1     T
       31  0.3628898E+01  0.22852E+00    2      121    -1     1     T
       32  0.3971674E+01  0.34278E+00    4      125    -1     1     T
       33  0.4314449E+01  0.34278E+00    4      129    -1     1     T
       34  0.4657224E+01  0.34278E+00    4      133    -1     1     T
       35  0.5000000E+01  0.34278E+00    4      137    -1     1     T
       36  0.5307468E+01  0.30747E+00    2      139    -1     1     T
       37  0.5707176E+01  0.39971E+00    4      143    -1     1     T
       38  0.6106883E+01  0.39971E+00    4      147    -1     1     T
       39  0.6496195E+01  0.38931E+00    4      151    -1     1     T
       40  0.6885507E+01  0.38931E+00    2      153    -1     1     T
       41  0.7404589E+01  0.51908E+00    4      157    -1     1     T
       42  0.7923671E+01  0.51908E+00    4      161    -1     1     T
       43  0.8442753E+01  0.51908E+00    4      165    -1     1     T
       44  0.8961835E+01  0.51908E+00    4      169    -1     1     T
       45  0.9480918E+01  0.51908E+00    4      173    -1     1     T
       46  0.1000000E+02  0.51908E+00    2      175    -1     1     T
       47  0.1067551E+02  0.67551E+00    4      179    -1     1     T
       48  0.1135101E+02  0.67551E+00    4      183    -1     1     T
       49  0.1202652E+02  0.67551E+00    4      187    -1     1     T
       50  0.1270203E+02  0.67551E+00    4      191    -1     1     T
       51  0.1337753E+02  0.67551E+00    4      195    -1     1     T
       52  0.1403978E+02  0.66225E+00    4      199    -1     1     T
       53  0.1470203E+02  0.66225E+00    3      202    -1     1     T
       54  0.1558502E+02  0.88300E+00    4      206    -1     1     T
       55  0.1646802E+02  0.88300E+00    4      210    -1     1     T
       56  0.1735101E+02  0.88300E+00    4      214    -1     1     T
       57  0.1823401E+02  0.88300E+00    4      218    -1     1     T
