 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  16. 4.    Time:  19:28:13
 Units: L = cm   , T = min  , M = mmol 

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

       0.1000  0.00000E+00  0.00000E+00  0.74506E-07  0.00000E+00 -0.10408E+01  0.00000E+00  0.00000E+00  0.74506E-08  0.00000E+00 -0.10408E+00 -0.24662E+02  0.00000E+00 -0.13033E+02  0.00000E+00  0.00000E+00  0.61456E+02  0.00000E+00  0.74506E-08      1  0.00000E+00      0.000
       0.1700  0.00000E+00  0.00000E+00  0.14901E-07  0.00000E+00 -0.10373E+01  0.00000E+00  0.00000E+00  0.84937E-08  0.00000E+00 -0.17668E+00 -0.26237E+02  0.00000E+00 -0.13033E+02  0.00000E+00  0.00000E+00  0.61383E+02  0.00000E+00  0.84937E-08      2  0.00000E+00      0.000
       0.2190  0.00000E+00  0.00000E+00 -0.10431E-06  0.00000E+00 -0.10346E+01  0.00000E+00  0.00000E+00  0.33826E-08  0.00000E+00 -0.22738E+00 -0.27028E+02  0.00000E+00 -0.13033E+02  0.00000E+00  0.00000E+00  0.61333E+02  0.00000E+00  0.84937E-08      3  0.00000E+00      0.000
       0.2680  0.00000E+00  0.00000E+00 -0.25332E-06  0.00000E+00 -0.10319E+01  0.00000E+00  0.00000E+00 -0.90301E-08  0.00000E+00 -0.27794E+00 -0.27671E+02  0.00000E+00 -0.13033E+02  0.00000E+00  0.00000E+00  0.61282E+02  0.00000E+00  0.84937E-08      4  0.00000E+00      0.000
       0.3170  0.00000E+00  0.00000E+00  0.35763E-06  0.00000E+00 -0.10293E+01  0.00000E+00  0.00000E+00  0.84937E-08  0.00000E+00 -0.32838E+00 -0.28216E+02  0.00000E+00 -0.13033E+02  0.00000E+00  0.00000E+00  0.61232E+02  0.00000E+00  0.26017E-07      5  0.00000E+00      0.000
       0.3660  0.00000E+00  0.00000E+00  0.80466E-06  0.00000E+00 -0.10267E+01  0.00000E+00  0.00000E+00  0.47922E-07  0.00000E+00 -0.37869E+00 -0.28691E+02  0.00000E+00 -0.13033E+02  0.00000E+00  0.00000E+00  0.61181E+02  0.00000E+00  0.65446E-07      6  0.00000E+00      0.000
       0.4150  0.00000E+00  0.00000E+00  0.64820E-06  0.00000E+00 -0.10243E+01  0.00000E+00  0.00000E+00  0.79684E-07  0.00000E+00 -0.42888E+00 -0.29115E+02  0.00000E+00 -0.13033E+02  0.00000E+00  0.00000E+00  0.61131E+02  0.00000E+00  0.97208E-07      7  0.00000E+00      0.000
       0.4640  0.00000E+00  0.00000E+00  0.19372E-06  0.00000E+00 -0.10220E+01  0.00000E+00  0.00000E+00  0.89176E-07  0.00000E+00 -0.47896E+00 -0.29498E+02  0.00000E+00 -0.13033E+02  0.00000E+00  0.00000E+00  0.61081E+02  0.00000E+00  0.10670E-06      8  0.00000E+00      0.000
