 ******* Program HYDRUS
 ******* Evaporation Experiment - Ole Wendroth                                  
  
 Date:   1.10.    Time:  14:45:45
 Units: L = cm   , T = days , M = mmol 



                             Node( 17)                      Node( 35)                      Node( 53)                      Node( 73)                      Node( 92)

       time         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp         h        theta    Temp   
          .001     -19.711   .3065     .000       -17.668   .3086     .000       -15.709   .3107     .000       -13.696   .3129     .000       -11.775   .3150     .000
          .001     -19.697   .3065     .000       -17.670   .3086     .000       -15.753   .3106     .000       -13.697   .3129     .000       -11.742   .3151     .000
          .002     -19.952   .3062     .000       -17.730   .3085     .000       -15.795   .3106     .000       -13.702   .3129     .000       -11.722   .3151     .000
          .003     -20.223   .3059     .000       -17.857   .3084     .000       -15.851   .3105     .000       -13.720   .3129     .000       -11.721   .3151     .000
          .004     -20.510   .3056     .000       -18.030   .3082     .000       -15.946   .3104     .000       -13.763   .3128     .000       -11.743   .3151     .000
          .005     -20.797   .3053     .000       -18.240   .3080     .000       -16.083   .3103     .000       -13.846   .3127     .000       -11.803   .3150     .000
          .007     -21.129   .3050     .000       -18.508   .3077     .000       -16.286   .3101     .000       -13.998   .3126     .000       -11.932   .3149     .000
          .009     -21.497   .3046     .000       -18.827   .3073     .000       -16.554   .3098     .000       -14.224   .3123     .000       -12.139   .3146     .000
          .012     -21.895   .3042     .000       -19.189   .3070     .000       -16.879   .3094     .000       -14.520   .3120     .000       -12.422   .3143     .000
          .016     -22.396   .3037     .000       -19.655   .3065     .000       -17.315   .3090     .000       -14.935   .3115     .000       -12.826   .3139     .000
          .019     -22.887   .3032     .000       -20.116   .3060     .000       -17.755   .3085     .000       -15.359   .3111     .000       -13.243   .3134     .000
          .023     -23.375   .3027     .000       -20.576   .3056     .000       -18.197   .3080     .000       -15.789   .3106     .000       -13.667   .3129     .000
          .024     -23.467   .3026     .000       -20.653   .3055     .000       -18.269   .3079     .000       -15.858   .3105     .000       -13.735   .3128     .000
