 ******* Program HYDRUS
 ******* Evaporation Experiment - Ole Wendroth                                  
  
 Date:   1.10.    Time:  14:45:45
 Units: L = cm   , T = days , M = mmol 


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh

    1       .00      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
    2       .02      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
    3       .05      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
    4       .08      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
    5       .12      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
    6       .16      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
    7       .21      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
    8       .26      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
    9       .32      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   10       .39      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   11       .46      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   12       .53      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   13       .62      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   14       .70      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   15       .80      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   16       .90      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   17      1.00      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   18      1.11      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   19      1.22      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   20      1.33      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   21      1.44      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   22      1.56      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   23      1.67      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   24      1.78      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   25      1.89      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   26      2.00      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   27      2.11      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   28      2.22      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   29      2.33      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   30      2.44      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   31      2.56      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   32      2.67      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   33      2.78      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   34      2.89      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   35      3.00      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   36      3.11      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   37      3.21      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   38      3.32      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
   39      3.42      .013      .327        .0    .886E+02     1.000      .000     1.000     1.000     1.000
